NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
100;1;1;2:58.162;0;;2:23.708;0;21.425;0;13.029;0;47.9;2:58.162;09:07:58.162;2:23.708;0:21.425;0:13.029;;Lucas Luhr;0:01:56.850;GTLM;;BMW Team RLL;BMW;
100;1;2;54.314;0;;22.650;0;19.605;0;12.059;0;157.2;3:52.476;09:08:52.476;0:22.650;0:19.605;0:12.059;231.6;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;3;1:34.242;0;B;21.608;0;19.231;0;53.403;0;90.6;5:26.718;09:10:26.718;0:21.608;0:19.231;0:53.403;239.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;0;4;1:02.814;0;;30.516;0;20.271;0;12.027;0;136.0;6:29.532;09:11:29.532;0:30.516;0:20.271;0:12.027;;John Edwards;0:00:48.015;GTLM;;BMW Team RLL;BMW;
100;0;5;52.389;0;;21.781;0;18.881;0;11.727;0;163.0;7:21.921;09:12:21.921;0:21.781;0:18.881;0:11.727;240.1;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;6;51.887;0;;21.424;0;18.774;0;11.689;0;164.6;8:13.808;09:13:13.808;0:21.424;0:18.774;0:11.689;242.7;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;7;51.660;0;;21.287;0;18.665;2;11.708;0;165.3;9:05.468;09:14:05.468;0:21.287;0:18.665;0:11.708;243.2;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;8;51.373;2;;21.121;2;18.692;0;11.560;2;166.2;9:56.841;09:14:56.841;0:21.121;0:18.692;0:11.560;241.1;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;9;52.274;0;;21.630;0;18.747;0;11.897;0;163.4;10:49.115;09:15:49.115;0:21.630;0:18.747;0:11.897;243.8;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;10;55.036;0;;22.304;0;19.774;0;12.958;0;155.2;11:44.151;09:16:44.151;0:22.304;0:19.774;0:12.958;244.3;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;11;52.470;0;;22.070;0;18.776;0;11.624;0;162.8;12:36.621;09:17:36.621;0:22.070;0:18.776;0:11.624;235.0;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;12;1:28.674;0;B;21.305;0;18.788;0;48.581;0;96.3;14:05.295;09:19:05.295;0:21.305;0:18.788;0:48.581;243.8;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;1;13;1:04.412;0;;29.899;0;19.370;0;15.143;0;132.6;15:09.707;09:20:09.707;0:29.899;0:19.370;0:15.143;;Lucas Luhr;0:00:44.168;GTLM;;BMW Team RLL;BMW;
100;1;14;52.056;0;;21.242;1;18.873;1;11.941;0;164.1;16:01.763;09:21:01.763;0:21.242;0:18.873;0:11.941;238.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;15;53.573;0;;21.978;0;19.747;0;11.848;1;159.4;16:55.336;09:21:55.336;0:21.978;0:19.747;0:11.848;239.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;16;52.402;0;;21.381;0;18.986;0;12.035;0;163.0;17:47.738;09:22:47.738;0:21.381;0:18.986;0:12.035;242.2;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;17;56.188;0;;25.302;0;18.905;0;11.981;0;152.0;18:43.926;09:23:43.926;0:25.302;0:18.905;0:11.981;239.6;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;18;52.558;0;;21.677;0;19.003;0;11.878;0;162.5;19:36.484;09:24:36.484;0:21.677;0:19.003;0:11.878;240.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;19;54.013;0;;22.009;0;19.701;0;12.303;0;158.1;20:30.497;09:25:30.497;0:22.009;0:19.701;0:12.303;242.2;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
16;1;1;2:48.282;0;;2:13.722;0;21.868;0;12.692;0;50.7;2:48.282;09:07:48.282;2:13.722;0:21.868;0:12.692;;Spencer Pumpelly;0:01:47.375;GTD;;Change Racing;Lamborghini;
16;1;2;54.857;0;;22.905;0;19.603;0;12.349;0;155.7;3:43.139;09:08:43.139;0:22.905;0:19.603;0:12.349;235.5;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;3;54.315;0;;22.480;1;19.602;0;12.233;1;157.2;4:37.454;09:09:37.454;0:22.480;0:19.602;0:12.233;237.0;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;4;54.688;0;;22.494;0;19.784;0;12.410;0;156.2;5:32.142;09:10:32.142;0:22.494;0:19.784;0:12.410;237.0;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;5;1:58.786;0;B;23.285;0;19.572;1;1:15.929;0;71.9;7:30.928;09:12:30.928;0:23.285;0:19.572;1:15.929;238.1;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;6;1:03.436;0;;31.004;0;19.975;0;12.457;0;134.6;8:34.364;09:13:34.364;0:31.004;0:19.975;0:12.457;;Corey Lewis;0:01:10.981;GTD;;Change Racing;Lamborghini;
16;0;7;55.304;0;;22.785;0;20.077;0;12.442;0;154.4;9:29.668;09:14:29.668;0:22.785;0:20.077;0:12.442;236.0;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;8;54.377;0;;22.541;0;19.576;0;12.260;0;157.0;10:24.045;09:15:24.045;0:22.541;0:19.576;0:12.260;235.5;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;9;54.143;0;;22.434;0;19.457;0;12.252;0;157.7;11:18.188;09:16:18.188;0:22.434;0:19.457;0:12.252;238.6;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;10;54.142;0;;22.379;2;19.514;0;12.249;0;157.7;12:12.330;09:17:12.330;0:22.379;0:19.514;0:12.249;239.1;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;11;54.133;2;;22.458;0;19.444;2;12.231;2;157.8;13:06.463;09:18:06.463;0:22.458;0:19.444;0:12.231;238.1;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;12;54.952;0;;22.894;0;19.740;0;12.318;0;155.4;14:01.415;09:19:01.415;0:22.894;0:19.740;0:12.318;238.6;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;13;55.440;0;;22.484;0;20.568;0;12.388;0;154.0;14:56.855;09:19:56.855;0:22.484;0:20.568;0:12.388;239.6;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;14;55.514;0;;23.032;0;19.808;0;12.674;0;153.8;15:52.369;09:20:52.369;0:23.032;0:19.808;0:12.674;239.1;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;15;54.818;0;;22.671;0;19.831;0;12.316;0;155.8;16:47.187;09:21:47.187;0:22.671;0:19.831;0:12.316;237.5;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;16;54.326;0;;22.447;0;19.604;0;12.275;0;157.2;17:41.513;09:22:41.513;0:22.447;0:19.604;0:12.275;239.1;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;17;54.542;0;;22.548;0;19.669;0;12.325;0;156.6;18:36.055;09:23:36.055;0:22.548;0:19.669;0:12.325;239.6;Corey Lewis;;GTD;;Change Racing;Lamborghini;
20;0;1;1:51.969;0;;1:19.501;0;20.571;0;11.897;0;76.3;1:51.969;09:06:51.969;1:19.501;0:20.571;0:11.897;;Matthew McMurry;0:00:53.558;PC;;BAR1 Motorsports;ORECA;
20;0;2;52.503;0;;21.974;0;19.051;0;11.478;0;162.7;2:44.472;09:07:44.472;0:21.974;0:19.051;0:11.478;244.8;Matthew McMurry;;PC;;BAR1 Motorsports;ORECA;
20;0;3;51.561;0;;21.297;0;18.721;0;11.543;0;165.6;3:36.033;09:08:36.033;0:21.297;0:18.721;0:11.543;249.2;Matthew McMurry;;PC;;BAR1 Motorsports;ORECA;
20;0;4;50.699;0;;21.122;0;18.280;0;11.297;0;168.4;4:26.732;09:09:26.732;0:21.122;0:18.280;0:11.297;248.7;Matthew McMurry;;PC;;BAR1 Motorsports;ORECA;
20;0;5;52.082;0;;21.327;0;18.502;0;12.253;0;164.0;5:18.814;09:10:18.814;0:21.327;0:18.502;0:12.253;252.6;Matthew McMurry;;PC;;BAR1 Motorsports;ORECA;
20;0;6;51.153;0;;21.181;0;18.414;0;11.558;0;166.9;6:09.967;09:11:09.967;0:21.181;0:18.414;0:11.558;242.7;Matthew McMurry;;PC;;BAR1 Motorsports;ORECA;
20;0;7;7:25.452;0;B;21.059;0;18.378;0;6:46.015;0;19.2;13:35.419;09:18:35.419;0:21.059;0:18.378;6:46.015;248.1;Matthew McMurry;;PC;;BAR1 Motorsports;ORECA;
