NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
100;1;1;2:59.010;0;B;1:08.407;0;21.125;0;1:29.478;0;47.7;2:59.010;14:07:59.010;1:08.407;0:21.125;1:29.478;;Lucas Luhr;0:00:42.943;GTLM;;BMW Team RLL;BMW;
100;1;2;1:05.712;0;;31.819;0;21.491;0;12.402;0;130.0;4:04.722;14:09:04.722;0:31.819;0:21.491;0:12.402;;Lucas Luhr;0:01:23.440;GTLM;;BMW Team RLL;BMW;
100;1;3;54.175;0;;22.221;0;19.847;0;12.107;0;157.6;4:58.897;14:09:58.897;0:22.221;0:19.847;0:12.107;233.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;4;1:28.972;0;B;21.838;0;26.937;0;40.197;0;96.0;6:27.869;14:11:27.869;0:21.838;0:26.937;0:40.197;237.5;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;5;1:00.424;0;;29.162;0;19.193;0;12.069;0;141.3;7:28.293;14:12:28.293;0:29.162;0:19.193;0:12.069;;Lucas Luhr;0:00:32.958;GTLM;;BMW Team RLL;BMW;
100;1;6;1:00.841;0;;21.809;0;22.790;0;16.242;0;140.4;8:29.134;14:13:29.134;0:21.809;0:22.790;0:16.242;235.0;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;7;52.727;0;;21.830;0;19.156;0;11.741;0;162.0;9:21.861;14:14:21.861;0:21.830;0:19.156;0:11.741;232.6;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;8;52.292;0;;21.376;0;19.128;0;11.788;0;163.3;10:14.153;14:15:14.153;0:21.376;0:19.128;0:11.788;241.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;9;53.241;0;;21.933;0;19.557;0;11.751;0;160.4;11:07.394;14:16:07.394;0:21.933;0:19.557;0:11.751;241.7;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;10;52.105;0;;21.525;0;18.904;1;11.676;1;163.9;11:59.499;14:16:59.499;0:21.525;0:18.904;0:11.676;241.1;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;11;53.293;0;;21.454;0;19.848;0;11.991;0;160.2;12:52.792;14:17:52.792;0:21.454;0:19.848;0:11.991;240.6;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
