NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
100;0;1;1:31.696;0;;42.492;0;27.587;0;21.617;0;93.1;1:31.696;15:07:42.964;0:42.492;0:27.587;0:21.617;138.3;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;2;1:06.481;0;;28.095;0;25.169;0;13.217;0;128.5;2:38.177;15:08:49.445;0:28.095;0:25.169;0:13.217;97.3;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;3;58.364;0;;24.365;0;21.847;0;12.152;0;146.3;3:36.541;15:09:47.809;0:24.365;0:21.847;0:12.152;238.6;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;4;53.810;2;;22.217;0;19.670;2;11.923;2;158.7;4:30.351;15:10:41.619;0:22.217;0:19.670;0:11.923;241.1;John Edwards;;GTLM;;BMW Team RLL;BMW;
16;1;1;1:32.549;0;;43.986;0;27.066;0;21.497;0;92.3;1:32.549;15:07:43.817;0:43.986;0:27.066;0:21.497;119.8;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;2;1:07.107;0;;29.202;0;24.728;0;13.177;0;127.3;2:39.656;15:08:50.924;0:29.202;0:24.728;0:13.177;90.9;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;3;57.769;0;;23.464;0;21.799;0;12.506;0;147.8;3:37.425;15:09:48.693;0:23.464;0:21.799;0:12.506;232.1;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;4;54.403;0;;22.598;0;19.649;0;12.156;0;157.0;4:31.828;15:10:43.096;0:22.598;0:19.649;0:12.156;236.0;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;5;55.449;0;;22.735;0;20.115;0;12.599;0;154.0;5:27.277;15:11:38.545;0:22.735;0:20.115;0:12.599;239.1;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;6;54.614;0;;22.375;0;19.686;0;12.553;0;156.4;6:21.891;15:12:33.159;0:22.375;0:19.686;0:12.553;232.6;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
