NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
0;1;1;1:17:59.973;0;B;1:16:12.322;0;53.444;0;54.207;0;5.0;1:17:59.973;16:07:59.973;1:16:12.322;0:53.444;0:54.207;179.3;Sean Rayhall;1:15:21.364;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;2;2:27.527;0;;1:02.163;0;49.668;0;35.696;0;159.0;1:20:27.500;16:10:27.500;1:02.163;0:49.668;0:35.696;206.4;Sean Rayhall;0:00:46.200;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;3;1:57.227;2;;33.917;2;47.933;0;35.377;2;200.1;1:22:24.727;16:12:24.727;0:33.917;0:47.933;0:35.377;277.4;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;4;2:19.161;0;B;34.974;0;49.920;0;54.267;0;168.5;1:24:43.888;16:14:43.888;0:34.974;0:49.920;0:54.267;277.4;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;5;3:27.374;0;;2:02.548;0;49.080;0;35.746;0;113.1;1:28:11.262;16:18:11.262;2:02.548;0:49.080;0:35.746;273.9;Sean Rayhall;0:01:48.280;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;6;1:57.624;0;;34.028;0;47.842;2;35.754;0;199.4;1:30:08.886;16:20:08.886;0:34.028;0:47.842;0:35.754;279.1;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
10;0;1;1:17:20.736;0;;1:15:47.442;0;53.377;0;39.917;0;5.1;1:17:20.736;16:07:20.736;1:15:47.442;0:53.377;0:39.917;216.6;Ricky Taylor;1:15:09.666;P;;No. 10 Konica Minolta Corvette DP for Wayne Taylor;Chevrolet;
10;0;2;1:58.493;0;;34.407;0;48.789;0;35.297;0;197.9;1:19:19.229;16:09:19.229;0:34.407;0:48.789;0:35.297;277.4;Ricky Taylor;;P;;No. 10 Konica Minolta Corvette DP for Wayne Taylor;Chevrolet;
10;0;3;1:55.685;2;;33.729;0;47.164;2;34.792;2;202.7;1:21:14.914;16:11:14.914;0:33.729;0:47.164;0:34.792;278.0;Ricky Taylor;;P;;No. 10 Konica Minolta Corvette DP for Wayne Taylor;Chevrolet;
10;0;4;2:18.583;0;B;33.605;2;47.058;0;57.920;0;169.2;1:23:33.497;16:13:33.497;0:33.605;0:47.058;0:57.920;278.0;Ricky Taylor;;P;;No. 10 Konica Minolta Corvette DP for Wayne Taylor;Chevrolet;
