NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
100;0;1;2:30.089;0;;1:12.055;0;45.069;0;32.965;0;126.2;2:30.089;08:07:30.089;1:12.055;0:45.069;0:32.965;236.8;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;2;1:50.480;0;;40.791;0;40.852;0;28.837;0;171.5;4:20.569;08:09:20.569;0:40.791;0:40.852;0:28.837;261.8;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;3;1:45.693;0;;37.886;0;39.523;0;28.284;0;179.2;6:06.262;08:11:06.262;0:37.886;0:39.523;0:28.284;258.7;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;4;1:44.800;0;;37.544;0;39.294;0;27.962;0;180.8;7:51.062;08:12:51.062;0:37.544;0:39.294;0:27.962;259.2;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;5;1:44.358;0;;37.205;0;39.141;2;28.012;0;181.5;9:35.420;08:14:35.420;0:37.205;0:39.141;0:28.012;260.2;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;0;6;1:44.067;2;;37.078;0;39.150;0;27.839;2;182.0;11:19.487;08:16:19.487;0:37.078;0:39.150;0:27.839;259.2;John Edwards;;GTLM;;BMW Team RLL;BMW;
100;1;7;2:28.288;0;B;36.994;2;40.508;0;1:10.786;0;127.8;13:47.775;08:18:47.775;0:36.994;0:40.508;1:10.786;256.7;Lucas Luhr;0:00:45.298;GTLM;;BMW Team RLL;BMW;
100;1;8;1:50.825;0;;42.351;0;40.107;0;28.367;0;170.9;15:38.600;08:20:38.600;0:42.351;0:40.107;0:28.367;255.7;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
100;1;9;1:44.856;0;;37.144;0;39.828;1;27.884;1;180.7;17:23.456;08:22:23.456;0:37.144;0:39.828;0:27.884;258.2;Lucas Luhr;;GTLM;;BMW Team RLL;BMW;
16;1;1;2:59.401;0;;1:43.772;0;43.766;0;31.863;0;105.6;2:59.401;08:07:59.401;1:43.772;0:43.766;0:31.863;221.7;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;2;1:52.110;0;;40.782;0;41.679;0;29.649;0;169.0;4:51.511;08:09:51.511;0:40.782;0:41.679;0:29.649;258.2;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;3;1:49.625;0;;38.584;0;42.170;0;28.871;0;172.8;6:41.136;08:11:41.136;0:38.584;0:42.170;0:28.871;257.7;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;4;1:47.884;0;;38.093;0;40.648;0;29.143;0;175.6;8:29.020;08:13:29.020;0:38.093;0:40.648;0:29.143;259.7;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;1;5;1:47.328;0;;38.027;1;40.650;0;28.651;1;176.5;10:16.348;08:15:16.348;0:38.027;0:40.650;0:28.651;257.7;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;6;3:53.602;0;B;38.136;0;40.258;0;2:35.208;0;81.1;14:09.950;08:19:09.950;0:38.136;0:40.258;2:35.208;258.2;Corey Lewis;0:02:08.658;GTD;;Change Racing;Lamborghini;
