NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;1:51.864;0;B;40.854;0;41.539;0;29.471;0;127.4;1:51.864;11:21:51.864;0:40.854;0:41.539;0:29.471;236.4;Jordan Taylor;0:00:10.905;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;2;3:57.557;0;;3:03.930;0;34.784;0;18.843;0;60.0;5:49.421;11:25:49.421;3:03.930;0:34.784;0:18.843;270.7;Jordan Taylor;0:02:50.263;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;3;1:14.539;0;;23.444;0;33.313;0;17.782;0;191.1;7:03.960;11:27:03.960;0:23.444;0:33.313;0:17.782;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;4;1:21.907;0;B;21.817;0;32.566;0;27.524;0;173.9;8:25.867;11:28:25.867;0:21.817;0:32.566;0:27.524;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;5;6:37.246;0;B;5:34.652;0;33.785;0;28.809;0;35.9;15:03.113;11:35:03.113;5:34.652;0:33.785;0:28.809;279.0;Jordan Taylor;0:05:23.382;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;6;3:26.353;0;B;2:24.878;0;34.728;0;26.747;0;69.0;18:29.466;11:38:29.466;2:24.878;0:34.728;0:26.747;278.3;Jordan Taylor;0:02:15.661;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;7;1:22.378;0;;32.145;0;32.880;0;17.353;0;172.9;19:51.844;11:39:51.844;0:32.145;0:32.880;0:17.353;277.6;Jordan Taylor;0:00:23.045;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;8;1:11.743;0;;21.369;0;32.665;0;17.709;0;198.6;21:03.587;11:41:03.587;0:21.369;0:32.665;0:17.709;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;9;1:13.425;0;;22.548;0;32.951;0;17.926;0;194.0;22:17.012;11:42:17.012;0:22.548;0:32.951;0:17.926;279.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;10;1:10.394;0;;20.807;0;32.635;0;16.952;0;202.4;23:27.406;11:43:27.406;0:20.807;0:32.635;0:16.952;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;11;1:09.443;3;;20.322;2;32.247;2;16.874;3;205.2;24:36.849;11:44:36.849;0:20.322;0:32.247;0:16.874;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;12;1:21.638;0;B;20.419;0;32.637;0;28.582;0;174.5;25:58.487;11:45:58.487;0:20.419;0:32.637;0:28.582;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;13;6:11.944;0;;5:21.572;0;33.124;0;17.248;0;38.3;32:10.431;11:52:10.431;5:21.572;0:33.124;0:17.248;278.3;Jordan Taylor;0:05:12.491;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;14;1:21.267;0;B;20.338;0;32.361;0;28.568;0;175.3;33:31.698;11:53:31.698;0:20.338;0:32.361;0:28.568;277.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;15;10:53.726;0;;10:02.986;0;33.239;0;17.501;0;21.8;44:25.424;12:04:25.424;10:02.986;0:33.239;0:17.501;277.6;Jordan Taylor;0:09:54.143;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;16;1:12.527;0;;22.184;0;32.974;0;17.369;0;196.4;45:37.951;12:05:37.951;0:22.184;0:32.974;0:17.369;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;17;1:12.544;0;;22.662;0;32.576;0;17.306;0;196.4;46:50.495;12:06:50.495;0:22.662;0:32.576;0:17.306;279.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;18;1:11.772;0;;21.538;0;33.122;0;17.112;0;198.5;48:02.267;12:08:02.267;0:21.538;0:33.122;0:17.112;277.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;19;1:12.020;0;;20.521;0;32.384;0;19.115;0;197.8;49:14.287;12:09:14.287;0:20.521;0:32.384;0:19.115;280.4;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;20;1:22.569;0;B;21.986;0;32.735;0;27.848;0;172.5;50:36.856;12:10:36.856;0:21.986;0:32.735;0:27.848;272.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;21;2:22.543;0;;1:29.875;0;33.906;0;18.762;0;99.9;52:59.399;12:12:59.399;1:29.875;0:33.906;0:18.762;229.5;Ricky Taylor;0:01:14.260;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;22;1:12.453;0;;21.219;0;33.391;0;17.843;1;196.6;54:11.852;12:14:11.852;0:21.219;0:33.391;0:17.843;282.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;23;1:15.117;0;;22.162;0;33.795;0;19.160;0;189.7;55:26.969;12:15:26.969;0:22.162;0:33.795;0:19.160;259.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;24;1:12.122;0;;21.430;0;32.844;0;17.848;0;197.5;56:39.091;12:16:39.091;0:21.430;0:32.844;0:17.848;279.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;25;1:11.636;0;;20.621;0;32.409;0;18.606;0;198.9;57:50.727;12:17:50.727;0:20.621;0:32.409;0:18.606;279.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;26;1:14.545;0;;22.528;0;33.248;0;18.769;0;191.1;59:05.272;12:19:05.272;0:22.528;0:33.248;0:18.769;281.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;27;1:10.841;0;;20.493;1;32.269;1;18.079;0;201.1;1:00:16.113;12:20:16.113;0:20.493;0:32.269;0:18.079;281.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
