NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:16:26.106;0;;1:15:32.143;0;35.333;0;18.630;0;3.1;1:16:26.106;13:21:26.106;1:15:32.143;0:35.333;0:18.630;268.1;Ricky Taylor;1:15:05.243;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:11.608;0;;21.545;0;32.962;0;17.101;0;199.0;1:17:37.714;13:22:37.714;0:21.545;0:32.962;0:17.101;268.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:09.092;0;;20.354;0;32.282;0;16.456;0;206.2;1:18:46.806;13:23:46.806;0:20.354;0:32.282;0:16.456;270.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:08.577;0;;19.886;0;32.240;2;16.451;0;207.7;1:19:55.383;13:24:55.383;0:19.886;0:32.240;0:16.451;272.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:08.459;3;;19.858;0;32.257;0;16.344;3;208.1;1:21:03.842;13:26:03.842;0:19.858;0:32.257;0:16.344;272.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:09.810;0;;19.910;0;32.245;0;17.655;0;204.1;1:22:13.652;13:27:13.652;0:19.910;0:32.245;0:17.655;272.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:08.570;0;;19.775;2;32.344;0;16.451;0;207.8;1:23:22.222;13:28:22.222;0:19.775;0:32.344;0:16.451;272.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:13.798;0;;20.517;0;36.122;0;17.159;0;193.0;1:24:36.020;13:29:36.020;0:20.517;0:36.122;0:17.159;264.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:22.778;0;B;19.989;0;33.755;0;29.034;0;172.1;1:25:58.798;13:30:58.798;0:19.989;0:33.755;0:29.034;273.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;1;1;2:22.657;0;;1:06.308;0;42.732;0;33.617;0;99.9;2:22.657;12:07:22.657;1:06.308;0:42.732;0:33.617;225.7;Sage Karam;0:00:30.337;GTD;;3GT Racing;Lexus;
14;1;2;1:24.931;0;;27.841;0;37.775;0;19.315;0;167.7;3:47.588;12:08:47.588;0:27.841;0:37.775;0:19.315;247.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;3;1:17.060;0;;23.172;0;35.269;0;18.619;0;184.9;5:04.648;12:10:04.648;0:23.172;0:35.269;0:18.619;250.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;4;1:16.563;2;;23.040;0;35.151;2;18.372;2;186.1;6:21.211;12:11:21.211;0:23.040;0:35.151;0:18.372;250.4;Sage Karam;;GTD;;3GT Racing;Lexus;
