NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:11.345;0;;21.732;0;32.542;0;17.071;0;199.7;1:11.345;12:07:00.196;0:21.732;0:32.542;0:17.071;273.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:09.944;0;;20.546;0;32.512;0;16.886;0;203.7;2:21.289;12:08:10.140;0:20.546;0:32.512;0:16.886;274.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:09.987;0;;20.580;0;32.560;0;16.847;0;203.6;3:31.276;12:09:20.127;0:20.580;0:32.560;0:16.847;274.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:09.631;0;;20.291;0;32.500;0;16.840;1;204.6;4:40.907;12:10:29.758;0:20.291;0:32.500;0:16.840;274.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:09.675;0;;20.297;0;32.500;0;16.878;0;204.5;5:50.582;12:11:39.433;0:20.297;0:32.500;0:16.878;276.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:09.673;0;;20.235;1;32.551;0;16.887;0;204.5;7:00.255;12:12:49.106;0:20.235;0:32.551;0:16.887;275.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:12.097;0;;20.322;0;33.899;0;17.876;0;197.6;8:12.352;12:14:01.203;0:20.322;0:33.899;0:17.876;276.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:12.534;0;;21.836;0;33.627;0;17.071;0;196.4;9:24.886;12:15:13.737;0:21.836;0:33.627;0:17.071;276.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:14.095;0;;21.698;0;34.521;0;17.876;0;192.3;10:38.981;12:16:27.832;0:21.698;0:34.521;0:17.876;277.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:11.148;0;;21.432;0;32.860;0;16.856;0;200.2;11:50.129;12:17:38.980;0:21.432;0:32.860;0:16.856;276.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;11;1:10.025;0;;20.610;0;32.503;0;16.912;0;203.4;13:00.154;12:18:49.005;0:20.610;0:32.503;0:16.912;276.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;12;1:09.800;0;;20.319;0;32.532;0;16.949;0;204.1;14:09.954;12:19:58.805;0:20.319;0:32.532;0:16.949;277.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;13;1:12.208;0;;21.357;0;33.455;0;17.396;0;197.3;15:22.162;12:21:11.013;0:21.357;0:33.455;0:17.396;277.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
