NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:35.705;0;;1:08.347;0;49.031;0;38.327;0;126.5;2:35.705;08:42:35.705;1:08.347;0:49.031;0:38.327;218.6;Jordan Taylor;0:00:16.251;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;2;1:59.323;0;;43.249;0;45.345;0;30.729;0;165.1;4:35.028;08:44:35.028;0:43.249;0:45.345;0:30.729;275.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;3;1:57.733;2;;42.415;0;45.006;0;30.312;2;167.3;6:32.761;08:46:32.761;0:42.415;0:45.006;0:30.312;277.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;4;2:01.056;0;;42.405;0;45.711;0;32.940;0;162.7;8:33.817;08:48:33.817;0:42.405;0:45.711;0:32.940;255.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;5;2:14.601;0;B;42.237;2;45.073;0;47.291;0;146.3;10:48.418;08:50:48.418;0:42.237;0:45.073;0:47.291;277.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;6;3:45.188;0;;2:25.968;0;47.384;0;31.836;0;87.5;14:33.606;08:54:33.606;2:25.968;0:47.384;0:31.836;274.1;Jordan Taylor;0:02:03.761;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;7;2:14.313;0;B;42.473;0;44.935;2;46.905;0;146.7;16:47.919;08:56:47.919;0:42.473;0:44.935;0:46.905;274.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;8;3:45.580;0;B;2:11.076;0;45.820;0;48.684;0;87.3;20:33.499;09:00:33.499;2:11.076;0:45.820;0:48.684;258.3;Jordan Taylor;0:01:51.332;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;0;1;3:22.931;0;;;0;;0;34.949;1;97.1;3:22.931;08:43:22.931;;;0:34.949;211.7;Scott Pruett;0:00:55.054;GTD;;3GT Racing;Lexus;
14;0;2;2:11.614;0;;48.230;1;;0;;0;149.7;5:34.545;08:45:34.545;0:48.230;;;240.0;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;3;3:34.942;0;B;;0;;0;;0;91.6;9:09.487;08:49:09.487;;;;;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;1;4;2:18.240;0;;55.580;0;48.683;0;33.977;0;142.5;11:27.727;08:51:27.727;0:55.580;0:48.683;0:33.977;258.3;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;5;2:11.826;0;;46.348;2;50.141;0;35.337;0;149.4;13:39.553;08:53:39.553;0:46.348;0:50.141;0:35.337;261.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;6;2:08.725;2;;46.434;0;48.325;2;33.966;2;153.0;15:48.278;08:55:48.278;0:46.434;0:48.325;0:33.966;261.5;Sage Karam;;GTD;;3GT Racing;Lexus;
