NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:13.039;0;;44.480;0;45.838;0;42.721;0;148.1;2:13.039;13:37:35.118;0:44.480;0:45.838;0:42.721;266.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;3:37.306;0;;1:15.718;0;1:23.094;0;58.494;0;90.6;5:50.345;13:41:12.424;1:15.718;1:23.094;0:58.494;93.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;3:28.330;0;;1:19.529;0;1:22.298;0;46.503;0;94.6;9:18.675;13:44:40.754;1:19.529;1:22.298;0:46.503;104.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;2:00.197;0;;43.776;0;45.637;0;30.784;0;163.9;11:18.872;13:46:40.951;0:43.776;0:45.637;0:30.784;272.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:59.243;0;;43.059;0;45.475;0;30.709;0;165.2;13:18.115;13:48:40.194;0:43.059;0:45.475;0:30.709;272.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:58.440;0;;42.687;0;45.091;0;30.662;0;166.3;15:16.555;13:50:38.634;0:42.687;0:45.091;0:30.662;274.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:58.185;0;;42.642;0;45.085;0;30.458;0;166.7;17:14.740;13:52:36.819;0:42.642;0:45.085;0:30.458;274.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:58.368;0;;42.661;0;45.282;0;30.425;0;166.4;19:13.108;13:54:35.187;0:42.661;0:45.282;0:30.425;260.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:58.325;0;;42.557;0;45.271;0;30.497;0;166.5;21:11.433;13:56:33.512;0:42.557;0:45.271;0:30.497;266.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:58.723;0;;42.610;0;45.623;0;30.490;0;165.9;23:10.156;13:58:32.235;0:42.610;0:45.623;0:30.490;248.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
