NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;13:26.963;0;;12:38.671;0;28.086;0;20.206;0;25.6;13:26.963;13:43:26.963;12:38.671;0:28.086;0:20.206;299.2;Ricky Taylor;0:11:51.217;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:39.425;0;;51.993;0;27.393;0;20.039;0;207.4;15:06.388;13:45:06.388;0:51.993;0:27.393;0:20.039;301.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:38.844;0;;51.734;0;27.099;0;20.011;0;208.7;16:45.232;13:46:45.232;0:51.734;0:27.099;0:20.011;302.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;3:25.899;0;B;51.995;0;27.536;0;2:06.368;0;100.2;20:11.131;13:50:11.131;0:51.995;0:27.536;2:06.368;;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:56.823;0;;1:09.154;0;27.612;0;20.057;0;176.5;22:07.954;13:52:07.954;1:09.154;0:27.612;0:20.057;302.6;Ricky Taylor;0:02:13.085;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:38.726;2;;51.868;0;26.970;2;19.888;2;208.9;23:46.680;13:53:46.680;0:51.868;0:26.970;0:19.888;306.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
11;3;1;2:10.876;0;;1:16.609;0;31.780;0;22.487;0;157.6;2:10.876;13:32:10.876;1:16.609;0:31.780;0:22.487;273.7;Mirko Bortolotti;0:00:25.790;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;2;1:52.796;0;;58.083;0;32.599;0;22.114;0;182.8;4:03.672;13:34:03.672;0:58.083;0:32.599;0:22.114;277.7;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;3;1:49.086;0;;56.910;0;30.140;0;22.036;0;189.1;5:52.758;13:35:52.758;0:56.910;0:30.140;0:22.036;277.7;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;4;2:02.052;0;;58.715;0;41.258;0;22.079;0;169.0;7:54.810;13:37:54.810;0:58.715;0:41.258;0:22.079;277.2;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;5;1:48.498;2;;56.525;2;29.953;2;22.020;0;190.1;9:43.308;13:39:43.308;0:56.525;0:29.953;0:22.020;279.5;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;6;1:58.045;0;;59.365;0;36.624;0;22.056;0;174.7;11:41.353;13:41:41.353;0:59.365;0:36.624;0:22.056;278.9;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;7;1:51.995;0;;56.820;0;32.457;0;22.718;0;184.2;13:33.348;13:43:33.348;0:56.820;0:32.457;0:22.718;275.4;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;8;1:48.931;0;;56.735;0;30.286;0;21.910;2;189.3;15:22.279;13:45:22.279;0:56.735;0:30.286;0:21.910;280.7;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;9;2:05.188;0;B;58.422;0;30.788;0;35.978;0;164.7;17:27.467;13:47:27.467;0:58.422;0:30.788;0:35.978;;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;0;10;3:44.740;0;;2:52.210;0;30.378;0;22.152;0;91.8;21:12.207;13:51:12.207;2:52.210;0:30.378;0:22.152;270.3;Christian Engelhart;0:02:18.679;GTD;;GRT Grasser Racing Team;Lamborghini;
11;0;11;1:49.901;0;;56.988;1;30.839;0;22.074;1;187.7;23:02.108;13:53:02.108;0:56.988;0:30.839;0:22.074;279.5;Christian Engelhart;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;0;12;2:04.908;0;B;57.168;0;30.248;1;37.492;0;165.1;25:07.016;13:55:07.016;0:57.168;0:30.248;0:37.492;;Christian Engelhart;;GTD;;GRT Grasser Racing Team;Lamborghini;
13;2;1;14:52.690;0;;14:03.134;0;29.306;0;20.250;0;23.1;14:52.690;13:44:52.690;14:03.134;0:29.306;0:20.250;302.0;Neel Jani;0:13:12.499;P;;Rebellion Racing;ORECA;
13;2;2;1:59.699;0;B;55.724;0;28.034;0;35.941;0;172.3;16:52.389;13:46:52.389;0:55.724;0:28.034;0:35.941;;Neel Jani;;P;;Rebellion Racing;ORECA;
13;2;3;4:56.414;0;;4:08.118;0;28.096;0;20.200;0;69.6;21:48.803;13:51:48.803;4:08.118;0:28.096;0:20.200;300.6;Neel Jani;0:03:35.243;P;;Rebellion Racing;ORECA;
13;2;4;1:40.891;2;;53.263;2;27.619;2;20.009;2;204.4;23:29.694;13:53:29.694;0:53.263;0:27.619;0:20.009;306.2;Neel Jani;;P;;Rebellion Racing;ORECA;
13;2;5;1:59.262;0;B;53.361;0;27.397;0;38.504;0;172.9;25:28.956;13:55:28.956;0:53.361;0:27.397;0:38.504;;Neel Jani;;P;;Rebellion Racing;ORECA;
14;0;1;7:23.186;0;;6:28.988;0;31.468;0;22.730;0;46.5;7:23.186;13:37:23.186;6:28.988;0:31.468;0:22.730;267.6;Scott Pruett;0:05:37.714;GTD;;3GT Racing;Lexus;
14;0;2;1:52.586;0;;57.667;0;32.371;0;22.548;0;183.2;9:15.772;13:39:15.772;0:57.667;0:32.371;0:22.548;270.9;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;3;1:50.192;0;;57.336;0;30.489;0;22.367;0;187.2;11:05.964;13:41:05.964;0:57.336;0:30.489;0:22.367;272.0;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;4;2:04.440;0;B;57.264;0;30.681;0;36.495;0;165.7;13:10.404;13:43:10.404;0:57.264;0:30.681;0:36.495;;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;5;6:56.788;0;;6:03.598;0;30.630;0;22.560;0;49.5;20:07.192;13:50:07.192;6:03.598;0:30.630;0:22.560;269.8;Scott Pruett;0:05:31.118;GTD;;3GT Racing;Lexus;
14;0;6;1:50.906;0;;57.706;0;30.685;0;22.515;0;186.0;21:58.098;13:51:58.098;0:57.706;0:30.685;0:22.515;270.3;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;7;1:49.948;2;;57.439;0;30.234;2;22.275;2;187.6;23:48.046;13:53:48.046;0:57.439;0:30.234;0:22.275;274.8;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;8;2:04.994;0;B;57.098;2;30.434;0;37.462;0;165.0;25:53.040;13:55:53.040;0:57.098;0:30.434;0:37.462;;Scott Pruett;;GTD;;3GT Racing;Lexus;
15;2;1;7:18.249;0;;6:24.400;0;31.152;0;22.697;0;47.1;7:18.249;13:37:18.249;6:24.400;0:31.152;0:22.697;264.9;Austin Cindric;0:05:31.527;GTD;;3GT Racing;Lexus;
15;2;2;1:54.548;0;;59.320;0;31.906;0;23.322;0;180.1;9:12.797;13:39:12.797;0:59.320;0:31.906;0:23.322;266.0;Austin Cindric;;GTD;;3GT Racing;Lexus;
15;2;3;2:06.262;0;B;58.518;0;31.086;0;36.658;0;163.3;11:19.059;13:41:19.059;0:58.518;0:31.086;0:36.658;;Austin Cindric;;GTD;;3GT Racing;Lexus;
15;2;4;9:11.862;0;;8:18.366;0;30.861;0;22.635;0;37.4;20:30.921;13:50:30.921;8:18.366;0:30.861;0:22.635;268.1;Austin Cindric;0:07:44.352;GTD;;3GT Racing;Lexus;
15;2;5;1:51.865;0;;58.609;0;30.648;0;22.608;0;184.4;22:22.786;13:52:22.786;0:58.609;0:30.648;0:22.608;268.1;Austin Cindric;;GTD;;3GT Racing;Lexus;
15;2;6;1:50.379;2;;57.825;2;30.279;2;22.275;2;186.9;24:13.165;13:54:13.165;0:57.825;0:30.279;0:22.275;274.8;Austin Cindric;;GTD;;3GT Racing;Lexus;
15;2;7;2:03.643;0;B;57.854;0;30.397;0;35.392;0;166.8;26:16.808;13:56:16.808;0:57.854;0:30.397;0:35.392;;Austin Cindric;;GTD;;3GT Racing;Lexus;
16;1;1;3:45.499;0;;2:51.723;0;31.373;0;22.403;0;91.5;3:45.499;13:33:45.499;2:51.723;0:31.373;0:22.403;275.4;Geert Jeroen Mul;0:02:01.380;GTD;;Change Racing;Lamborghini;
16;1;2;1:49.671;0;;57.316;0;30.186;0;22.169;0;188.1;5:35.170;13:35:35.170;0:57.316;0:30.186;0:22.169;277.7;Geert Jeroen Mul;;GTD;;Change Racing;Lamborghini;
16;1;3;1:49.427;0;;57.218;0;30.088;0;22.121;0;188.5;7:24.597;13:37:24.597;0:57.218;0:30.088;0:22.121;279.5;Geert Jeroen Mul;;GTD;;Change Racing;Lamborghini;
16;1;4;1:49.574;0;;56.680;0;30.873;0;22.021;1;188.2;9:14.171;13:39:14.171;0:56.680;0:30.873;0:22.021;279.5;Geert Jeroen Mul;;GTD;;Change Racing;Lamborghini;
16;1;5;1:49.226;0;;56.912;0;30.242;0;22.072;0;188.8;11:03.397;13:41:03.397;0:56.912;0:30.242;0:22.072;278.9;Geert Jeroen Mul;;GTD;;Change Racing;Lamborghini;
16;1;6;1:48.892;0;;56.635;2;30.067;2;22.190;0;189.4;12:52.289;13:42:52.289;0:56.635;0:30.067;0:22.190;279.5;Geert Jeroen Mul;;GTD;;Change Racing;Lamborghini;
16;1;7;2:03.222;0;B;57.697;0;30.101;0;35.424;0;167.4;14:55.511;13:44:55.511;0:57.697;0:30.101;0:35.424;;Geert Jeroen Mul;;GTD;;Change Racing;Lamborghini;
16;0;8;3:17.928;0;;2:25.463;0;30.346;0;22.119;0;104.2;18:13.439;13:48:13.439;2:25.463;0:30.346;0:22.119;277.2;Corey Lewis;0:01:52.896;GTD;;Change Racing;Lamborghini;
16;0;9;1:49.265;0;;56.971;0;30.175;0;22.119;0;188.8;20:02.704;13:50:02.704;0:56.971;0:30.175;0:22.119;278.9;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;10;1:48.871;2;;56.725;1;30.177;0;21.969;2;189.4;21:51.575;13:51:51.575;0:56.725;0:30.177;0:21.969;280.7;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;11;1:49.135;0;;57.009;0;30.129;1;21.997;0;189.0;23:40.710;13:53:40.710;0:57.009;0:30.129;0:21.997;283.1;Corey Lewis;;GTD;;Change Racing;Lamborghini;
16;0;12;2:05.858;0;B;56.819;0;31.367;0;37.672;0;163.9;25:46.568;13:55:46.568;0:56.819;0:31.367;0:37.672;;Corey Lewis;;GTD;;Change Racing;Lamborghini;
18;2;1;3:55.361;0;;2:59.354;0;32.622;0;23.385;0;87.6;3:55.361;13:33:55.361;2:59.354;0:32.622;0:23.385;263.3;Zach Claman;0:02:07.545;GTD;;DAC Motorsports;Lamborghini;
18;2;2;1:54.736;0;;59.620;0;31.909;0;23.207;0;179.8;5:50.097;13:35:50.097;0:59.620;0:31.909;0:23.207;268.1;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
18;2;3;1:54.429;0;;1:00.195;0;31.470;0;22.764;0;180.2;7:44.526;13:37:44.526;1:00.195;0:31.470;0:22.764;270.3;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
18;2;4;1:55.052;0;;1:00.258;0;31.645;0;23.149;0;179.3;9:39.578;13:39:39.578;1:00.258;0:31.645;0:23.149;262.8;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
18;2;5;1:53.848;0;;59.578;0;31.756;0;22.514;2;181.2;11:33.426;13:41:33.426;0:59.578;0:31.756;0:22.514;274.8;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
18;2;6;7:21.894;0;;6:27.667;0;31.367;0;22.860;0;46.7;18:55.320;13:48:55.320;6:27.667;0:31.367;0:22.860;267.0;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
18;2;7;1:53.026;2;;59.101;0;31.255;0;22.670;0;182.5;20:48.346;13:50:48.346;0:59.101;0:31.255;0:22.670;272.0;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
18;2;8;2:06.067;0;B;58.612;2;30.981;2;36.474;0;163.6;22:54.413;13:52:54.413;0:58.612;0:30.981;0:36.474;;Zach Claman;;GTD;;DAC Motorsports;Lamborghini;
19;0;1;3:17.388;0;;2:15.306;0;39.450;0;22.632;0;104.5;3:17.388;13:33:17.388;2:15.306;0:39.450;0:22.632;266.5;Bill Auberlen;0:01:26.256;GTLM;;BMW Team RLL;BMW;
19;0;2;1:46.127;0;;55.052;0;29.185;0;21.890;0;194.3;5:03.515;13:35:03.515;0:55.052;0:29.185;0:21.890;273.7;Bill Auberlen;;GTLM;;BMW Team RLL;BMW;
19;0;3;1:47.873;0;;55.573;0;30.168;0;22.132;0;191.2;6:51.388;13:36:51.388;0:55.573;0:30.168;0:22.132;269.8;Bill Auberlen;;GTLM;;BMW Team RLL;BMW;
19;0;4;1:47.220;0;;54.480;0;30.187;0;22.553;0;192.4;8:38.608;13:38:38.608;0:54.480;0:30.187;0:22.553;268.1;Bill Auberlen;;GTLM;;BMW Team RLL;BMW;
19;0;5;1:46.821;0;;55.068;0;29.540;0;22.213;0;193.1;10:25.429;13:40:25.429;0:55.068;0:29.540;0:22.213;272.0;Bill Auberlen;;GTLM;;BMW Team RLL;BMW;
19;0;6;1:46.626;0;;55.449;0;29.084;0;22.093;0;193.4;12:12.055;13:42:12.055;0:55.449;0:29.084;0:22.093;273.1;Bill Auberlen;;GTLM;;BMW Team RLL;BMW;
19;0;7;1:59.144;0;B;54.672;0;29.347;0;35.125;0;173.1;14:11.199;13:44:11.199;0:54.672;0:29.347;0:35.125;;Bill Auberlen;;GTLM;;BMW Team RLL;BMW;
19;0;8;4:36.310;0;;3:41.212;0;32.563;0;22.535;0;74.6;18:47.509;13:48:47.509;3:41.212;0:32.563;0:22.535;267.0;Bill Auberlen;0:03:03.947;GTLM;;BMW Team RLL;BMW;
