NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:17:49.656;0;;1:16:51.857;0;37.473;0;20.326;0;4.4;1:17:49.656;16:27:49.656;1:16:51.857;0:37.473;0:20.326;302.0;Ricky Taylor;1:15:52.088;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:39.248;0;;52.469;0;26.885;0;19.894;0;207.8;1:19:28.904;16:29:28.904;0:52.469;0:26.885;0:19.894;305.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:37.169;2;;50.746;2;26.577;2;19.846;0;212.3;1:21:06.073;16:31:06.073;0:50.746;0:26.577;0:19.846;304.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:40.762;0;;52.978;0;27.962;0;19.822;0;204.7;1:22:46.835;16:32:46.835;0:52.978;0:27.962;0:19.822;306.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:37.892;0;;51.089;0;26.996;0;19.807;2;210.7;1:24:24.727;16:34:24.727;0:51.089;0:26.996;0:19.807;304.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:40.139;0;;50.976;0;26.995;0;22.168;0;206.0;1:26:04.866;16:36:04.866;0:50.976;0:26.995;0:22.168;274.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
11;3;1;3:18.286;0;;2:22.181;0;33.706;0;22.399;0;104.0;3:18.286;15:13:18.286;2:22.181;0:33.706;0:22.399;276.6;Mirko Bortolotti;0:01:31.006;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;2;1:55.990;0;;57.169;0;36.503;0;22.318;0;177.8;5:14.276;15:15:14.276;0:57.169;0:36.503;0:22.318;277.7;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;3;1:48.765;0;;56.702;0;30.016;0;22.047;0;189.6;7:03.041;15:17:03.041;0:56.702;0:30.016;0:22.047;279.5;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;3;4;1:48.137;0;;56.362;0;29.803;0;21.972;0;190.7;8:51.178;15:18:51.178;0:56.362;0:29.803;0:21.972;281.3;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
