NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
007;1;1;1:20.788;0;;45.283;0;22.097;0;13.408;0;105.7;1:20.788;12:06:20.788;0:45.283;0:22.097;0:13.408;;Brandon Davis;0:00:17.700;GTD;;Aston Martin 007;Aston Martin;
007;1;2;3:37.231;0;B;24.971;0;20.783;0;2:51.477;0;39.3;4:58.019;12:09:58.019;0:24.971;0:20.783;2:51.477;228.8;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;3;1:08.823;0;;33.356;0;22.355;0;13.112;0;124.1;6:06.842;12:11:06.842;0:33.356;0:22.355;0:13.112;;Brandon Davis;0:02:45.171;GTD;;Aston Martin 007;Aston Martin;
007;1;4;56.949;0;;23.950;0;20.287;0;12.712;0;150.0;7:03.791;12:12:03.791;0:23.950;0:20.287;0:12.712;231.2;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;5;57.741;0;;23.846;0;20.906;0;12.989;0;147.9;8:01.532;12:13:01.532;0:23.846;0:20.906;0:12.989;233.1;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;6;55.916;0;;23.202;0;20.181;0;12.533;0;152.7;8:57.448;12:13:57.448;0:23.202;0:20.181;0:12.533;234.1;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;7;55.425;0;;23.104;0;19.812;0;12.509;0;154.1;9:52.873;12:14:52.873;0:23.104;0:19.812;0:12.509;235.0;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;8;54.908;0;;22.945;0;19.584;0;12.379;0;155.5;10:47.781;12:15:47.781;0:22.945;0:19.584;0:12.379;233.6;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;9;55.824;0;;23.512;0;20.022;0;12.290;0;153.0;11:43.605;12:16:43.605;0:23.512;0:20.022;0:12.290;234.6;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
007;1;10;55.266;0;;22.622;0;19.632;0;13.012;0;154.5;12:38.871;12:17:38.871;0:22.622;0:19.632;0:13.012;236.0;Brandon Davis;;GTD;;Aston Martin 007;Aston Martin;
