NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:17.864;0;;25.910;0;29.151;0;22.803;0;146.4;1:17.864;13:11:42.586;0:25.910;0:29.151;0:22.803;210.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:54.679;0;;30.140;0;50.381;0;34.158;0;99.4;3:12.543;13:13:37.265;0:30.140;0:50.381;0:34.158;223.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;2:13.477;0;;43.181;0;51.753;0;38.543;0;85.4;5:26.020;13:15:50.742;0:43.181;0:51.753;0:38.543;98.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;2:09.823;0;;46.136;0;48.346;0;35.341;0;87.8;7:35.843;13:18:00.565;0:46.136;0:48.346;0:35.341;105.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;2:06.223;0;;43.381;0;47.971;0;34.871;0;90.3;9:42.066;13:20:06.788;0:43.381;0:47.971;0:34.871;98.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;2:15.114;0;;45.262;0;56.806;0;33.046;0;84.4;11:57.180;13:22:21.902;0:45.262;0:56.806;0:33.046;106.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:17.471;0;;25.523;0;28.864;0;23.084;0;147.2;13:14.651;13:23:39.373;0:25.523;0:28.864;0:23.084;224.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:16.429;0;;25.273;0;28.569;0;22.587;0;149.2;14:31.080;13:24:55.802;0:25.273;0:28.569;0:22.587;224.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:15.939;0;;24.850;0;28.412;0;22.677;0;150.1;15:47.019;13:26:11.741;0:24.850;0:28.412;0:22.677;227.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:15.962;0;;24.920;0;28.498;0;22.544;0;150.1;17:02.981;13:27:27.703;0:24.920;0:28.498;0:22.544;225.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
