NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
14;1;1;2:38.218;0;;1:32.189;0;42.405;0;23.624;0;82.0;2:38.218;09:12:38.218;1:32.189;0:42.405;0:23.624;;Robert Alon;0:00:47.905;GTD;;3GT Racing;Lexus;
14;1;2;1:37.094;0;;36.960;0;39.628;0;20.506;0;133.5;4:15.312;09:14:15.312;0:36.960;0:39.628;0:20.506;175.4;Robert Alon;;GTD;;3GT Racing;Lexus;
14;1;3;1:28.917;0;;32.719;1;35.693;0;20.505;0;145.8;5:44.229;09:15:44.229;0:32.719;0:35.693;0:20.505;210.7;Robert Alon;;GTD;;3GT Racing;Lexus;
14;1;4;1:28.270;0;;32.901;0;35.103;1;20.266;1;146.9;7:12.499;09:17:12.499;0:32.901;0:35.103;0:20.266;209.4;Robert Alon;;GTD;;3GT Racing;Lexus;
14;1;5;2:44.010;0;B;32.811;0;35.223;0;1:35.976;0;79.1;9:56.509;09:19:56.509;0:32.811;0:35.223;1:35.976;211.9;Robert Alon;;GTD;;3GT Racing;Lexus;
14;0;6;1:32.267;0;;37.565;0;34.828;0;19.874;2;140.5;11:28.776;09:21:28.776;0:37.565;0:34.828;0:19.874;;Sage Karam;0:01:27.268;GTD;;3GT Racing;Lexus;
14;0;7;2:54.523;0;B;32.661;0;35.497;0;1:46.365;0;74.3;14:23.299;09:24:23.299;0:32.661;0:35.497;1:46.365;210.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;0;8;1:32.950;0;;38.103;0;34.895;0;19.952;0;139.5;15:56.249;09:25:56.249;0:38.103;0:34.895;0:19.952;;Sage Karam;0:01:38.479;GTD;;3GT Racing;Lexus;
14;0;9;1:27.397;2;;32.637;2;34.773;2;19.987;0;148.4;17:23.646;09:27:23.646;0:32.637;0:34.773;0:19.987;210.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;0;10;1:27.840;0;;32.930;0;35.003;0;19.907;0;147.6;18:51.486;09:28:51.486;0:32.930;0:35.003;0:19.907;211.1;Sage Karam;;GTD;;3GT Racing;Lexus;
14;0;11;1:28.242;0;;32.841;0;35.369;0;20.032;0;146.9;20:19.728;09:30:19.728;0:32.841;0:35.369;0:20.032;211.5;Sage Karam;;GTD;;3GT Racing;Lexus;
15;1;1;2:30.789;0;;1:27.022;0;41.191;0;22.576;0;86.0;2:30.789;09:12:30.789;1:27.022;0:41.191;0:22.576;;Scott Pruett;0:00:36.805;GTD;;3GT Racing;Lexus;
15;1;2;1:29.629;0;;33.398;0;36.093;0;20.138;0;144.7;4:00.418;09:14:00.418;0:33.398;0:36.093;0:20.138;209.0;Scott Pruett;;GTD;;3GT Racing;Lexus;
15;1;3;1:28.244;0;;32.780;0;35.508;0;19.956;0;146.9;5:28.662;09:15:28.662;0:32.780;0:35.508;0:19.956;210.2;Scott Pruett;;GTD;;3GT Racing;Lexus;
15;1;4;1:27.689;0;;32.590;0;35.290;0;19.809;2;147.9;6:56.351;09:16:56.351;0:32.590;0:35.290;0:19.809;209.8;Scott Pruett;;GTD;;3GT Racing;Lexus;
15;1;5;1:27.419;2;;32.569;0;35.034;1;19.816;0;148.3;8:23.770;09:18:23.770;0:32.569;0:35.034;0:19.816;211.1;Scott Pruett;;GTD;;3GT Racing;Lexus;
15;1;6;1:27.972;0;;32.567;2;35.289;0;20.116;0;147.4;9:51.742;09:19:51.742;0:32.567;0:35.289;0:20.116;211.1;Scott Pruett;;GTD;;3GT Racing;Lexus;
15;1;7;2:19.451;0;B;32.631;0;35.361;0;1:11.459;0;93.0;12:11.193;09:22:11.193;0:32.631;0:35.361;1:11.459;211.1;Scott Pruett;;GTD;;3GT Racing;Lexus;
