NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;51:39.141;0;;50:45.927;0;34.760;0;18.454;0;4.2;51:39.141;12:21:39.141;50:45.927;0:34.760;0:18.454;;Ricky Taylor;0:50:07.336;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:19.394;0;;29.857;0;31.766;0;17.771;0;163.3;52:58.535;12:22:58.535;0:29.857;0:31.766;0:17.771;230.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:17.901;0;;29.329;0;30.874;0;17.698;0;166.4;54:16.436;12:24:16.436;0:29.329;0:30.874;0:17.698;232.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:17.237;0;;28.948;0;30.722;0;17.567;0;167.9;55:33.673;12:25:33.673;0:28.948;0:30.722;0:17.567;233.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:16.853;3;;28.780;3;30.536;0;17.537;3;168.7;56:50.526;12:26:50.526;0:28.780;0:30.536;0:17.537;233.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:16.998;0;;28.907;0;30.476;3;17.615;0;168.4;58:07.524;12:28:07.524;0:28.907;0:30.476;0:17.615;233.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:22.082;0;;31.010;0;33.324;0;17.748;0;158.0;59:29.606;12:29:29.606;0:31.010;0:33.324;0:17.748;232.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;0;1;2:04.253;0;;1:00.222;0;41.057;0;22.974;0;104.4;2:04.253;11:32:04.253;1:00.222;0:41.057;0:22.974;;Sage Karam;0:00:18.811;GTD;;3GT Racing;Lexus;
14;0;2;1:43.353;0;;37.011;0;39.993;0;26.349;0;125.5;3:47.606;11:33:47.606;0:37.011;0:39.993;0:26.349;167.4;Sage Karam;;GTD;;3GT Racing;Lexus;
14;0;3;1:26.023;0;;32.227;0;34.414;0;19.382;2;150.7;5:13.629;11:35:13.629;0:32.227;0:34.414;0:19.382;211.9;Sage Karam;;GTD;;3GT Racing;Lexus;
