NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:58.192;0;;35.133;0;48.128;0;34.931;0;198.4;1:58.192;13:37:36.994;0:35.133;0:48.128;0:34.931;281.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:56.830;0;;33.829;0;47.844;0;35.157;0;200.7;3:55.022;13:39:33.824;0:33.829;0:47.844;0:35.157;278.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:55.954;0;;33.583;0;47.208;1;35.163;0;202.3;5:50.976;13:41:29.778;0:33.583;0:47.208;0:35.163;280.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:56.505;0;;33.858;0;47.432;0;35.215;0;201.3;7:47.481;13:43:26.283;0:33.858;0:47.432;0:35.215;274.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:56.565;0;;33.804;0;47.637;0;35.124;0;201.2;9:44.046;13:45:22.848;0:33.804;0:47.637;0:35.124;275.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:57.128;0;;33.758;0;47.592;0;35.778;0;200.2;11:41.174;13:47:19.976;0:33.758;0:47.592;0:35.778;276.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:56.122;0;;33.702;0;47.330;0;35.090;0;202.0;13:37.296;13:49:16.098;0:33.702;0:47.330;0:35.090;276.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;2:36.333;0;;33.782;0;52.867;0;1:09.684;0;150.0;16:13.629;13:51:52.431;0:33.782;0:52.867;1:09.684;279.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;4:06.707;0;;1:14.627;0;1:40.072;0;1:12.008;0;95.1;20:20.336;13:55:59.138;1:14.627;1:40.072;1:12.008;98.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:57.819;0;;34.249;0;48.160;0;35.410;0;199.1;22:18.155;13:57:56.957;0:34.249;0:48.160;0:35.410;282.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;11;1:56.803;0;;34.054;0;47.735;0;35.014;0;200.8;24:14.958;13:59:53.760;0:34.054;0:47.735;0:35.014;279.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;12;1:57.009;0;;33.940;0;47.950;0;35.119;0;200.4;26:11.967;14:01:50.769;0:33.940;0:47.950;0:35.119;278.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;13;1:56.657;0;;33.697;0;47.938;0;35.022;0;201.0;28:08.624;14:03:47.426;0:33.697;0:47.938;0:35.022;252.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;14;1:56.944;0;;33.915;0;47.722;0;35.307;0;200.5;30:05.568;14:05:44.370;0:33.915;0:47.722;0:35.307;270.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;15;1:58.049;0;;33.660;0;48.264;0;36.125;0;198.7;32:03.617;14:07:42.419;0:33.660;0:48.264;0:36.125;284.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;16;1:58.692;0;;33.836;0;49.507;0;35.349;0;197.6;34:02.309;14:09:41.111;0:33.836;0:49.507;0:35.349;278.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;17;1:56.676;0;;33.896;0;47.902;0;34.878;0;201.0;35:58.985;14:11:37.787;0:33.896;0:47.902;0:34.878;278.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;18;1:58.824;0;;34.312;0;49.091;0;35.421;0;197.4;37:57.809;14:13:36.611;0:34.312;0:49.091;0:35.421;279.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;19;2:00.594;0;;34.654;0;49.758;0;36.182;0;194.5;39:58.403;14:15:37.205;0:34.654;0:49.758;0:36.182;278.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;20;2:16.317;0;B;35.105;0;48.423;0;52.789;0;172.0;42:14.720;14:17:53.522;0:35.105;0:48.423;0:52.789;277.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;21;2:53.739;0;;1:28.487;0;49.715;0;35.537;0;135.0;45:08.459;14:20:47.261;1:28.487;0:49.715;0:35.537;279.1;Ricky Taylor;0:01:11.257;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;22;1:56.214;0;;33.895;0;47.446;0;34.873;0;201.8;47:04.673;14:22:43.475;0:33.895;0:47.446;0:34.873;281.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;23;1:55.527;0;;33.676;0;47.230;0;34.621;1;203.0;49:00.200;14:24:39.002;0:33.676;0:47.230;0:34.621;282.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;24;1:58.186;0;;34.190;0;48.739;0;35.257;0;198.4;50:58.386;14:26:37.188;0:34.190;0:48.739;0:35.257;280.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;25;1:59.886;0;;33.965;0;50.492;0;35.429;0;195.6;52:58.272;14:28:37.074;0:33.965;0:50.492;0:35.429;276.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;26;1:58.105;0;;34.682;0;48.108;0;35.315;0;198.6;54:56.377;14:30:35.179;0:34.682;0:48.108;0:35.315;284.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;27;1:58.505;0;;33.686;0;49.804;0;35.015;0;197.9;56:54.882;14:32:33.684;0:33.686;0:49.804;0:35.015;283.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;28;1:57.555;0;;34.069;0;48.067;0;35.419;0;199.5;58:52.437;14:34:31.239;0:34.069;0:48.067;0:35.419;279.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;29;1:57.624;0;;34.203;0;48.203;0;35.218;0;199.4;1:00:50.061;14:36:28.863;0:34.203;0:48.203;0:35.218;277.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;30;1:57.991;0;;34.332;0;48.827;0;34.832;0;198.8;1:02:48.052;14:38:26.854;0:34.332;0:48.827;0:34.832;281.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;31;1:58.151;0;;33.789;0;49.281;0;35.081;0;198.5;1:04:46.203;14:40:25.005;0:33.789;0:49.281;0:35.081;279.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;32;1:57.371;0;;33.916;0;47.257;0;36.198;0;199.8;1:06:43.574;14:42:22.376;0:33.916;0:47.257;0:36.198;283.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;33;1:55.957;0;;33.651;0;47.505;0;34.801;0;202.3;1:08:39.531;14:44:18.333;0:33.651;0:47.505;0:34.801;283.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;34;1:56.416;0;;34.420;0;47.343;0;34.653;0;201.5;1:10:35.947;14:46:14.749;0:34.420;0:47.343;0:34.653;282.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;35;1:55.394;0;;33.454;0;47.292;0;34.648;0;203.2;1:12:31.341;14:48:10.143;0:33.454;0:47.292;0:34.648;283.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;36;1:55.683;0;;33.363;1;47.393;0;34.927;0;202.7;1:14:27.024;14:50:05.826;0:33.363;0:47.393;0:34.927;284.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;37;1:56.271;0;;33.645;0;48.003;0;34.623;0;201.7;1:16:23.295;14:52:02.097;0:33.645;0:48.003;0:34.623;283.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;38;1:56.326;0;;33.589;0;47.583;0;35.154;0;201.6;1:18:19.621;14:53:58.423;0:33.589;0:47.583;0:35.154;284.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;39;2:13.897;0;B;33.982;0;47.932;0;51.983;0;175.2;1:20:33.518;14:56:12.320;0:33.982;0:47.932;0:51.983;283.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;40;2:52.637;0;;1:28.592;0;49.125;0;34.920;0;135.8;1:23:26.155;14:59:04.957;1:28.592;0:49.125;0:34.920;279.1;Jordan Taylor;0:01:11.553;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;41;1:56.694;0;;33.904;0;47.703;0;35.087;0;201.0;1:25:22.849;15:01:01.651;0:33.904;0:47.703;0:35.087;282.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;42;1:57.307;0;;33.732;0;48.671;0;34.904;0;199.9;1:27:20.156;15:02:58.958;0:33.732;0:48.671;0:34.904;285.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;43;1:55.420;0;;33.531;0;47.242;0;34.647;0;203.2;1:29:15.576;15:04:54.378;0:33.531;0:47.242;0:34.647;284.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;44;1:55.593;0;;33.626;0;47.219;0;34.748;0;202.9;1:31:11.169;15:06:49.971;0:33.626;0:47.219;0:34.748;283.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;45;1:58.319;0;;33.615;0;49.767;0;34.937;0;198.2;1:33:09.488;15:08:48.290;0:33.615;0:49.767;0:34.937;286.4;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;46;1:55.711;0;;34.110;0;47.104;0;34.497;0;202.7;1:35:05.199;15:10:44.001;0:34.110;0:47.104;0:34.497;282.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;47;1:55.750;0;;33.478;0;47.821;0;34.451;0;202.6;1:37:00.949;15:12:39.751;0:33.478;0:47.821;0:34.451;283.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;48;1:56.620;0;;33.890;0;47.716;0;35.014;0;201.1;1:38:57.569;15:14:36.371;0:33.890;0:47.716;0:35.014;282.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;49;1:57.267;0;;34.407;0;47.817;0;35.043;0;200.0;1:40:54.836;15:16:33.638;0:34.407;0:47.817;0:35.043;283.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;50;1:58.620;0;;34.004;0;48.139;0;36.477;0;197.7;1:42:53.456;15:18:32.258;0:34.004;0:48.139;0:36.477;283.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;51;2:11.099;0;;33.756;0;49.074;0;48.269;0;178.9;1:45:04.555;15:20:43.357;0:33.756;0:49.074;0:48.269;272.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;52;4:44.608;0;B;1:24.053;0;1:48.891;0;1:31.664;0;82.4;1:49:49.163;15:25:27.965;1:24.053;1:48.891;1:31.664;73.8;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;53;4:33.358;0;;1:54.369;0;1:33.259;0;1:05.730;0;85.8;1:54:22.521;15:30:01.323;1:54.369;1:33.259;1:05.730;63.1;Jordan Taylor;0:01:07.529;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;54;4:05.830;0;;1:19.878;0;1:28.443;0;1:17.509;0;95.4;1:58:28.351;15:34:07.153;1:19.878;1:28.443;1:17.509;99.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;55;3:42.359;0;;1:20.935;0;1:23.007;0;58.417;0;105.5;2:02:10.710;15:37:49.512;1:20.935;1:23.007;0:58.417;99.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;56;2:13.010;0;;34.866;0;47.914;0;50.230;0;176.3;2:04:23.720;15:40:02.522;0:34.866;0:47.914;0:50.230;282.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;57;4:19.466;0;;1:21.232;0;1:45.324;0;1:12.910;0;90.4;2:08:43.186;15:44:21.988;1:21.232;1:45.324;1:12.910;81.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;58;1:57.963;0;;34.621;0;48.475;0;34.867;0;198.8;2:10:41.149;15:46:19.951;0:34.621;0:48.475;0:34.867;285.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;59;1:57.495;0;;35.038;0;47.766;0;34.691;0;199.6;2:12:38.644;15:48:17.446;0:35.038;0:47.766;0:34.691;282.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;60;2:20.021;0;;33.969;0;47.305;0;58.747;0;167.5;2:14:58.665;15:50:37.467;0:33.969;0:47.305;0:58.747;283.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;61;4:10.714;0;;1:27.969;0;1:30.155;0;1:12.590;0;93.5;2:19:09.379;15:54:48.181;1:27.969;1:30.155;1:12.590;91.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;62;4:07.718;0;;1:22.869;0;1:40.146;0;1:04.703;0;94.7;2:23:17.097;15:58:55.899;1:22.869;1:40.146;1:04.703;97.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;63;1:56.769;0;;34.297;0;47.721;0;34.751;0;200.8;2:25:13.866;16:00:52.668;0:34.297;0:47.721;0:34.751;283.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;64;1:55.236;0;;33.659;0;47.042;0;34.535;0;203.5;2:27:09.102;16:02:47.904;0:33.659;0:47.042;0:34.535;282.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;65;1:54.727;0;;33.483;0;46.777;0;34.467;0;204.4;2:29:03.829;16:04:42.631;0:33.483;0:46.777;0:34.467;283.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;66;1:54.940;0;;33.535;0;46.838;0;34.567;0;204.0;2:30:58.769;16:06:37.571;0:33.535;0:46.838;0:34.567;284.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;67;1:54.572;2;;33.485;0;46.694;2;34.393;2;204.7;2:32:53.341;16:08:32.143;0:33.485;0:46.694;0:34.393;284.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;68;1:56.180;0;;33.431;0;48.030;0;34.719;0;201.9;2:34:49.521;16:10:28.323;0:33.431;0:48.030;0:34.719;285.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;69;1:55.287;0;;33.696;0;47.032;0;34.559;0;203.4;2:36:44.808;16:12:23.610;0:33.696;0:47.032;0:34.559;283.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;70;1:55.798;0;;33.336;2;47.442;0;35.020;0;202.5;2:38:40.606;16:14:19.408;0:33.336;0:47.442;0:35.020;284.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;71;1:57.211;0;;33.871;0;47.988;0;35.352;0;200.1;2:40:37.817;16:16:16.619;0:33.871;0:47.988;0:35.352;285.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;1;1;2:20.971;0;;46.091;0;55.251;0;39.629;0;166.4;2:20.971;13:37:59.773;0:46.091;0:55.251;0:39.629;245.0;Robert Alon;;GTD;;3GT Racing;Lexus;
14;1;2;2:10.462;0;;37.503;0;53.640;0;39.319;0;179.8;4:31.433;13:40:10.235;0:37.503;0:53.640;0:39.319;264.1;Robert Alon;;GTD;;3GT Racing;Lexus;
14;1;3;2:09.434;0;;37.262;1;52.875;0;39.297;0;181.2;6:40.867;13:42:19.669;0:37.262;0:52.875;0:39.297;261.5;Robert Alon;;GTD;;3GT Racing;Lexus;
14;1;4;2:09.064;0;;37.454;0;52.772;1;38.838;0;181.7;8:49.931;13:44:28.733;0:37.454;0:52.772;0:38.838;261.0;Robert Alon;;GTD;;3GT Racing;Lexus;
