NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
13;1;1;2:16.298;0;;1:19.111;0;31.817;0;25.370;0;108.0;2:16.298;08:32:16.298;1:19.111;0:31.817;0:25.370;262.4;Nick Heidfeld;0:00:43.228;P;;Rebellion Racing;ORECA;
13;1;2;1:30.867;0;;37.006;0;31.104;0;22.757;0;161.9;3:47.165;08:33:47.165;0:37.006;0:31.104;0:22.757;264.4;Nick Heidfeld;;P;;Rebellion Racing;ORECA;
13;1;3;1:26.228;2;;34.508;2;29.619;2;22.101;2;170.7;5:13.393;08:35:13.393;0:34.508;0:29.619;0:22.101;267.9;Nick Heidfeld;;P;;Rebellion Racing;ORECA;
13;1;4;1:38.422;0;B;35.423;0;29.735;0;33.264;0;149.5;6:51.815;08:36:51.815;0:35.423;0:29.735;0:33.264;266.9;Nick Heidfeld;;P;;Rebellion Racing;ORECA;
13;0;5;4:32.510;0;;3:34.502;0;32.804;0;25.204;0;54.0;11:24.325;08:41:24.325;3:34.502;0:32.804;0:25.204;247.9;Mathias Beche;0:03:03.794;P;;Rebellion Racing;ORECA;
13;0;6;1:29.946;0;;37.116;0;30.044;0;22.786;1;163.6;12:54.271;08:42:54.271;0:37.116;0:30.044;0:22.786;266.4;Mathias Beche;;P;;Rebellion Racing;ORECA;
13;0;7;1:37.551;0;B;35.621;1;29.639;1;32.291;0;150.9;14:31.822;08:44:31.822;0:35.621;0:29.639;0:32.291;266.4;Mathias Beche;;P;;Rebellion Racing;ORECA;
14;0;1;2:37.614;0;;1:31.004;0;38.776;0;27.834;1;93.4;2:37.614;08:32:37.614;1:31.004;0:38.776;0:27.834;168.7;Sage Karam;0:00:50.822;GTD;;3GT Racing;Lexus;
14;0;2;1:53.416;0;B;42.748;1;36.079;1;34.589;0;129.8;4:31.030;08:34:31.030;0:42.748;0:36.079;0:34.589;171.2;Sage Karam;;GTD;;3GT Racing;Lexus;
14;2;3;2:49.746;0;;1:47.859;0;35.643;0;26.244;1;86.7;7:20.776;08:37:20.776;1:47.859;0:35.643;0:26.244;218.0;Ian James;0:01:17.660;GTD;;3GT Racing;Lexus;
14;2;4;1:52.214;0;B;42.003;1;33.950;1;36.261;0;131.1;9:12.990;08:39:12.990;0:42.003;0:33.950;0:36.261;218.0;Ian James;;GTD;;3GT Racing;Lexus;
14;1;5;2:34.766;0;;1:35.692;0;33.279;0;25.795;2;95.1;11:47.756;08:41:47.756;1:35.692;0:33.279;0:25.795;241.5;Robert Alon;0:01:10.844;GTD;;3GT Racing;Lexus;
14;1;6;1:46.427;0;B;38.842;2;32.668;2;34.917;0;138.3;13:34.183;08:43:34.183;0:38.842;0:32.668;0:34.917;242.3;Robert Alon;;GTD;;3GT Racing;Lexus;
