NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:37.366;0;;44.907;0;31.286;0;21.173;0;151.1;1:37.366;19:31:37.366;0:44.907;0:31.286;0:21.173;254.2;Ricky Taylor;0:00:12.582;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:28.161;0;B;31.343;0;28.276;0;28.542;0;166.9;3:05.527;19:33:05.527;0:31.343;0:28.276;0:28.542;269.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;3;2:31.535;0;;1:39.367;0;30.734;0;21.434;0;97.1;5:37.062;19:35:37.062;1:39.367;0:30.734;0:21.434;268.4;Ryan Hunter-Reay;0:01:15.360;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;4;1:17.620;0;;30.514;0;27.836;0;19.270;0;189.6;6:54.682;19:36:54.682;0:30.514;0:27.836;0:19.270;270.5;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;5;1:14.664;0;;28.595;0;26.938;0;19.131;0;197.1;8:09.346;19:38:09.346;0:28.595;0:26.938;0:19.131;270.5;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;6;1:17.716;0;;29.767;0;28.571;0;19.378;0;189.4;9:27.062;19:39:27.062;0:29.767;0:28.571;0:19.378;272.6;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;7;1:16.519;0;;29.582;0;27.033;0;19.904;0;192.3;10:43.581;19:40:43.581;0:29.582;0:27.033;0:19.904;266.9;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;8;1:13.647;0;;27.981;0;26.629;0;19.037;0;199.8;11:57.228;19:41:57.228;0:27.981;0:26.629;0:19.037;272.6;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;9;1:15.408;0;;28.560;0;26.755;0;20.093;0;195.1;13:12.636;19:43:12.636;0:28.560;0:26.755;0:20.093;270.0;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;10;1:13.161;0;;27.794;1;26.611;2;18.756;1;201.1;14:25.797;19:44:25.797;0:27.794;0:26.611;0:18.756;272.1;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;11;1:16.625;0;;29.743;0;27.507;0;19.375;0;192.1;15:42.422;19:45:42.422;0:29.743;0:27.507;0:19.375;269.5;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;12;1:15.444;0;;28.530;0;27.030;0;19.884;0;195.1;16:57.866;19:46:57.866;0:28.530;0:27.030;0:19.884;271.1;Ryan Hunter-Reay;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
