NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:12.678;0;;1:22.076;0;29.878;0;20.724;0;155.4;2:12.678;14:47:12.678;1:22.076;0:29.878;0:20.724;301.3;Ricky Taylor;0:00:28.218;P;;Wayne Taylor Racing;Cadillac;
10;0;2;1:42.422;0;;54.192;0;27.992;0;20.238;0;201.4;3:55.100;14:48:55.100;0:54.192;0:27.992;0:20.238;305.5;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;3;1:39.587;0;;51.977;0;27.390;0;20.220;0;207.1;5:34.687;14:50:34.687;0:51.977;0:27.390;0:20.220;304.8;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;4;1:43.437;0;;52.713;0;29.662;0;21.062;0;199.4;7:18.124;14:52:18.124;0:52.713;0:29.662;0:21.062;303.3;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;5;1:39.074;0;;51.430;0;27.417;0;20.227;0;208.2;8:57.198;14:53:57.198;0:51.430;0:27.417;0:20.227;306.9;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;6;1:41.331;0;;53.448;0;27.512;0;20.371;0;203.5;10:38.529;14:55:38.529;0:53.448;0:27.512;0:20.371;306.2;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;7;1:40.159;0;;52.533;0;27.494;0;20.132;2;205.9;12:18.688;14:57:18.688;0:52.533;0:27.494;0:20.132;306.9;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;8;1:40.342;0;;52.909;0;27.298;0;20.135;0;205.5;13:59.030;14:58:59.030;0:52.909;0:27.298;0:20.135;306.2;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;9;1:39.979;0;;52.353;0;27.397;0;20.229;0;206.3;15:39.009;15:00:39.009;0:52.353;0:27.397;0:20.229;305.5;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;10;10:46.707;0;B;51.470;0;27.403;0;9:27.834;0;31.9;26:25.716;15:11:25.716;0:51.470;0:27.403;9:27.834;;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
10;0;11;2:01.026;0;;1:12.949;0;27.860;0;20.217;0;170.4;28:26.742;15:13:26.742;1:12.949;0:27.860;0:20.217;306.2;Ricky Taylor;0:09:34.858;P;;Wayne Taylor Racing;Cadillac;
10;0;12;1:39.853;0;;52.000;0;27.541;0;20.312;0;206.5;30:06.595;15:15:06.595;0:52.000;0:27.541;0:20.312;306.2;Ricky Taylor;;P;;Wayne Taylor Racing;Cadillac;
