NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;8:04.309;0;;6:38.507;0;43.532;0;42.270;0;44.7;8:04.309;19:38:04.309;6:38.507;0:43.532;0:42.270;264.4;Alexander Lynn;0:06:00.490;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;2;1:55.298;0;;33.757;0;39.743;0;41.798;0;187.9;9:59.607;19:39:59.607;0:33.757;0:39.743;0:41.798;269.1;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;3;2:09.660;0;B;33.311;0;40.137;0;56.212;0;167.1;12:09.267;19:42:09.267;0:33.311;0:40.137;0:56.212;224.4;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;4;5:56.976;0;;4:35.632;0;40.837;0;40.507;0;60.7;18:06.243;19:48:06.243;4:35.632;0:40.837;0:40.507;269.1;Alexander Lynn;0:04:11.601;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;5;1:52.120;0;;32.865;0;39.257;0;39.998;0;193.2;19:58.363;19:49:58.363;0:32.865;0:39.257;0:39.998;269.1;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;6;1:55.170;0;;32.932;0;42.324;0;39.914;0;188.1;21:53.533;19:51:53.533;0:32.932;0:42.324;0:39.914;270.2;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;7;1:51.019;0;;32.777;1;38.909;1;39.333;1;195.1;23:44.552;19:53:44.552;0:32.777;0:38.909;0:39.333;270.7;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;8;1:54.293;0;;33.791;0;39.712;0;40.790;0;189.6;25:38.845;19:55:38.845;0:33.791;0:39.712;0:40.790;270.2;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;9;1:53.613;0;;33.143;0;40.497;0;39.973;0;190.7;27:32.458;19:57:32.458;0:33.143;0:40.497;0:39.973;270.7;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;10;2:08.703;0;B;34.222;0;40.141;0;54.340;0;168.3;29:41.161;19:59:41.161;0:34.222;0:40.141;0:54.340;263.9;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;11;6:19.681;0;;4:53.945;0;40.106;0;45.630;0;57.1;36:00.842;20:06:00.842;4:53.945;0:40.106;0:45.630;270.2;Jordan Taylor;0:04:29.172;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;12;1:58.511;0;;36.528;0;40.708;0;41.275;0;182.8;37:59.353;20:07:59.353;0:36.528;0:40.708;0:41.275;272.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;13;1:51.714;0;;32.705;0;39.314;0;39.695;0;193.9;39:51.067;20:09:51.067;0:32.705;0:39.314;0:39.695;270.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;14;2:05.578;0;B;33.720;0;39.018;0;52.840;0;172.5;41:56.645;20:11:56.645;0:33.720;0:39.018;0:52.840;271.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;15;4:03.664;0;;2:44.387;0;39.398;0;39.879;0;88.9;46:00.309;20:16:00.309;2:44.387;0:39.398;0:39.879;270.2;Jordan Taylor;0:02:21.923;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;16;1:50.481;0;;32.530;1;38.530;1;39.421;1;196.1;47:50.790;20:17:50.790;0:32.530;0:38.530;0:39.421;271.8;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;17;2:03.367;0;B;33.649;0;39.040;0;50.678;0;175.6;49:54.157;20:19:54.157;0:33.649;0:39.040;0:50.678;257.4;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;18;4:30.726;0;;3:05.832;0;43.366;0;41.528;0;80.0;54:24.883;20:24:24.883;3:05.832;0:43.366;0:41.528;268.6;Ricky Taylor;0:02:37.861;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;19;1:52.125;0;;33.509;0;38.861;0;39.755;0;193.2;56:17.008;20:26:17.008;0:33.509;0:38.861;0:39.755;270.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;20;1:53.871;0;;32.711;0;39.315;0;41.845;0;190.3;58:10.879;20:28:10.879;0:32.711;0:39.315;0:41.845;269.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;21;1:53.316;0;;33.402;0;38.525;2;41.389;0;191.2;1:00:04.195;20:30:04.195;0:33.402;0:38.525;0:41.389;261.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;22;1:51.310;0;;32.710;0;38.856;0;39.744;0;194.6;1:01:55.505;20:31:55.505;0:32.710;0:38.856;0:39.744;272.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;23;2:06.861;0;B;33.148;0;39.970;0;53.743;0;170.8;1:04:02.366;20:34:02.366;0:33.148;0:39.970;0:53.743;230.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;24;5:36.015;0;;4:16.142;0;40.025;0;39.848;0;64.5;1:09:38.381;20:39:38.381;4:16.142;0:40.025;0:39.848;272.3;Ricky Taylor;0:03:51.971;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;25;1:52.661;0;;33.043;0;40.116;0;39.502;0;192.3;1:11:31.042;20:41:31.042;0:33.043;0:40.116;0:39.502;273.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;26;1:50.072;2;;32.502;2;38.676;0;38.894;2;196.8;1:13:21.114;20:43:21.114;0:32.502;0:38.676;0:38.894;274.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;27;2:05.247;0;B;32.747;0;39.096;0;53.404;0;173.0;1:15:26.361;20:45:26.361;0:32.747;0:39.096;0:53.404;235.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;28;3:58.129;0;;2:35.329;0;41.745;0;41.055;0;91.0;1:19:24.490;20:49:24.490;2:35.329;0:41.745;0:41.055;272.3;Alexander Lynn;0:02:11.019;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;29;2:04.940;0;B;34.227;0;39.359;0;51.354;0;173.4;1:21:29.430;20:51:29.430;0:34.227;0:39.359;0:51.354;271.8;Alexander Lynn;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;30;3:39.132;0;B;2:09.779;0;39.687;0;49.666;0;98.9;1:25:08.562;20:55:08.562;2:09.779;0:39.687;0:49.666;271.8;Jordan Taylor;0:01:45.951;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;31;3:14.937;0;B;1:42.380;0;39.762;0;52.795;0;111.1;1:28:23.499;20:58:23.499;1:42.380;0:39.762;0:52.795;249.9;Ricky Taylor;0:01:17.233;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
