NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:18.220;0;;51.762;0;43.583;0;42.875;0;142.5;2:18.220;08:02:18.220;0:51.762;0:43.583;0:42.875;226.4;Ricky Taylor;0:00:26.847;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:41.548;0;;23.277;0;37.868;0;40.403;0;194.0;3:59.768;08:03:59.768;0:23.277;0:37.868;0:40.403;281.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:39.892;0;;22.619;0;38.051;0;39.222;0;197.2;5:39.660;08:05:39.660;0:22.619;0:38.051;0:39.222;260.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:36.679;0;;22.464;0;36.429;0;37.786;2;203.8;7:16.339;08:07:16.339;0:22.464;0:36.429;0:37.786;285.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:36.382;2;;22.356;0;36.134;2;37.892;0;204.4;8:52.721;08:08:52.721;0:22.356;0:36.134;0:37.892;285.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:51.887;0;B;22.431;0;37.362;0;52.094;0;176.1;10:44.608;08:10:44.608;0:22.431;0:37.362;0:52.094;285.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;3:53.968;0;;2:37.326;0;38.379;0;38.263;0;84.2;14:38.576;08:14:38.576;2:37.326;0:38.379;0:38.263;228.0;Ricky Taylor;0:02:31.579;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:37.220;0;;22.358;0;36.263;0;38.599;0;202.6;16:15.796;08:16:15.796;0:22.358;0:36.263;0:38.599;286.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:52.434;0;B;22.330;2;36.531;0;53.573;0;175.2;18:08.230;08:18:08.230;0:22.330;0:36.531;0:53.573;286.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;10;2:18.256;0;;1:01.351;0;38.764;0;38.141;0;142.5;20:26.486;08:20:26.486;1:01.351;0:38.764;0:38.141;263.9;Jordan Taylor;0:00:54.198;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
