NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;11:48.193;0;;32.527;0;10:36.036;0;39.630;0;27.8;11:48.193;10:22:13.203;0:32.527;10:36.036;0:39.630;179.9;Ricky Taylor;0:08:15.661;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:37.817;0;;22.785;0;36.882;0;38.150;0;201.4;13:26.010;10:23:51.020;0:22.785;0:36.882;0:38.150;281.9;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:36.777;0;;22.600;0;36.419;0;37.758;0;203.5;15:02.787;10:25:27.797;0:22.600;0:36.419;0:37.758;283.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:38.458;0;;22.295;0;38.204;0;37.959;0;200.1;16:41.245;10:27:06.255;0:22.295;0:38.204;0:37.959;281.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:38.360;0;;23.020;0;37.528;0;37.812;0;200.3;18:19.605;10:28:44.615;0:23.020;0:37.528;0:37.812;279.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:38.274;0;;22.328;0;36.834;0;39.112;0;200.4;19:57.879;10:30:22.889;0:22.328;0:36.834;0:39.112;287.4;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:39.156;0;;22.600;0;38.633;0;37.923;0;198.7;21:37.035;10:32:02.045;0:22.600;0:38.633;0:37.923;267.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:38.064;0;;22.476;0;36.762;0;38.826;0;200.9;23:15.099;10:33:40.109;0:22.476;0:36.762;0:38.826;286.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:36.998;0;;22.771;0;36.511;0;37.716;0;203.1;24:52.097;10:35:17.107;0:22.771;0:36.511;0:37.716;285.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:36.078;0;;22.414;0;36.024;0;37.640;0;205.0;26:28.175;10:36:53.185;0:22.414;0:36.024;0:37.640;286.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
