NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
14;0;1;2:51.384;0;;2:14.850;0;22.976;0;13.558;0;49.8;2:51.384;09:07:51.384;2:14.850;0:22.976;0:13.558;;Dominik Baumann;0:01:45.365;GTD;;3GT Racing;Lexus;
14;0;2;8:59.390;0;B;24.640;0;21.159;0;8:13.591;0;15.8;11:50.774;09:16:50.774;0:24.640;0:21.159;8:13.591;221.6;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;3;1:04.446;0;;31.322;0;20.733;0;12.391;0;132.5;12:55.220;09:17:55.220;0:31.322;0:20.733;0:12.391;;Dominik Baumann;0:08:08.065;GTD;;3GT Racing;Lexus;
14;0;4;54.399;0;;22.514;0;19.620;1;12.265;0;157.0;13:49.619;09:18:49.619;0:22.514;0:19.620;0:12.265;232.7;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;5;54.570;0;;22.624;0;19.743;0;12.203;1;156.5;14:44.189;09:19:44.189;0:22.624;0:19.743;0:12.203;235.7;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;6;2:22.638;0;B;22.509;1;19.797;0;1:40.332;0;59.9;17:06.827;09:22:06.827;0:22.509;0:19.797;1:40.332;235.2;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;1;7;1:02.888;0;;30.793;0;19.829;0;12.266;0;135.8;18:09.715;09:23:09.715;0:30.793;0:19.829;0:12.266;;Kyle Marcelli;0:01:35.968;GTD;;3GT Racing;Lexus;
14;1;8;54.415;0;;22.522;0;19.697;0;12.196;2;156.9;19:04.130;09:24:04.130;0:22.522;0:19.697;0:12.196;234.7;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;9;54.808;0;;22.326;2;20.149;0;12.333;0;155.8;19:58.938;09:24:58.938;0:22.326;0:20.149;0:12.333;236.2;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;10;54.372;2;;22.511;0;19.606;2;12.255;0;157.1;20:53.310;09:25:53.310;0:22.511;0:19.606;0:12.255;235.7;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
