POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;26;6;1:57.102;-;-;183.1;7;K2R Motorsports;LMP3;;;Ligier JS P3;M;560;183;23;58;7650;3;;4592;;;James;McGuire;Bronze;;San Francisco, CA;;921;5;Bronze;;;Matt;Bell;Silver;;Newcastle Upon Tyne, UK;;424; 1;Silver;;;Kay;van Berlo;Bronze;;Veghel, Netherlands;;1759;3;Bronze;;;;;;;;;;;;;;;;;;;;;
2;13;7;1:58.263;+1.161;+1.161;181.3;8;ANSA Motorsports;LMP3;;;Ligier JS P3;M;567;168;23;58;7650;3;;4602;;;Roman;DeAngelis;Silver;;Belle River, Ontario;;1379;1;Silver;;;Kyle;Kirkwood;;;Jupiter, FL;;1755;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;84;6;1:58.341;+1.239;+0.078;181.2;8;JDC Motorsports;LMP3;;;Ligier JS P3;M;557;181;23;58;7650;3;;4584;;;Patrick;Byrne;Silver;;Spokane, WA;;859;1;Silver;;;Guy;Cosmo;Silver;;Palm Bch Gardens, FL;;49;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;33;4;1:58.445;+1.343;+0.104;181.0;10;Extreme Speed Motorsport;LMP3;;;Ligier JS P3;M;568;44;23;58;7650;3;;4603;;;Lance;Willsey;Bronze;;Chestnut Hill, MA;;664;2;Bronze;;;Max;Hanratty;Silver;;Milwaukee, WI;;980;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;40;10;1:59.401;+2.299;+0.956;179.6;10;Polestar Motor Racing Inc.;LMP3;;;Ligier JS P3;M;549;231;23;58;7650;3;;4595;;;Keith;Grant;Silver;;Germantown, TN;;1660;1;Silver;;;David;Grant;Bronze;;Germantown, TN;;1661;2;Bronze;;;Katherine;Legge;Silver;;Atlanta, GA;;384;3;Silver;;;;;;;;;;;;;;;;;;;;;
6;11;7;1:59.943;+2.841;+0.542;178.7;8;Simraceway Motorsports;LMP3;;;Ligier JS P3;M;570;247;23;58;7650;3;;4605;;;Maurice;Smith;Bronze;;Cordova, TN;;1748;2;Bronze;;;John;Schauerman;Bronze;;Scottsdale, AZ;;1758;3;Bronze;;;Nico;Rondet;Silver;;San Francisco, CA;;922;1;Silver;;;;;;;;;;;;;;;;;;;;;
7;64;4;2:00.043;+2.941;+0.100;178.6;6;K2R Motorsports;LMP3;;;Ligier JS P3;M;552;183;23;58;7650;3;;4591;;;Naveen;Rao;;;San Diego, CA;;1393;5;;;;Alex;Barron;;;Menifee, CA;;1647;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;6;4;2:01.612;+4.510;+1.569;176.3;5;Atlantic Racing Team;LMP3;;;Adess  03;M;571;248;23;59;7656;3;;4606;;;Robin;Shute;;;Old Buckenham, UK;;1757;1;;;;Jim;Antunes;Silver;;Payerne, Switzerland;;1761;2;Silver;;;Tazio;Ottis;Silver;;Alameda, CA;;1349;3;Silver;;;;;;;;;;;;;;;;;;;;;
9;25;5;2:01.722;+4.620;+0.110;176.1;6;P1 Motorsports;LMP3;;;Ligier JS P3;M;564;164;23;58;7650;3;;4599;;;Kenton;Koch;Silver;;Charlotte, NC;;916;1;Silver;;;Joel;Janco;Bronze;;Key Largo, FL;;271;2;Bronze;;;Jonatan;Jorge;Bronze;;Tramandaí, RS Brazil;;1206;3;Bronze;;;;;;;;;;;;;;;;;;;;;
10;4;4;2:02.504;+5.402;+0.782;175.0;6;ANSA Motorsports;LMP3;;;Ligier JS P3;M;565;168;23;58;7650;3;;4600;;;Dean;Baker;Bronze;;Bowmanville, Ontario;;1627;1;Bronze;;;Zacharie;Robichon;Silver;;Ottawa, Ontario;;1176;2;Silver;;;Michal;Chlumecky;;;Windsor, Ontario;;198;3;;;;;;;;;;;;;;;;;;;;;;
