NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;51:35.504;0;;50:44.855;0;25.935;0;24.714;0;4.2;51:35.504;12:56:35.504;50:44.855;0:25.935;0:24.714;241.6;Renger Van Der Zande;0:50:11.177;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:17.733;0;;30.448;0;23.710;0;23.575;0;168.3;52:53.237;12:57:53.237;0:30.448;0:23.710;0:23.575;264.9;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:21.351;0;;29.653;0;25.771;0;25.927;0;160.8;54:14.588;12:59:14.588;0:29.653;0:25.771;0:25.927;266.5;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:14.956;0;;29.314;0;22.624;0;23.018;0;174.5;55:29.544;13:00:29.544;0:29.314;0:22.624;0:23.018;266.5;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:13.562;0;;28.848;0;22.281;0;22.433;0;177.8;56:43.106;13:01:43.106;0:28.848;0:22.281;0:22.433;267.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:13.006;0;;28.673;0;21.971;0;22.362;2;179.2;57:56.112;13:02:56.112;0:28.673;0:21.971;0:22.362;267.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:12.600;2;;28.440;2;21.789;0;22.371;0;180.2;59:08.712;13:04:08.712;0:28.440;0:21.789;0:22.371;267.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:15.808;0;;28.542;0;21.939;0;25.327;0;172.6;1:00:24.520;13:05:24.520;0:28.542;0:21.939;0:25.327;268.2;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:13.043;0;;28.603;0;21.971;0;22.469;0;179.1;1:01:37.563;13:06:37.563;0:28.603;0:21.971;0:22.469;267.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:12.975;0;;28.641;0;21.904;0;22.430;0;179.3;1:02:50.538;13:07:50.538;0:28.641;0:21.904;0:22.430;267.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;11;1:12.818;0;;28.570;0;21.613;3;22.635;0;179.7;1:04:03.356;13:09:03.356;0:28.570;0:21.613;0:22.635;267.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;12;1:12.742;0;;28.469;0;21.766;0;22.507;0;179.8;1:05:16.098;13:10:16.098;0:28.469;0:21.766;0:22.507;268.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;1;1;2:53.744;0;;1:57.717;0;27.675;0;28.352;0;75.3;2:53.744;12:07:53.744;1:57.717;0:27.675;0:28.352;230.6;Kyle Marcelli;0:01:21.683;GTD;;3GT Racing;Lexus;
14;1;2;1:22.800;0;;32.742;0;24.864;0;25.194;0;158.0;4:16.544;12:09:16.544;0:32.742;0:24.864;0:25.194;248.0;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;3;1:20.798;0;;31.476;0;24.166;0;25.156;0;161.9;5:37.342;12:10:37.342;0:31.476;0:24.166;0:25.156;250.8;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;4;1:20.043;0;;31.038;0;24.120;0;24.885;0;163.4;6:57.385;12:11:57.385;0:31.038;0:24.120;0:24.885;250.8;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
