NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;3:03.103;0;B;1:05.679;0;59.408;1;58.016;0;128.1;3:03.103;08:33:03.103;1:05.679;0:59.408;0:58.016;189.6;Renger Van Der Zande;0:00:21.378;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;2;3:10.897;0;;1:45.887;0;49.730;0;35.280;0;122.9;6:14.000;08:36:14.000;1:45.887;0:49.730;0:35.280;254.0;Jordan Taylor;0:01:28.027;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;3;2:09.912;0;B;33.955;2;46.691;2;49.266;0;180.5;8:23.912;08:38:23.912;0:33.955;0:46.691;0:49.266;280.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;4;3:14.890;0;;1:53.562;0;46.847;0;34.481;2;120.3;11:38.802;08:41:38.802;1:53.562;0:46.847;0:34.481;282.1;Jordan Taylor;0:01:38.727;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;5;2:19.594;0;B;33.335;0;54.267;0;51.992;0;168.0;13:58.396;08:43:58.396;0:33.335;0:54.267;0:51.992;282.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;0;1;3:13.912;0;;1:19.940;0;1:07.968;0;46.004;0;120.9;3:13.912;08:33:13.912;1:19.940;1:07.968;0:46.004;158.3;Dominik Baumann;0:00:28.375;GTD;;3GT Racing;Lexus;
14;0;2;2:47.600;0;B;42.180;0;1:02.962;0;1:02.458;0;139.9;6:01.512;08:36:01.512;0:42.180;1:02.962;1:02.458;238.8;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;3;3:16.963;0;;1:40.766;0;56.137;0;40.060;0;119.1;9:18.475;08:39:18.475;1:40.766;0:56.137;0:40.060;203.9;Dominik Baumann;0:01:19.868;GTD;;3GT Racing;Lexus;
14;0;4;2:12.321;2;;38.283;2;54.082;2;39.956;2;177.2;11:30.796;08:41:30.796;0:38.283;0:54.082;0:39.956;259.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;5;2:41.002;0;B;38.751;0;1:02.420;0;59.831;0;145.7;14:11.798;08:44:11.798;0:38.751;1:02.420;0:59.831;195.7;Dominik Baumann;;GTD;;3GT Racing;Lexus;
15;1;1;3:32.518;0;B;1:21.688;0;1:08.091;1;1:02.739;0;110.4;3:32.518;08:33:32.518;1:21.688;1:08.091;1:02.739;196.6;David Heinemeier Hansson;0:00:37.787;GTD;;3GT Racing;Lexus;
15;0;2;4:22.086;0;;2:49.506;0;53.411;0;39.169;0;89.5;7:54.604;08:37:54.604;2:49.506;0:53.411;0:39.169;252.0;Jack Hawksworth;0:02:30.443;GTD;;3GT Racing;Lexus;
15;0;3;2:08.164;2;;37.246;0;52.338;2;38.580;2;183.0;10:02.768;08:40:02.768;0:37.246;0:52.338;0:38.580;257.9;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
2;0;1;2:49.138;0;;1:19.616;0;53.303;0;36.219;1;138.7;2:49.138;08:32:49.138;1:19.616;0:53.303;0:36.219;241.4;Scott Sharp;0:00:42.119;P;;Tequila Patron ESM;Nissan;
2;0;2;2:45.445;0;B;34.942;1;48.958;1;1:21.545;0;141.8;5:34.583;08:35:34.583;0:34.942;0:48.958;1:21.545;286.4;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;1;3;2:19.243;0;;54.963;0;48.122;0;36.158;0;168.4;7:53.826;08:37:53.826;0:54.963;0:48.122;0:36.158;285.8;Ryan Dalziel;0:01:07.615;P;;Tequila Patron ESM;Nissan;
2;1;4;1:53.851;2;;33.359;0;46.172;2;34.320;2;206.0;9:47.677;08:39:47.677;0:33.359;0:46.172;0:34.320;285.2;Ryan Dalziel;;P;;Tequila Patron ESM;Nissan;
22;1;1;2:47.739;0;;1:17.898;0;50.995;0;38.846;0;139.8;2:47.739;08:32:47.739;1:17.898;0:50.995;0:38.846;239.7;Pipo Derani;0:00:40.699;P;;Tequila Patron ESM;Nissan;
22;1;2;2:00.982;0;;34.090;0;49.397;0;37.495;0;193.9;4:48.721;08:34:48.721;0:34.090;0:49.397;0:37.495;271.1;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;3;1:58.026;0;;33.498;0;48.152;0;36.376;0;198.7;6:46.747;08:36:46.747;0:33.498;0:48.152;0:36.376;285.8;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;4;1:53.030;3;;32.986;0;45.991;2;34.053;2;207.5;8:39.777;08:38:39.777;0:32.986;0:45.991;0:34.053;288.9;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;5;1:54.903;0;;32.874;0;47.527;0;34.502;0;204.1;10:34.680;08:40:34.680;0:32.874;0:47.527;0:34.502;288.9;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;6;2:13.284;0;B;32.744;3;46.670;0;53.870;0;176.0;12:47.964;08:42:47.964;0:32.744;0:46.670;0:53.870;288.9;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;7;3:27.938;0;B;;0;;0;;0;112.8;16:15.902;08:46:15.902;;;;;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
24;1;1;2:44.786;0;;1:11.292;0;54.395;0;39.099;0;142.3;2:44.786;08:32:44.786;1:11.292;0:54.395;0:39.099;251.5;John Edwards;0:00:32.607;GTLM;;BMW Team RLL;BMW;
24;1;2;2:06.922;0;;36.752;0;52.135;0;38.035;0;184.8;4:51.708;08:34:51.708;0:36.752;0:52.135;0:38.035;258.9;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;3;2:05.333;0;;36.444;0;50.832;2;38.057;0;187.1;6:57.041;08:36:57.041;0:36.444;0:50.832;0:38.057;266.8;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;4;2:06.238;0;;36.464;0;51.731;0;38.043;0;185.8;9:03.279;08:39:03.279;0:36.464;0:51.731;0:38.043;266.8;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;5;2:04.856;2;;36.282;2;51.052;0;37.522;2;187.8;11:08.135;08:41:08.135;0:36.282;0:51.052;0:37.522;264.1;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;6;2:35.826;0;B;36.483;0;54.028;0;1:05.315;0;150.5;13:43.961;08:43:43.961;0:36.483;0:54.028;1:05.315;264.6;John Edwards;;GTLM;;BMW Team RLL;BMW;
25;0;1;2:48.250;0;;1:14.098;0;54.121;0;40.031;0;139.4;2:48.250;08:32:48.250;1:14.098;0:54.121;0:40.031;248.2;Alexander Sims;0:00:34.042;GTLM;;BMW Team RLL;BMW;
25;0;2;2:07.000;0;;37.219;0;51.858;0;37.923;0;184.7;4:55.250;08:34:55.250;0:37.219;0:51.858;0:37.923;266.8;Alexander Sims;;GTLM;;BMW Team RLL;BMW;
25;0;3;2:04.987;2;;36.370;0;50.982;2;37.635;2;187.6;7:00.237;08:37:00.237;0:36.370;0:50.982;0:37.635;264.6;Alexander Sims;;GTLM;;BMW Team RLL;BMW;
25;0;4;2:05.417;0;;36.200;2;51.139;0;38.078;0;187.0;9:05.654;08:39:05.654;0:36.200;0:51.139;0:38.078;267.3;Alexander Sims;;GTLM;;BMW Team RLL;BMW;
25;0;5;2:06.063;0;;36.541;0;51.707;0;37.815;0;186.0;11:11.717;08:41:11.717;0:36.541;0:51.707;0:37.815;266.2;Alexander Sims;;GTLM;;BMW Team RLL;BMW;
25;0;6;2:32.955;0;B;36.330;0;55.885;0;1:00.740;0;153.3;13:44.672;08:43:44.672;0:36.330;0:55.885;1:00.740;264.1;Alexander Sims;;GTLM;;BMW Team RLL;BMW;
3;1;1;2:36.079;0;;1:02.424;0;55.057;0;38.598;0;150.3;2:36.079;08:32:36.079;1:02.424;0:55.057;0:38.598;250.6;Antonio Garcia;0:00:23.284;GTLM;;Corvette Racing;Chevrolet;
3;1;2;2:06.162;0;;36.933;0;51.620;0;37.609;0;185.9;4:42.241;08:34:42.241;0:36.933;0:51.620;0:37.609;270.6;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;3;2:04.597;2;;36.096;0;50.928;0;37.573;2;188.2;6:46.838;08:36:46.838;0:36.096;0:50.928;0:37.573;270.6;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;4;2:19.508;0;B;35.987;2;50.609;2;52.912;0;168.1;9:06.346;08:39:06.346;0:35.987;0:50.609;0:52.912;270.6;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
31;1;1;2:08.748;0;;42.404;0;50.084;0;36.260;0;182.2;2:08.748;08:32:08.748;0:42.404;0:50.084;0:36.260;261.5;Eric Curran;0:00:06.449;P;;Whelen Engineering Racing;Cadillac;
31;1;2;1:56.187;2;;34.118;0;47.252;0;34.817;1;201.9;4:04.935;08:34:04.935;0:34.118;0:47.252;0:34.817;283.3;Eric Curran;;P;;Whelen Engineering Racing;Cadillac;
31;1;3;2:11.157;0;B;33.629;1;46.761;2;50.767;0;178.8;6:16.092;08:36:16.092;0:33.629;0:46.761;0:50.767;284.5;Eric Curran;;P;;Whelen Engineering Racing;Cadillac;
31;0;4;2:50.210;0;;1:25.642;0;49.435;0;35.133;0;137.8;9:06.302;08:39:06.302;1:25.642;0:49.435;0:35.133;280.3;Felipe Nasr;0:01:08.702;P;;Whelen Engineering Racing;Cadillac;
31;0;5;1:56.418;0;;34.260;0;47.702;1;34.456;2;201.5;11:02.720;08:41:02.720;0:34.260;0:47.702;0:34.456;285.8;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;6;2:39.125;0;B;33.041;2;55.513;0;1:10.571;0;147.4;13:41.845;08:43:41.845;0:33.041;0:55.513;1:10.571;286.4;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
33;1;1;2:41.457;0;;1:00.713;0;58.071;0;42.673;0;145.3;2:41.457;08:32:41.457;1:00.713;0:58.071;0:42.673;255.4;Jeroen Bleekemolen;0:00:22.145;GTD;;Mercedes-AMG Team Riley Motorsports;Mercedes-AMG;
33;1;2;2:08.330;0;;37.483;0;52.184;0;38.663;0;182.8;4:49.787;08:34:49.787;0:37.483;0:52.184;0:38.663;258.9;Jeroen Bleekemolen;;GTD;;Mercedes-AMG Team Riley Motorsports;Mercedes-AMG;
33;1;3;2:07.309;2;;36.962;2;51.888;2;38.459;2;184.2;6:57.096;08:36:57.096;0:36.962;0:51.888;0:38.459;262.0;Jeroen Bleekemolen;;GTD;;Mercedes-AMG Team Riley Motorsports;Mercedes-AMG;
33;1;4;2:25.325;0;B;37.532;0;52.597;0;55.196;0;161.4;9:22.421;08:39:22.421;0:37.532;0:52.597;0:55.196;262.5;Jeroen Bleekemolen;;GTD;;Mercedes-AMG Team Riley Motorsports;Mercedes-AMG;
33;1;5;4:32.320;0;B;2:36.501;0;1:00.657;0;55.162;0;86.1;13:54.741;08:43:54.741;2:36.501;1:00.657;0:55.162;226.2;Jeroen Bleekemolen;0:02:17.347;GTD;;Mercedes-AMG Team Riley Motorsports;Mercedes-AMG;
4;0;1;2:38.030;0;;1:03.775;0;55.349;0;38.906;0;148.4;2:38.030;08:32:38.030;1:03.775;0:55.349;0:38.906;242.3;Oliver Gavin;0:00:24.083;GTLM;;Corvette Racing;Chevrolet;
4;0;2;2:07.010;0;;36.665;0;52.261;0;38.084;0;184.7;4:45.040;08:34:45.040;0:36.665;0:52.261;0:38.084;270.0;Oliver Gavin;;GTLM;;Corvette Racing;Chevrolet;
4;0;3;2:05.339;0;;36.264;0;51.412;0;37.663;2;187.1;6:50.379;08:36:50.379;0:36.264;0:51.412;0:37.663;268.4;Oliver Gavin;;GTLM;;Corvette Racing;Chevrolet;
4;0;4;2:05.184;2;;36.092;2;50.849;0;38.243;0;187.3;8:55.563;08:38:55.563;0:36.092;0:50.849;0:38.243;268.4;Oliver Gavin;;GTLM;;Corvette Racing;Chevrolet;
4;0;5;2:18.912;0;B;36.147;0;50.733;2;52.032;0;168.8;11:14.475;08:41:14.475;0:36.147;0:50.733;0:52.032;265.2;Oliver Gavin;;GTLM;;Corvette Racing;Chevrolet;
44;1;1;3:28.329;0;B;1:31.329;0;58.240;0;58.760;0;112.6;3:28.329;08:33:28.329;1:31.329;0:58.240;0:58.760;254.9;Andy Lally;0:00:50.215;GTD;;Magnus Racing;Audi;
44;1;2;2:55.941;0;;1:21.841;0;55.242;0;38.858;0;133.3;6:24.270;08:36:24.270;1:21.841;0:55.242;0:38.858;249.2;Andy Lally;0:01:02.130;GTD;;Magnus Racing;Audi;
44;1;3;2:07.937;0;;37.170;0;52.206;0;38.561;0;183.3;8:32.207;08:38:32.207;0:37.170;0:52.206;0:38.561;260.5;Andy Lally;;GTD;;Magnus Racing;Audi;
44;1;4;2:07.285;2;;37.125;2;51.858;2;38.302;2;184.3;10:39.492;08:40:39.492;0:37.125;0:51.858;0:38.302;258.9;Andy Lally;;GTD;;Magnus Racing;Audi;
44;1;5;2:22.356;0;B;37.191;0;51.873;0;53.292;0;164.7;13:01.848;08:43:01.848;0:37.191;0:51.873;0:53.292;258.4;Andy Lally;;GTD;;Magnus Racing;Audi;
48;1;1;2:35.541;0;;58.740;0;57.321;0;39.480;1;150.8;2:35.541;08:32:35.541;0:58.740;0:57.321;0:39.480;235.4;Madison Snow;0:00:18.543;GTD;;Paul Miller Racing;Lamborghini;
48;1;2;2:25.723;0;B;38.335;1;52.847;1;54.541;0;160.9;5:01.264;08:35:01.264;0:38.335;0:52.847;0:54.541;259.9;Madison Snow;;GTD;;Paul Miller Racing;Lamborghini;
48;0;3;3:01.531;0;;1:27.818;0;54.749;0;38.964;2;129.2;8:02.795;08:38:02.795;1:27.818;0:54.749;0:38.964;257.4;Bryan Sellers;0:01:08.885;GTD;;Paul Miller Racing;Lamborghini;
48;0;4;2:09.242;2;;37.562;0;52.644;2;39.036;0;181.5;10:12.037;08:40:12.037;0:37.562;0:52.644;0:39.036;259.4;Bryan Sellers;;GTD;;Paul Miller Racing;Lamborghini;
48;0;5;2:25.438;0;B;37.537;2;52.819;0;55.082;0;161.3;12:37.475;08:42:37.475;0:37.537;0:52.819;0:55.082;256.4;Bryan Sellers;;GTD;;Paul Miller Racing;Lamborghini;
5;1;1;2:12.401;0;;43.094;0;52.023;0;37.284;2;177.1;2:12.401;08:32:12.401;0:43.094;0:52.023;0:37.284;269.5;Joao Barbosa;0:00:08.062;P;;Mustang Sampling Racing;Cadillac;
5;1;2;2:11.626;0;B;33.988;2;47.307;2;50.331;0;178.2;4:24.027;08:34:24.027;0:33.988;0:47.307;0:50.331;283.9;Joao Barbosa;;P;;Mustang Sampling Racing;Cadillac;
5;0;3;3:13.638;0;B;1:28.965;0;51.192;1;53.481;0;121.1;7:37.665;08:37:37.665;1:28.965;0:51.192;0:53.481;264.6;Filipe Albuquerque;0:01:07.189;P;;Mustang Sampling Racing;Cadillac;
5;0;4;6:20.097;0;B;4:25.843;0;1:01.586;0;52.668;0;61.7;13:57.762;08:43:57.762;4:25.843;1:01.586;0:52.668;282.1;Filipe Albuquerque;0:04:06.910;P;;Mustang Sampling Racing;Cadillac;
51;1;1;3:02.026;0;B;57.124;0;1:05.355;1;59.547;0;128.8;3:02.026;08:33:02.026;0:57.124;1:05.355;0:59.547;192.6;Ozz Negri Jr.;0:00:14.233;GTD;;Squadra Corse Garage Italia;Ferrari;
51;0;2;3:24.789;0;;1:43.792;0;1:00.853;0;40.144;0;114.5;6:26.815;08:36:26.815;1:43.792;1:00.853;0:40.144;230.5;Francesco Piovanetti;0:01:24.664;GTD;;Squadra Corse Garage Italia;Ferrari;
51;0;3;2:12.693;0;;38.382;0;54.608;0;39.703;0;176.7;8:39.508;08:38:39.508;0:38.382;0:54.608;0:39.703;252.5;Francesco Piovanetti;;GTD;;Squadra Corse Garage Italia;Ferrari;
51;0;4;2:09.592;2;;37.636;2;52.939;2;39.017;2;181.0;10:49.100;08:40:49.100;0:37.636;0:52.939;0:39.017;257.4;Francesco Piovanetti;;GTD;;Squadra Corse Garage Italia;Ferrari;
51;0;5;2:51.547;0;B;38.861;0;1:02.917;0;1:09.769;0;136.7;13:40.647;08:43:40.647;0:38.861;1:02.917;1:09.769;241.0;Francesco Piovanetti;;GTD;;Squadra Corse Garage Italia;Ferrari;
52;0;1;3:07.538;0;B;1:16.447;0;57.150;0;53.941;0;125.1;3:07.538;08:33:07.538;1:16.447;0:57.150;0:53.941;202.6;Sebastian Saavedra;0:00:35.848;P;;AFS/PR1 Mathiasen Motorsports;Ligier;
52;0;2;2:18.650;0;;54.657;0;48.712;0;35.281;0;169.1;5:26.188;08:35:26.188;0:54.657;0:48.712;0:35.281;280.9;Sebastian Saavedra;0:00:39.674;P;;AFS/PR1 Mathiasen Motorsports;Ligier;
52;0;3;1:57.233;0;;33.758;0;47.332;2;36.143;0;200.1;7:23.421;08:37:23.421;0:33.758;0:47.332;0:36.143;282.7;Sebastian Saavedra;;P;;AFS/PR1 Mathiasen Motorsports;Ligier;
52;0;4;1:58.689;0;;33.901;0;47.611;0;37.177;0;197.6;9:22.110;08:39:22.110;0:33.901;0:47.611;0:37.177;282.7;Sebastian Saavedra;;P;;AFS/PR1 Mathiasen Motorsports;Ligier;
52;0;5;1:55.802;2;;33.658;2;47.578;0;34.566;2;202.5;11:17.912;08:41:17.912;0:33.658;0:47.578;0:34.566;283.3;Sebastian Saavedra;;P;;AFS/PR1 Mathiasen Motorsports;Ligier;
55;0;1;3:11.657;0;B;1:22.040;0;55.119;0;54.498;0;122.4;3:11.657;08:33:11.657;1:22.040;0:55.119;0:54.498;207.1;Jonathan Bomarito;0:00:39.809;P;;Mazda Team Joest;Mazda;
55;1;2;3:23.616;0;B;1:36.935;0;54.212;1;52.469;0;115.2;6:35.273;08:36:35.273;1:36.935;0:54.212;0:52.469;235.0;Harry Tincknell;0:01:17.010;P;;Mazda Team Joest;Mazda;
55;0;3;3:10.245;0;B;1:26.045;0;52.519;2;51.681;0;123.3;9:45.518;08:39:45.518;1:26.045;0:52.519;0:51.681;248.7;Jonathan Bomarito;0:01:08.563;P;;Mazda Team Joest;Mazda;
55;1;4;3:05.334;0;B;1:26.933;0;47.764;0;50.637;0;126.5;12:50.852;08:42:50.852;1:26.933;0:47.764;0:50.637;275.1;Harry Tincknell;0:01:10.625;P;;Mazda Team Joest;Mazda;
58;1;1;2:57.219;0;;1:14.592;0;1:00.174;0;42.453;0;132.3;2:57.219;08:32:57.219;1:14.592;1:00.174;0:42.453;209.4;Christina Nielsen;0:00:31.616;GTD;;Wright Motorsports;Porsche;
58;1;2;2:14.314;0;;38.754;0;55.278;0;40.282;0;174.6;5:11.533;08:35:11.533;0:38.754;0:55.278;0:40.282;259.4;Christina Nielsen;;GTD;;Wright Motorsports;Porsche;
58;1;3;2:13.931;0;;37.730;0;54.241;0;41.960;0;175.1;7:25.464;08:37:25.464;0:37.730;0:54.241;0:41.960;260.5;Christina Nielsen;;GTD;;Wright Motorsports;Porsche;
58;1;4;2:11.720;0;;37.881;0;54.256;0;39.583;0;178.0;9:37.184;08:39:37.184;0:37.881;0:54.256;0:39.583;260.5;Christina Nielsen;;GTD;;Wright Motorsports;Porsche;
