NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;3:22.301;0;B;1:24.054;0;59.674;0;58.573;0;115.9;3:22.301;08:58:22.301;1:24.054;0:59.674;0:58.573;189.6;Renger Van Der Zande;0:00:43.635;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;3:13.745;0;;1:44.951;0;51.874;0;36.920;0;121.0;6:36.046;09:01:36.046;1:44.951;0:51.874;0:36.920;258.4;Renger Van Der Zande;0:01:26.422;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:55.299;0;;34.352;0;46.872;0;34.075;0;203.4;8:31.345;09:03:31.345;0:34.352;0:46.872;0:34.075;283.9;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:55.412;0;;32.943;0;47.626;0;34.843;0;203.2;10:26.757;09:05:26.757;0:32.943;0:47.626;0:34.843;285.2;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:53.353;0;;32.936;0;46.522;0;33.895;2;206.9;12:20.110;09:07:20.110;0:32.936;0:46.522;0:33.895;285.8;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;2:14.851;0;B;32.910;2;49.515;0;52.426;0;173.9;14:34.961;09:09:34.961;0:32.910;0:49.515;0:52.426;287.0;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;8:00.685;0;;6:38.075;0;48.153;0;34.457;0;48.8;22:35.646;09:17:35.646;6:38.075;0:48.153;0:34.457;280.9;Renger Van Der Zande;0:06:22.238;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:57.490;0;;33.207;0;49.445;0;34.838;0;199.6;24:33.136;09:19:33.136;0:33.207;0:49.445;0:34.838;283.3;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:54.227;0;;33.788;0;46.360;1;34.079;0;205.3;26:27.363;09:21:27.363;0:33.788;0:46.360;0:34.079;283.3;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:54.394;0;;33.215;0;46.789;0;34.390;0;205.0;28:21.757;09:23:21.757;0:33.215;0:46.789;0:34.390;282.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;11;1:54.152;0;;33.230;0;46.577;0;34.345;0;205.5;30:15.909;09:25:15.909;0:33.230;0:46.577;0:34.345;282.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;12;1:54.021;0;;33.177;0;46.709;0;34.135;0;205.7;32:09.930;09:27:09.930;0:33.177;0:46.709;0:34.135;282.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;13;1:55.396;0;;33.621;0;47.003;0;34.772;0;203.2;34:05.326;09:29:05.326;0:33.621;0:47.003;0:34.772;282.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;14;2:09.414;0;B;33.249;0;46.682;0;49.483;0;181.2;36:14.740;09:31:14.740;0:33.249;0:46.682;0:49.483;283.3;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;15;6:06.327;0;;4:41.665;0;49.316;0;35.346;0;64.0;42:21.067;09:37:21.067;4:41.665;0:49.316;0:35.346;277.4;Jordan Taylor;0:04:25.449;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;16;1:54.686;0;;33.481;0;46.547;0;34.658;0;204.5;44:15.753;09:39:15.753;0:33.481;0:46.547;0:34.658;282.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;17;2:08.806;0;B;33.451;0;46.300;0;49.055;0;182.1;46:24.559;09:41:24.559;0:33.451;0:46.300;0:49.055;282.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;18;3:57.554;0;;2:31.409;0;49.681;0;36.464;0;98.7;50:22.113;09:45:22.113;2:31.409;0:49.681;0:36.464;280.3;Jordan Taylor;0:02:14.282;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;19;1:57.081;0;;33.144;0;48.160;0;35.777;0;200.3;52:19.194;09:47:19.194;0:33.144;0:48.160;0:35.777;283.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;20;1:53.334;0;;32.977;1;45.757;0;34.600;0;206.9;54:12.528;09:49:12.528;0:32.977;0:45.757;0:34.600;283.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;21;1:56.147;0;;33.720;0;47.800;0;34.627;0;201.9;56:08.675;09:51:08.675;0:33.720;0:47.800;0:34.627;284.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;22;1:58.563;0;;33.146;0;48.902;0;36.515;0;197.8;58:07.238;09:53:07.238;0:33.146;0:48.902;0:36.515;284.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;23;1:52.678;2;;33.041;0;45.518;2;34.119;1;208.1;59:59.916;09:54:59.916;0:33.041;0:45.518;0:34.119;283.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;24;2:10.337;0;B;33.802;0;47.208;0;49.327;0;179.9;1:02:10.253;09:57:10.253;0:33.802;0:47.208;0:49.327;285.2;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;0;1;3:58.264;0;;2:06.807;0;1:04.571;0;46.886;0;98.4;3:58.264;08:58:58.264;2:06.807;1:04.571;0:46.886;173.9;Dominik Baumann;0:01:19.075;GTD;;3GT Racing;Lexus;
14;0;2;2:30.378;0;B;39.170;0;54.282;0;56.926;0;156.0;6:28.642;09:01:28.642;0:39.170;0:54.282;0:56.926;254.0;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;3;8:26.261;0;B;6:30.113;0;58.722;0;57.426;0;46.3;14:54.903;09:09:54.903;6:30.113;0:58.722;0:57.426;250.1;Dominik Baumann;0:06:07.901;GTD;;3GT Racing;Lexus;
14;0;4;6:27.496;0;;4:53.870;0;53.794;0;39.832;0;60.5;21:22.399;09:16:22.399;4:53.870;0:53.794;0:39.832;254.9;Dominik Baumann;0:04:35.762;GTD;;3GT Racing;Lexus;
14;0;5;2:08.126;0;;37.055;0;52.316;0;38.755;0;183.0;23:30.525;09:18:30.525;0:37.055;0:52.316;0:38.755;258.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;6;2:08.552;0;;37.335;0;52.768;0;38.449;0;182.4;25:39.077;09:20:39.077;0:37.335;0:52.768;0:38.449;259.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;7;2:06.976;2;;36.994;0;51.662;2;38.320;2;184.7;27:46.053;09:22:46.053;0:36.994;0:51.662;0:38.320;258.9;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;8;2:07.407;0;;36.968;2;52.051;0;38.388;0;184.1;29:53.460;09:24:53.460;0:36.968;0:52.051;0:38.388;258.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;9;2:07.351;0;;37.068;0;51.887;0;38.396;0;184.2;32:00.811;09:27:00.811;0:37.068;0:51.887;0:38.396;258.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;10;2:08.351;0;;37.075;0;52.465;0;38.811;0;182.7;34:09.162;09:29:09.162;0:37.075;0:52.465;0:38.811;258.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;11;2:08.551;0;;37.247;0;52.583;0;38.721;0;182.4;36:17.713;09:31:17.713;0:37.247;0:52.583;0:38.721;258.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;12;2:08.348;0;;37.179;0;52.539;0;38.630;0;182.7;38:26.061;09:33:26.061;0:37.179;0:52.539;0:38.630;259.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;13;2:08.331;0;;37.199;0;52.587;0;38.545;0;182.8;40:34.392;09:35:34.392;0:37.199;0:52.587;0:38.545;258.9;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;14;2:09.776;0;;37.778;0;53.203;0;38.795;0;180.7;42:44.168;09:37:44.168;0:37.778;0:53.203;0:38.795;258.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;15;2:11.503;0;;37.389;0;53.819;0;40.295;0;178.3;44:55.671;09:39:55.671;0:37.389;0:53.819;0:40.295;258.9;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;16;2:25.201;0;B;37.574;0;53.162;0;54.465;0;161.5;47:20.872;09:42:20.872;0:37.574;0:53.162;0:54.465;259.4;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;1;17;4:26.940;0;;2:54.078;0;53.419;0;39.443;0;87.9;51:47.812;09:46:47.812;2:54.078;0:53.419;0:39.443;256.4;Kyle Marcelli;0:02:35.749;GTD;;3GT Racing;Lexus;
14;1;18;2:11.477;0;;38.241;0;53.857;0;39.379;0;178.4;53:59.289;09:48:59.289;0:38.241;0:53.857;0:39.379;259.9;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;19;2:09.821;0;;37.465;1;53.161;1;39.195;1;180.7;56:09.110;09:51:09.110;0:37.465;0:53.161;0:39.195;259.4;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
