NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;51:42.841;0;;50:46.350;0;34.337;0;22.154;0;4.7;51:42.841;16:46:42.841;50:46.350;0:34.337;0:22.154;208.0;Renger Van Der Zande;0:50:15.710;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:19.340;0;;28.354;0;29.585;0;21.401;0;185.5;53:02.181;16:48:02.181;0:28.354;0:29.585;0:21.401;219.5;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:11.527;0;;26.541;0;26.343;2;18.643;0;205.7;54:13.708;16:49:13.708;0:26.541;0:26.343;0:18.643;271.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:11.630;0;;26.449;0;26.439;0;18.742;0;205.4;55:25.338;16:50:25.338;0:26.449;0:26.439;0:18.742;271.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:11.502;0;;26.409;2;26.486;0;18.607;0;205.8;56:36.840;16:51:36.840;0:26.409;0:26.486;0:18.607;271.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:11.468;2;;26.480;0;26.441;0;18.547;2;205.9;57:48.308;16:52:48.308;0:26.480;0:26.441;0:18.547;270.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:11.577;0;;26.477;0;26.495;0;18.605;0;205.6;58:59.885;16:53:59.885;0:26.477;0:26.495;0:18.605;270.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:24.467;0;B;26.778;0;26.764;0;30.925;0;174.2;1:00:24.352;16:55:24.352;0:26.778;0:26.764;0:30.925;269.5;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;0;1;2:32.331;0;;1:34.299;0;32.335;0;25.697;0;96.6;2:32.331;15:57:32.331;1:34.299;0:32.335;0:25.697;245.3;Dominik Baumann;0:00:59.566;GTD;;3GT Racing;Lexus;
14;0;2;1:26.042;0;;34.616;0;30.359;0;21.067;0;171.0;3:58.373;15:58:58.373;0:34.616;0:30.359;0:21.067;248.8;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;3;1:23.453;0;;32.891;0;29.410;0;21.152;0;176.3;5:21.826;16:00:21.826;0:32.891;0:29.410;0:21.152;249.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;4;1:20.366;2;;30.437;0;29.448;0;20.481;2;183.1;6:42.192;16:01:42.192;0:30.437;0:29.448;0:20.481;250.2;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;5;1:20.420;0;;30.456;0;29.340;2;20.624;0;183.0;8:02.612;16:03:02.612;0:30.456;0:29.340;0:20.624;250.2;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;6;1:29.511;0;;30.559;0;36.036;0;22.916;0;164.4;9:32.123;16:04:32.123;0:30.559;0:36.036;0:22.916;161.1;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;7;1:20.417;0;;30.425;2;29.435;0;20.557;0;183.0;10:52.540;16:05:52.540;0:30.425;0:29.435;0:20.557;249.7;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;8;1:51.853;0;B;38.096;0;37.578;0;36.179;0;131.6;12:44.393;16:07:44.393;0:38.096;0:37.578;0:36.179;166.1;Dominik Baumann;;GTD;;3GT Racing;Lexus;
15;0;1;2:38.381;0;;1:42.646;0;32.396;0;23.339;0;92.9;2:38.381;15:57:38.381;1:42.646;0:32.396;0:23.339;219.8;Jack Hawksworth;0:01:07.520;GTD;;3GT Racing;Lexus;
