NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:32.203;0;B;43.069;0;50.055;0;59.079;0;129.4;2:32.203;10:27:32.203;0:43.069;0:50.055;0:59.079;172.2;Jordan Taylor;0:00:14.586;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;2;5:50.207;0;;4:28.235;0;42.649;0;39.323;0;56.2;8:22.410;10:33:22.410;4:28.235;0:42.649;0:39.323;232.0;Jordan Taylor;0:04:17.972;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;3;1:36.856;0;;22.763;0;36.708;0;37.385;0;203.4;9:59.266;10:34:59.266;0:22.763;0:36.708;0:37.385;283.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;4;1:37.514;0;;23.319;0;36.124;0;38.071;0;202.0;11:36.780;10:36:36.780;0:23.319;0:36.124;0:38.071;284.3;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;5;1:36.900;0;;22.732;0;36.931;0;37.237;0;203.3;13:13.680;10:38:13.680;0:22.732;0:36.931;0:37.237;286.8;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;6;1:39.434;0;;22.332;0;39.175;0;37.927;0;198.1;14:53.114;10:39:53.114;0:22.332;0:39.175;0:37.927;278.9;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;7;1:40.725;0;;22.427;0;40.081;0;38.217;0;195.6;16:33.839;10:41:33.839;0:22.427;0:40.081;0:38.217;263.4;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;8;1:35.867;0;;22.219;0;36.739;0;36.909;2;205.5;18:09.706;10:43:09.706;0:22.219;0:36.739;0:36.909;283.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;9;1:35.124;0;;22.153;0;35.984;0;36.987;0;207.1;19:44.830;10:44:44.830;0:22.153;0:35.984;0:36.987;287.4;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;10;1:34.476;2;;22.142;2;35.291;2;37.043;0;208.5;21:19.306;10:46:19.306;0:22.142;0:35.291;0:37.043;288.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;11;1:49.882;0;B;22.167;0;37.556;0;50.159;0;179.3;23:09.188;10:48:09.188;0:22.167;0:37.556;0:50.159;285.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;12;6:23.262;0;;5:05.861;0;39.045;0;38.356;0;51.4;29:32.450;10:54:32.450;5:05.861;0:39.045;0:38.356;278.4;Renger Van Der Zande;0:04:59.864;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;13;1:57.274;0;B;22.616;0;37.609;0;57.049;0;168.0;31:29.724;10:56:29.724;0:22.616;0:37.609;0:57.049;289.3;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;14;4:38.115;0;;3:22.865;0;37.467;0;37.783;0;70.8;36:07.839;11:01:07.839;3:22.865;0:37.467;0:37.783;285.0;Renger Van Der Zande;0:03:18.511;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;15;1:35.913;0;;22.528;0;35.911;0;37.474;0;205.4;37:43.752;11:02:43.752;0:22.528;0:35.911;0:37.474;285.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;16;2:03.636;0;B;22.252;0;35.775;0;1:05.609;0;159.3;39:47.388;11:04:47.388;0:22.252;0:35.775;1:05.609;286.8;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;17;6:53.306;0;;5:39.135;0;36.623;0;37.548;0;47.7;46:40.694;11:11:40.694;5:39.135;0:36.623;0:37.548;288.1;Renger Van Der Zande;0:05:36.271;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;18;1:37.167;0;;22.176;1;36.485;0;38.506;0;202.7;48:17.861;11:13:17.861;0:22.176;0:36.485;0:38.506;291.9;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;19;1:35.229;0;;22.202;0;35.591;1;37.436;0;206.9;49:53.090;11:14:53.090;0:22.202;0:35.591;0:37.436;288.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;20;1:49.308;0;B;22.363;0;35.983;0;50.962;0;180.2;51:42.398;11:16:42.398;0:22.363;0:35.983;0:50.962;288.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;21;3:13.765;0;;1:59.322;0;36.928;0;37.515;0;101.7;54:56.163;11:19:56.163;1:59.322;0:36.928;0:37.515;285.0;Renger Van Der Zande;0:01:54.708;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;22;1:38.935;0;;22.521;0;38.730;0;37.684;0;199.1;56:35.098;11:21:35.098;0:22.521;0:38.730;0:37.684;287.4;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;23;1:36.793;0;;22.214;0;35.719;0;38.860;0;203.5;58:11.891;11:23:11.891;0:22.214;0:35.719;0:38.860;285.6;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;24;1:37.468;0;;23.326;0;36.632;0;37.510;0;202.1;59:49.359;11:24:49.359;0:23.326;0:36.632;0:37.510;288.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;25;1:35.264;0;;22.290;0;35.980;0;36.994;1;206.8;1:01:24.623;11:26:24.623;0:22.290;0:35.980;0:36.994;287.4;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;1;1;3:14.837;0;;1:30.997;0;54.896;0;48.944;0;101.1;3:14.837;10:28:14.837;1:30.997;0:54.896;0:48.944;165.5;Kyle Marcelli;0:00:58.103;GTD;;3GT Racing;Lexus;
14;1;2;2:14.925;0;B;27.010;0;45.986;0;1:01.929;0;146.0;5:29.762;10:30:29.762;0:27.010;0:45.986;1:01.929;237.0;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;3;5:08.814;0;;3:44.395;0;41.817;0;42.602;0;63.8;10:38.576;10:35:38.576;3:44.395;0:41.817;0:42.602;257.7;Kyle Marcelli;0:03:37.277;GTD;;3GT Racing;Lexus;
14;1;4;1:47.562;0;;25.578;0;40.513;0;41.471;0;183.1;12:26.138;10:37:26.138;0:25.578;0:40.513;0:41.471;262.9;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;5;1:45.785;2;;24.645;0;39.945;0;41.195;2;186.2;14:11.923;10:39:11.923;0:24.645;0:39.945;0:41.195;261.8;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;6;1:46.903;0;;24.785;0;40.612;0;41.506;0;184.3;15:58.826;10:40:58.826;0:24.785;0:40.612;0:41.506;261.3;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;7;1:45.881;0;;24.543;2;40.056;0;41.282;0;186.0;17:44.707;10:42:44.707;0:24.543;0:40.056;0:41.282;261.8;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;8;2:00.103;0;B;24.596;0;39.675;2;55.832;0;164.0;19:44.810;10:44:44.810;0:24.596;0:39.675;0:55.832;261.3;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;9;8:54.050;0;;7:32.360;0;40.131;0;41.559;0;36.9;28:38.860;10:53:38.860;7:32.360;0:40.131;0:41.559;258.2;Kyle Marcelli;0:07:25.964;GTD;;3GT Racing;Lexus;
14;1;10;2:01.023;0;B;24.665;0;40.096;0;56.262;0;162.8;30:39.883;10:55:39.883;0:24.665;0:40.096;0:56.262;259.8;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;0;11;6:38.706;0;;5:04.983;0;47.545;0;46.178;0;49.4;37:18.589;11:02:18.589;5:04.983;0:47.545;0:46.178;235.7;Dominik Baumann;0:04:56.806;GTD;;3GT Racing;Lexus;
14;0;12;2:10.177;0;B;25.572;0;45.334;0;59.271;0;151.3;39:28.766;11:04:28.766;0:25.572;0:45.334;0:59.271;260.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;13;5:10.967;0;;3:44.888;0;42.380;0;43.699;0;63.3;44:39.733;11:09:39.733;3:44.888;0:42.380;0:43.699;259.3;Dominik Baumann;0:03:38.058;GTD;;3GT Racing;Lexus;
14;0;14;1:50.013;0;;25.162;0;42.288;0;42.563;0;179.1;46:29.746;11:11:29.746;0:25.162;0:42.288;0:42.563;259.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;15;1:48.021;0;;24.764;0;40.938;0;42.319;0;182.4;48:17.767;11:13:17.767;0:24.764;0:40.938;0:42.319;263.9;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;16;1:47.407;0;;24.797;0;40.543;0;42.067;0;183.4;50:05.174;11:15:05.174;0:24.797;0:40.543;0:42.067;263.9;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;17;1:48.696;0;;24.937;0;40.535;0;43.224;0;181.2;51:53.870;11:16:53.870;0:24.937;0:40.535;0:43.224;262.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;18;1:47.122;0;;24.871;0;40.294;0;41.957;0;183.9;53:40.992;11:18:40.992;0:24.871;0:40.294;0:41.957;262.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;19;1:48.151;0;;24.720;0;41.196;0;42.235;0;182.1;55:29.143;11:20:29.143;0:24.720;0:41.196;0:42.235;262.9;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;20;1:46.606;0;;24.711;0;40.286;0;41.609;1;184.8;57:15.749;11:22:15.749;0:24.711;0:40.286;0:41.609;262.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;21;1:47.192;0;;24.769;0;40.180;1;42.243;0;183.8;59:02.941;11:24:02.941;0:24.769;0:40.180;0:42.243;261.3;Dominik Baumann;;GTD;;3GT Racing;Lexus;
14;0;22;1:48.454;0;;24.703;1;41.328;0;42.423;0;181.6;1:00:51.395;11:25:51.395;0:24.703;0:41.328;0:42.423;247.1;Dominik Baumann;;GTD;;3GT Racing;Lexus;
15;0;1;3:12.517;0;B;1:18.725;0;52.822;0;1:00.970;0;102.3;3:12.517;10:28:12.517;1:18.725;0:52.822;1:00.970;180.4;Jack Hawksworth;0:00:46.284;GTD;;3GT Racing;Lexus;
15;0;2;3:47.276;0;;2:21.534;0;42.732;0;43.010;0;86.7;6:59.793;10:31:59.793;2:21.534;0:42.732;0:43.010;259.8;Jack Hawksworth;0:02:14.893;GTD;;3GT Racing;Lexus;
15;0;3;1:47.878;0;;24.738;0;41.512;0;41.628;0;182.6;8:47.671;10:33:47.671;0:24.738;0:41.512;0:41.628;254.3;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;4;1:49.217;0;;24.933;0;40.325;0;43.959;0;180.4;10:36.888;10:35:36.888;0:24.933;0:40.325;0:43.959;263.9;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;5;1:46.131;0;;24.670;0;40.105;0;41.356;0;185.6;12:23.019;10:37:23.019;0:24.670;0:40.105;0:41.356;261.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;6;2:00.326;0;B;24.660;0;39.996;0;55.670;0;163.7;14:23.345;10:39:23.345;0:24.660;0:39.996;0:55.670;261.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;7;8:59.624;0;;7:35.852;0;41.150;0;42.622;0;36.5;23:22.969;10:48:22.969;7:35.852;0:41.150;0:42.622;258.2;Jack Hawksworth;0:07:29.590;GTD;;3GT Racing;Lexus;
15;0;8;1:48.681;0;;24.695;0;42.257;0;41.729;0;181.2;25:11.650;10:50:11.650;0:24.695;0:42.257;0:41.729;261.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
