NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;52:07.145;0;;50:40.181;0;43.339;0;43.625;0;6.3;52:07.145;12:27:07.145;50:40.181;0:43.339;0:43.625;213.6;Renger Van Der Zande;0:50:16.289;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:37.130;0;;22.861;0;36.855;0;37.414;0;202.8;53:44.275;12:28:44.275;0:22.861;0:36.855;0:37.414;278.9;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:35.214;0;;22.354;0;36.038;0;36.822;0;206.9;55:19.489;12:30:19.489;0:22.354;0:36.038;0:36.822;281.3;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:34.098;0;;22.086;0;35.166;0;36.846;0;209.3;56:53.587;12:31:53.587;0:22.086;0:35.166;0:36.846;281.9;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:33.689;0;;22.254;0;34.754;0;36.681;0;210.3;58:27.276;12:33:27.276;0:22.254;0:34.754;0:36.681;282.5;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:33.638;0;;22.271;0;34.678;2;36.689;0;210.4;1:00:00.914;12:35:00.914;0:22.271;0:34.678;0:36.689;283.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:33.528;2;;22.032;2;34.887;0;36.609;0;210.6;1:01:34.442;12:36:34.442;0:22.032;0:34.887;0:36.609;283.7;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:38.171;0;;22.084;0;36.149;0;39.938;0;200.7;1:03:12.613;12:38:12.613;0:22.084;0:36.149;0:39.938;283.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:33.551;0;;22.117;0;34.913;0;36.521;2;210.6;1:04:46.164;12:39:46.164;0:22.117;0:34.913;0:36.521;283.1;Renger Van Der Zande;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;1;1;3:41.611;0;;2:08.971;0;48.745;0;43.895;0;88.9;3:41.611;11:38:41.611;2:08.971;0:48.745;0:43.895;217.5;Kyle Marcelli;0:01:41.985;GTD;;3GT Racing;Lexus;
14;1;2;1:45.028;0;;24.532;0;39.631;0;40.865;2;187.6;5:26.639;11:40:26.639;0:24.532;0:39.631;0:40.865;260.8;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;3;1:44.712;2;;24.339;2;39.393;2;40.980;0;188.1;7:11.351;11:42:11.351;0:24.339;0:39.393;0:40.980;262.3;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;4;1:45.385;0;;24.467;0;39.456;0;41.462;0;186.9;8:56.736;11:43:56.736;0:24.467;0:39.456;0:41.462;261.3;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
14;1;5;2:14.678;0;B;27.657;0;43.948;0;1:03.073;0;146.3;11:11.414;11:46:11.414;0:27.657;0:43.948;1:03.073;221.5;Kyle Marcelli;;GTD;;3GT Racing;Lexus;
15;0;1;3:34.290;0;;2:02.517;0;47.872;0;43.901;0;91.9;3:34.290;11:38:34.290;2:02.517;0:47.872;0:43.901;193.0;Jack Hawksworth;0:01:31.358;GTD;;3GT Racing;Lexus;
15;0;2;1:50.805;0;;25.404;0;41.756;0;43.645;0;177.8;5:25.095;11:40:25.095;0:25.404;0:41.756;0:43.645;256.2;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;3;1:44.854;0;;24.481;2;39.378;0;40.995;0;187.9;7:09.949;11:42:09.949;0:24.481;0:39.378;0:40.995;260.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;4;1:44.762;0;;24.550;0;39.143;2;41.069;0;188.0;8:54.711;11:43:54.711;0:24.550;0:39.143;0:41.069;258.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;5;2:05.641;0;;32.090;0;50.193;0;43.358;0;156.8;11:00.352;11:46:00.352;0:32.090;0:50.193;0:43.358;186.2;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;6;1:44.499;2;;24.612;0;39.178;0;40.709;2;188.5;12:44.851;11:47:44.851;0:24.612;0:39.178;0:40.709;258.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;7;2:21.209;0;B;28.351;0;48.377;0;1:04.481;0;139.5;15:06.060;11:50:06.060;0:28.351;0:48.377;1:04.481;189.4;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
2;0;1;52:49.539;0;;51:24.255;0;42.019;0;43.265;0;6.2;52:49.539;12:27:49.539;51:24.255;0:42.019;0:43.265;274.3;Scott Sharp;0:50:59.822;P;;Tequila Patron ESM;Nissan;
2;0;2;1:37.133;0;;23.093;0;37.211;0;36.829;0;202.8;54:26.672;12:29:26.672;0:23.093;0:37.211;0:36.829;280.7;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;0;3;1:34.526;2;;22.184;2;35.552;0;36.790;0;208.4;56:01.198;12:31:01.198;0:22.184;0:35.552;0:36.790;281.3;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;0;4;1:34.619;0;;22.341;0;35.552;0;36.726;0;208.2;57:35.817;12:32:35.817;0:22.341;0:35.552;0:36.726;281.3;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;0;5;1:33.920;0;;22.186;0;35.273;0;36.461;0;209.7;59:09.737;12:34:09.737;0:22.186;0:35.273;0:36.461;282.5;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;0;6;1:40.426;0;;24.358;0;39.396;0;36.672;2;196.1;1:00:50.163;12:35:50.163;0:24.358;0:39.396;0:36.672;227.6;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;0;7;1:37.217;0;;22.590;0;36.973;0;37.654;0;202.6;1:02:27.380;12:37:27.380;0:22.590;0:36.973;0:37.654;280.7;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
22;1;1;53:15.002;0;;51:51.395;0;39.131;0;44.476;0;6.2;53:15.002;12:28:15.002;51:51.395;0:39.131;0:44.476;269.8;Pipo Derani;0:51:28.902;P;;Tequila Patron ESM;Nissan;
22;1;2;1:33.438;0;;22.212;0;34.883;0;36.343;2;210.8;54:48.440;12:29:48.440;0:22.212;0:34.883;0:36.343;283.1;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;3;1:33.207;0;;21.941;0;34.839;0;36.427;0;211.3;56:21.647;12:31:21.647;0:21.941;0:34.839;0:36.427;284.3;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;4;1:36.988;0;;22.132;0;37.376;0;37.480;0;203.1;57:58.635;12:32:58.635;0:22.132;0:37.376;0:37.480;285.6;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
22;1;5;1:33.092;2;;21.921;2;34.614;2;36.557;0;211.6;59:31.727;12:34:31.727;0:21.921;0:34.614;0:36.557;285.6;Pipo Derani;;P;;Tequila Patron ESM;Nissan;
24;2;1;28:23.796;0;;26:56.807;0;44.570;0;42.419;0;11.6;28:23.796;12:03:23.796;26:56.807;0:44.570;0:42.419;235.3;Tom Blomqvist;0:26:30.365;GTLM;;BMW Team RLL;BMW;
24;2;2;1:46.769;0;;24.967;0;41.033;0;40.769;0;184.5;30:10.565;12:05:10.565;0:24.967;0:41.033;0:40.769;261.8;Tom Blomqvist;;GTLM;;BMW Team RLL;BMW;
24;2;3;1:43.514;0;;24.302;0;38.862;0;40.350;2;190.3;31:54.079;12:06:54.079;0:24.302;0:38.862;0:40.350;263.9;Tom Blomqvist;;GTLM;;BMW Team RLL;BMW;
24;2;4;1:43.754;0;;24.308;0;38.687;0;40.759;0;189.9;33:37.833;12:08:37.833;0:24.308;0:38.687;0:40.759;264.4;Tom Blomqvist;;GTLM;;BMW Team RLL;BMW;
24;2;5;1:43.691;0;;24.253;0;38.900;0;40.538;0;190.0;35:21.524;12:10:21.524;0:24.253;0:38.900;0:40.538;264.4;Tom Blomqvist;;GTLM;;BMW Team RLL;BMW;
24;2;6;1:45.595;0;;24.104;2;40.432;0;41.059;0;186.5;37:07.119;12:12:07.119;0:24.104;0:40.432;0:41.059;263.9;Tom Blomqvist;;GTLM;;BMW Team RLL;BMW;
24;2;7;1:43.277;2;;24.121;0;38.658;2;40.498;0;190.7;38:50.396;12:13:50.396;0:24.121;0:38.658;0:40.498;265.0;Tom Blomqvist;;GTLM;;BMW Team RLL;BMW;
25;1;1;28:31.552;0;;27:03.439;0;45.242;0;42.871;0;11.5;28:31.552;12:03:31.552;27:03.439;0:45.242;0:42.871;229.6;Connor De Phillippi;0:26:38.820;GTLM;;BMW Team RLL;BMW;
25;1;2;1:47.237;0;;24.843;0;41.335;0;41.059;0;183.7;30:18.789;12:05:18.789;0:24.843;0:41.335;0:41.059;262.9;Connor De Phillippi;;GTLM;;BMW Team RLL;BMW;
25;1;3;1:44.368;0;;24.291;0;39.600;0;40.477;0;188.7;32:03.157;12:07:03.157;0:24.291;0:39.600;0:40.477;263.4;Connor De Phillippi;;GTLM;;BMW Team RLL;BMW;
25;1;4;1:43.583;0;;24.212;2;38.828;2;40.543;0;190.2;33:46.740;12:08:46.740;0:24.212;0:38.828;0:40.543;264.4;Connor De Phillippi;;GTLM;;BMW Team RLL;BMW;
25;1;5;1:43.539;2;;24.252;0;38.959;0;40.328;2;190.3;35:30.279;12:10:30.279;0:24.252;0:38.959;0:40.328;262.3;Connor De Phillippi;;GTLM;;BMW Team RLL;BMW;
25;1;6;1:43.540;0;;24.279;0;38.838;0;40.423;0;190.2;37:13.819;12:12:13.819;0:24.279;0:38.838;0:40.423;262.9;Connor De Phillippi;;GTLM;;BMW Team RLL;BMW;
25;1;7;1:44.182;0;;24.317;0;38.921;0;40.944;0;189.1;38:58.001;12:13:58.001;0:24.317;0:38.921;0:40.944;263.4;Connor De Phillippi;;GTLM;;BMW Team RLL;BMW;
29;1;1;2:25.878;0;;53.991;0;47.414;0;44.473;0;135.0;2:25.878;11:37:25.878;0:53.991;0:47.414;0:44.473;225.3;Christopher Mies;0:00:25.969;GTD;;Montaplast by Land-Motorsport;Audi;
29;1;2;2:05.349;0;;25.197;0;46.175;0;53.977;0;157.1;4:31.227;11:39:31.227;0:25.197;0:46.175;0:53.977;257.7;Christopher Mies;;GTD;;Montaplast by Land-Motorsport;Audi;
29;1;3;1:45.142;0;;24.561;0;39.550;0;41.031;0;187.4;6:16.369;11:41:16.369;0:24.561;0:39.550;0:41.031;259.3;Christopher Mies;;GTD;;Montaplast by Land-Motorsport;Audi;
29;1;4;1:44.611;2;;24.508;2;39.186;2;40.917;2;188.3;8:00.980;11:43:00.980;0:24.508;0:39.186;0:40.917;259.8;Christopher Mies;;GTD;;Montaplast by Land-Motorsport;Audi;
29;1;5;1:44.702;0;;24.557;0;39.190;0;40.955;0;188.1;9:45.682;11:44:45.682;0:24.557;0:39.190;0:40.955;259.8;Christopher Mies;;GTD;;Montaplast by Land-Motorsport;Audi;
29;1;6;1:45.173;0;;24.513;0;39.658;0;41.002;0;187.3;11:30.855;11:46:30.855;0:24.513;0:39.658;0:41.002;260.3;Christopher Mies;;GTD;;Montaplast by Land-Motorsport;Audi;
29;1;7;1:53.138;0;;27.382;0;43.854;0;41.902;0;174.1;13:23.993;11:48:23.993;0:27.382;0:43.854;0:41.902;223.3;Christopher Mies;;GTD;;Montaplast by Land-Motorsport;Audi;
3;1;1;27:18.553;0;;25:51.061;0;44.740;0;42.752;0;12.0;27:18.553;12:02:18.553;25:51.061;0:44.740;0:42.752;221.8;Antonio Garcia;0:25:23.291;GTLM;;Corvette Racing;Chevrolet;
3;1;2;1:46.539;0;;24.834;0;40.523;0;41.182;0;184.9;29:05.092;12:04:05.092;0:24.834;0:40.523;0:41.182;261.8;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;3;1:43.896;0;;24.209;0;39.189;0;40.498;0;189.6;30:48.988;12:05:48.988;0:24.209;0:39.189;0:40.498;265.5;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;4;1:42.958;0;;24.086;0;38.626;0;40.246;0;191.3;32:31.946;12:07:31.946;0:24.086;0:38.626;0:40.246;267.1;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;5;2:18.319;0;;24.017;0;1:13.638;0;40.664;0;142.4;34:50.265;12:09:50.265;0:24.017;1:13.638;0:40.664;268.2;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;6;1:42.730;0;;23.949;0;38.746;0;40.035;2;191.7;36:32.995;12:11:32.995;0:23.949;0:38.746;0:40.035;268.2;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;7;1:42.530;0;;23.839;2;38.544;0;40.147;0;192.1;38:15.525;12:13:15.525;0:23.839;0:38.544;0:40.147;269.3;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;8;1:42.712;0;;23.844;0;38.591;0;40.277;0;191.8;39:58.237;12:14:58.237;0:23.844;0:38.591;0:40.277;269.8;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
3;1;9;1:42.497;2;;23.883;0;38.460;2;40.154;0;192.2;41:40.734;12:16:40.734;0:23.883;0:38.460;0:40.154;269.3;Antonio Garcia;;GTLM;;Corvette Racing;Chevrolet;
31;0;1;52:02.080;0;;50:36.770;0;42.285;0;43.025;0;6.3;52:02.080;12:27:02.080;50:36.770;0:42.285;0:43.025;216.0;Felipe Nasr;0:50:09.901;P;;Whelen Engineering Racing;Cadillac;
31;0;2;1:38.900;0;;22.428;0;35.727;0;40.745;0;199.2;53:40.980;12:28:40.980;0:22.428;0:35.727;0:40.745;280.7;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;3;1:34.244;0;;22.346;0;35.130;0;36.768;0;209.0;55:15.224;12:30:15.224;0:22.346;0:35.130;0:36.768;281.9;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;4;1:33.830;0;;22.171;2;34.830;0;36.829;0;209.9;56:49.054;12:31:49.054;0:22.171;0:34.830;0:36.829;281.9;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;5;1:33.716;2;;22.204;0;34.783;2;36.729;2;210.2;58:22.770;12:33:22.770;0:22.204;0:34.783;0:36.729;283.1;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;6;1:42.811;0;;22.223;0;36.938;0;43.650;0;191.6;1:00:05.581;12:35:05.581;0:22.223;0:36.938;0:43.650;283.7;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;7;1:33.980;0;;22.253;0;34.808;0;36.919;0;209.6;1:01:39.561;12:36:39.561;0:22.253;0:34.808;0:36.919;281.9;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
31;0;8;1:49.860;0;B;22.238;0;34.880;0;52.742;0;179.3;1:03:29.421;12:38:29.421;0:22.238;0:34.880;0:52.742;281.9;Felipe Nasr;;P;;Whelen Engineering Racing;Cadillac;
32;2;1;53:20.664;0;;51:57.187;0;41.636;0;41.841;0;6.2;53:20.664;12:28:20.664;51:57.187;0:41.636;0:41.841;259.3;Paul Di Resta;0:51:33.665;P;;United Autosports;Ligier;
32;2;2;1:38.790;0;;22.657;0;37.690;0;38.443;0;199.4;54:59.454;12:29:59.454;0:22.657;0:37.690;0:38.443;286.2;Paul Di Resta;;P;;United Autosports;Ligier;
32;2;3;1:32.356;2;;21.690;3;34.498;0;36.168;2;213.3;56:31.810;12:31:31.810;0:21.690;0:34.498;0:36.168;288.7;Paul Di Resta;;P;;United Autosports;Ligier;
32;2;4;1:37.412;0;;21.742;0;34.602;0;41.068;0;202.2;58:09.222;12:33:09.222;0:21.742;0:34.602;0:41.068;289.3;Paul Di Resta;;P;;United Autosports;Ligier;
32;2;5;1:35.149;0;;21.726;0;34.457;2;38.966;0;207.0;59:44.371;12:34:44.371;0:21.726;0:34.457;0:38.966;290.6;Paul Di Resta;;P;;United Autosports;Ligier;
32;2;6;1:37.265;0;;21.703;0;35.491;0;40.071;0;202.5;1:01:21.636;12:36:21.636;0:21.703;0:35.491;0:40.071;288.7;Paul Di Resta;;P;;United Autosports;Ligier;
