NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
14;1;1;3:20.365;0;B;1:35.124;0;40.557;0;1:04.684;0;64.7;3:20.365;09:23:20.365;1:35.124;0:40.557;1:04.684;;Kyle Marcelli;0:00:49.505;GTD;;3GT Racing;Lexus;
14;1;2;2:26.520;0;B;44.061;0;40.721;0;1:01.738;0;88.5;5:46.885;09:25:46.885;0:44.061;0:40.721;1:01.738;;Kyle Marcelli;0:00:54.955;GTD;;3GT Racing;Lexus;
14;1;3;2:32.508;0;B;42.912;0;38.270;2;1:11.326;0;85.0;8:19.393;09:28:19.393;0:42.912;0:38.270;1:11.326;;Kyle Marcelli;0:00:53.053;GTD;;3GT Racing;Lexus;
14;0;4;2:29.929;0;B;48.393;0;39.438;1;1:02.098;0;86.5;10:49.322;09:30:49.322;0:48.393;0:39.438;1:02.098;;Dominik Baumann;0:01:02.817;GTD;;3GT Racing;Lexus;
15;0;1;2:34.291;0;;1:36.110;0;38.140;0;20.041;0;84.0;2:34.291;09:22:34.291;1:36.110;0:38.140;0:20.041;;Jack Hawksworth;0:00:54.590;GTD;;3GT Racing;Lexus;
15;0;2;1:28.472;0;;33.625;0;35.054;0;19.793;0;146.6;4:02.763;09:24:02.763;0:33.625;0:35.054;0:19.793;209.0;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;3;1:27.227;2;;32.877;0;34.553;2;19.797;0;148.6;5:29.990;09:25:29.990;0:32.877;0:34.553;0:19.797;210.7;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;4;1:27.615;0;;33.251;0;34.672;0;19.692;2;148.0;6:57.605;09:26:57.605;0:33.251;0:34.672;0:19.692;211.1;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;5;1:27.228;0;;32.846;2;34.584;0;19.798;0;148.6;8:24.833;09:28:24.833;0:32.846;0:34.584;0:19.798;211.1;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;6;3:22.378;0;B;33.213;0;36.388;0;2:12.777;0;64.1;11:47.211;09:31:47.211;0:33.213;0:36.388;2:12.777;211.1;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;0;7;1:35.797;0;;40.208;0;35.594;0;19.995;0;135.4;13:23.008;09:33:23.008;0:40.208;0:35.594;0:19.995;;Jack Hawksworth;0:02:05.365;GTD;;3GT Racing;Lexus;
15;0;8;4:21.306;0;B;34.161;0;35.369;0;3:11.776;0;49.6;17:44.314;09:37:44.314;0:34.161;0:35.369;3:11.776;209.8;Jack Hawksworth;;GTD;;3GT Racing;Lexus;
15;1;9;1:37.342;0;;39.807;0;36.295;0;21.240;0;133.2;19:21.656;09:39:21.656;0:39.807;0:36.295;0:21.240;;David Heinemeier Hansson;0:03:04.327;GTD;;3GT Racing;Lexus;
15;1;10;1:30.241;0;;33.440;1;36.227;1;20.574;1;143.7;20:51.897;09:40:51.897;0:33.440;0:36.227;0:20.574;210.7;David Heinemeier Hansson;;GTD;;3GT Racing;Lexus;
2;0;1;3:02.029;0;B;1:26.644;0;38.721;0;56.664;0;71.2;3:02.029;09:23:02.029;1:26.644;0:38.721;0:56.664;;Scott Sharp;0:00:40.108;P;;Tequila Patron ESM;Nissan;
2;0;2;2:14.715;0;B;41.561;0;37.791;0;55.363;0;96.2;5:16.744;09:25:16.744;0:41.561;0:37.791;0:55.363;;Scott Sharp;0:00:47.178;P;;Tequila Patron ESM;Nissan;
2;0;3;1:31.835;0;;39.277;0;33.976;0;18.582;1;141.2;6:48.579;09:26:48.579;0:39.277;0:33.976;0:18.582;;Scott Sharp;0:00:46.368;P;;Tequila Patron ESM;Nissan;
2;0;4;2:09.901;0;B;31.184;1;33.483;1;1:05.234;0;99.8;8:58.480;09:28:58.480;0:31.184;0:33.483;1:05.234;237.9;Scott Sharp;;P;;Tequila Patron ESM;Nissan;
2;1;5;1:28.024;0;;37.792;0;31.941;0;18.291;0;147.3;10:26.504;09:30:26.504;0:37.792;0:31.941;0:18.291;;Ryan Dalziel;0:00:56.771;P;;Tequila Patron ESM;Nissan;
2;1;6;1:18.601;0;;29.206;2;31.327;0;18.068;2;165.0;11:45.105;09:31:45.105;0:29.206;0:31.327;0:18.068;237.9;Ryan Dalziel;;P;;Tequila Patron ESM;Nissan;
2;1;7;1:23.749;0;;30.674;0;33.187;0;19.888;0;154.8;13:08.854;09:33:08.854;0:30.674;0:33.187;0:19.888;238.4;Ryan Dalziel;;P;;Tequila Patron ESM;Nissan;
2;1;8;1:19.290;0;;29.405;0;31.342;0;18.543;0;163.5;14:28.144;09:34:28.144;0:29.405;0:31.342;0:18.543;238.4;Ryan Dalziel;;P;;Tequila Patron ESM;Nissan;
2;1;9;1:18.552;2;;29.303;0;31.105;2;18.144;0;165.1;15:46.696;09:35:46.696;0:29.303;0:31.105;0:18.144;237.9;Ryan Dalziel;;P;;Tequila Patron ESM;Nissan;
2;1;10;1:54.994;0;B;29.964;0;32.651;0;52.379;0;112.8;17:41.690;09:37:41.690;0:29.964;0:32.651;0:52.379;237.9;Ryan Dalziel;;P;;Tequila Patron ESM;Nissan;
2;1;11;2:19.433;0;B;46.703;0;36.580;0;56.150;0;93.0;20:01.123;09:40:01.123;0:46.703;0:36.580;0:56.150;;Ryan Dalziel;0:00:44.499;P;;Tequila Patron ESM;Nissan;
22;0;1;2:24.886;0;;1:25.710;0;39.271;0;19.905;0;89.5;2:24.886;09:22:24.886;1:25.710;0:39.271;0:19.905;;Johannes van Overbeek;0:00:39.323;P;;Tequila Patron ESM;Nissan;
22;0;2;1:25.478;0;;32.580;0;33.846;0;19.052;0;151.7;3:50.364;09:23:50.364;0:32.580;0:33.846;0:19.052;235.8;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;3;1:21.107;0;;30.425;0;32.434;0;18.248;0;159.9;5:11.471;09:25:11.471;0:30.425;0:32.434;0:18.248;236.3;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;4;1:20.320;0;;30.397;0;31.617;0;18.306;0;161.4;6:31.791;09:26:31.791;0:30.397;0:31.617;0:18.306;239.5;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;5;1:22.123;0;;30.386;0;32.315;0;19.422;0;157.9;7:53.914;09:27:53.914;0:30.386;0:32.315;0:19.422;239.5;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;6;1:25.424;0;;33.524;0;33.818;0;18.082;0;151.8;9:19.338;09:29:19.338;0:33.524;0:33.818;0:18.082;238.4;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;7;1:19.743;0;;30.060;0;31.546;0;18.137;0;162.6;10:39.081;09:30:39.081;0:30.060;0:31.546;0:18.137;238.9;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;8;1:19.532;0;;29.831;0;31.499;0;18.202;0;163.0;11:58.613;09:31:58.613;0:29.831;0:31.499;0:18.202;238.4;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;9;1:19.126;0;;29.840;0;31.391;0;17.895;2;163.9;13:17.739;09:33:17.739;0:29.840;0:31.391;0:17.895;237.9;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;10;1:20.759;0;;29.821;0;32.238;0;18.700;0;160.6;14:38.498;09:34:38.498;0:29.821;0:32.238;0:18.700;238.9;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;11;1:19.578;0;;29.763;0;31.733;0;18.082;0;162.9;15:58.076;09:35:58.076;0:29.763;0:31.733;0:18.082;237.3;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;12;1:18.712;2;;29.599;2;31.131;2;17.982;0;164.7;17:16.788;09:37:16.788;0:29.599;0:31.131;0:17.982;237.3;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
22;0;13;1:19.448;0;;29.764;0;31.464;0;18.220;0;163.2;18:36.236;09:38:36.236;0:29.764;0:31.464;0:18.220;239.5;Johannes van Overbeek;;P;;Tequila Patron ESM;Nissan;
24;1;1;2:21.524;0;;1:20.274;0;39.734;0;21.516;0;91.6;2:21.524;09:22:21.524;1:20.274;0:39.734;0:21.516;;John Edwards;0:00:32.845;GTLM;;BMW Team RLL;BMW;
24;1;2;1:26.866;0;;32.929;0;34.444;0;19.493;0;149.3;3:48.390;09:23:48.390;0:32.929;0:34.444;0:19.493;216.2;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;3;1:25.476;0;;31.810;0;34.242;0;19.424;0;151.7;5:13.866;09:25:13.866;0:31.810;0:34.242;0:19.424;217.5;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;4;1:24.955;0;;31.959;0;33.702;0;19.294;0;152.6;6:38.821;09:26:38.821;0:31.959;0:33.702;0:19.294;217.5;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;5;1:25.268;0;;31.744;2;34.264;0;19.260;0;152.1;8:04.089;09:28:04.089;0:31.744;0:34.264;0:19.260;217.5;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;6;1:24.690;2;;31.841;0;33.590;0;19.259;2;153.1;9:28.779;09:29:28.779;0:31.841;0:33.590;0:19.259;218.0;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;7;1:25.649;0;;32.041;0;34.070;0;19.538;0;151.4;10:54.428;09:30:54.428;0:32.041;0:34.070;0:19.538;217.5;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;8;1:25.426;0;;32.517;0;33.540;2;19.369;0;151.8;12:19.854;09:32:19.854;0:32.517;0:33.540;0:19.369;218.9;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;9;1:25.093;0;;32.117;0;33.616;0;19.360;0;152.4;13:44.947;09:33:44.947;0:32.117;0:33.616;0:19.360;217.5;John Edwards;;GTLM;;BMW Team RLL;BMW;
24;1;10;1:25.758;0;;32.428;0;33.809;0;19.521;0;151.2;15:10.705;09:35:10.705;0:32.428;0:33.809;0:19.521;217.5;John Edwards;;GTLM;;BMW Team RLL;BMW;
