NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:28.224;0;B;1:03.839;0;42.171;1;42.214;0;91.9;2:28.224;08:22:28.224;1:03.839;0:42.171;0:42.214;156.0;Renger Van Der Zande;0:00:25.048;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;2;2:14.915;0;;1:15.433;0;33.331;0;26.151;0;100.9;4:43.139;08:24:43.139;1:15.433;0:33.331;0:26.151;234.8;Jordan Taylor;0:00:57.529;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;3;1:25.333;0;;28.454;0;31.985;0;24.894;0;159.6;6:08.472;08:26:08.472;0:28.454;0:31.985;0:24.894;248.6;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;4;1:22.668;0;;27.102;0;31.036;0;24.530;0;164.7;7:31.140;08:27:31.140;0:27.102;0:31.036;0:24.530;251.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;5;1:22.554;2;;26.691;0;31.024;0;24.839;0;164.9;8:53.694;08:28:53.694;0:26.691;0:31.024;0:24.839;251.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;6;1:23.641;0;;27.191;0;31.434;0;25.016;0;162.8;10:17.335;08:30:17.335;0:27.191;0:31.434;0:25.016;241.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;7;1:25.914;0;;27.711;0;31.175;0;27.028;0;158.5;11:43.249;08:31:43.249;0:27.711;0:31.175;0:27.028;252.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;8;1:23.920;0;;28.781;0;30.604;2;24.535;0;162.2;13:07.169;08:33:07.169;0:28.781;0:30.604;0:24.535;248.1;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;9;1:23.819;0;;26.611;2;31.609;0;25.599;0;162.4;14:30.988;08:34:30.988;0:26.611;0:31.609;0:25.599;252.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;10;1:44.517;0;B;26.522;0;32.526;0;45.469;0;130.3;16:15.505;08:36:15.505;0:26.522;0:32.526;0:45.469;253.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;11;3:36.670;0;;2:40.982;0;31.159;0;24.529;2;62.8;19:52.175;08:39:52.175;2:40.982;0:31.159;0:24.529;249.0;Jordan Taylor;0:02:26.069;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;12;1:23.926;0;;26.720;0;31.958;0;25.248;0;162.2;21:16.101;08:41:16.101;0:26.720;0:31.958;0:25.248;252.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
12;1;1;2:06.187;0;;57.065;0;39.240;0;29.882;0;107.9;2:06.187;08:22:06.187;0:57.065;0:39.240;0:29.882;202.6;Frank Montecalvo;0:00:21.707;GTD;;AIM Vasser Sullivan;Lexus;
12;1;2;1:37.289;0;;32.740;0;35.998;0;28.551;0;139.9;3:43.476;08:23:43.476;0:32.740;0:35.998;0:28.551;216.1;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;3;1:35.229;0;;31.162;0;35.519;0;28.548;0;143.0;5:18.705;08:25:18.705;0:31.162;0:35.519;0:28.548;217.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;4;1:33.563;0;;30.588;0;34.931;0;28.044;0;145.5;6:52.268;08:26:52.268;0:30.588;0:34.931;0:28.044;220.2;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;5;1:32.395;0;;30.549;2;34.227;1;27.619;1;147.4;8:24.663;08:28:24.663;0:30.549;0:34.227;0:27.619;220.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
