NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;1:53.592;0;;55.210;0;38.326;0;20.056;0;125.4;1:53.592;09:31:53.592;0:55.210;0:38.326;0:20.056;230.4;Jordan Taylor;0:00:26.044;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;2;1:13.203;0;;22.850;0;32.852;1;17.501;1;194.6;3:06.795;09:33:06.795;0:22.850;0:32.852;0:17.501;275.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;3;3:02.108;0;B;22.480;1;33.958;0;2:05.670;0;78.2;6:08.903;09:36:08.903;0:22.480;0:33.958;2:05.670;276.2;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;4;1:24.542;0;;34.634;0;32.252;0;17.656;0;168.5;7:33.445;09:37:33.445;0:34.634;0:32.252;0:17.656;279.0;Renger Van Der Zande;0:02:03.292;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;5;1:08.752;0;;19.993;0;31.944;0;16.815;0;207.2;8:42.197;09:38:42.197;0:19.993;0:31.944;0:16.815;279.0;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;6;1:09.466;0;;20.076;0;31.897;0;17.493;0;205.1;9:51.663;09:39:51.663;0:20.076;0:31.897;0:17.493;283.3;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;7;1:09.557;0;;20.173;0;31.739;0;17.645;0;204.8;11:01.220;09:41:01.220;0:20.173;0:31.739;0:17.645;280.4;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;8;1:07.086;0;;19.652;0;31.480;0;15.954;0;212.4;12:08.306;09:42:08.306;0:19.652;0:31.480;0:15.954;279.7;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;9;3:29.684;0;B;21.772;0;31.966;0;2:35.946;0;67.9;15:37.990;09:45:37.990;0:21.772;0:31.966;2:35.946;279.0;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;10;1:22.640;0;;32.757;0;33.554;0;16.329;0;172.4;17:00.630;09:47:00.630;0:32.757;0:33.554;0:16.329;279.7;Renger Van Der Zande;0:02:34.690;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
