POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;75;Classified;101;4:00:13.402;-;-;83;1:52.656;183.1;Compass Racing;GS;;;McLaren GT4;M;417;53;5;53;7651;3;;4815;;;Paul;Holton;;Orlando, FL;;;847;1;;;;Kuno;Wittmer;;Montreal, Quebec;;;237;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;99;Classified;101;4:00:20.333;+6.931;+6.931;35;1:53.622;181.5;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;624;95;5;56;73;3;;4757;;;Gary;Ferrera;;Littleton, CO;;;1735;2;;;;Kris;Wilson;;Golden, CO;;;423;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;69;Classified;101;4:00:20.340;+6.938;+0.007;35;1:53.299;182.0;Motorsports In Action;GS;;;McLaren GT4;M;282;160;5;53;7651;3;;4753;;;Jesse;Lazare;;Montreal, Quebec;;;728;1;;;;Corey;Fergus;;Columbus, OH;;;503;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;82;Classified;101;4:00:25.565;+12.163;+5.225;77;1:53.792;181.2;BimmerWorld Racing;GS;;;BMW M4 GT4;M;455;73;5;68;74;3;;4725;;;James;Clay;;Blacksburg, VA;;;508;1;;;;Devin;Jones;;Mooresville, NC;;;915;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;22;Classified;101;4:00:25.604;+12.202;+0.039;35;1:54.006;180.9;Multimatic Motorsports;GS;;;Ford Mustang GT4;M;476;78;5;54;107;3;;4763;;;Austin;Cindric;;Mooresville, NC;;;878;1;;;;Chase;Briscoe;;Mitchell, IN;;;1614;2;;;;Billy;Johnson;;Lake Worth, FL;;;365;3;;;;;;;;;;;;;;;;;;;;;;
6;33;Classified;101;4:00:25.717;+12.315;+0.113;4;1:53.987;180.9;Winward Racing / HTP Motorsport;GS;;;Mercedes-AMG;M;473;205;5;69;7643;3;;4731;;;Russell;Ward;;Seabrook, TX;;;1252;1;;;;Indy;Dontje;;Amsterdam, Netherlands;;;1634;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;Classified;101;4:00:26.510;+13.108;+0.793;75;1:53.778;181.3;Park Place Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;585;40;5;78;112;3;;4729;;;Alan;Brynjolfsson;;Tampa, FL;;;1271;1;;;;Trent;Hindman;;Ocean Township, NJ;;;244;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;44;Classified;101;4:00:27.131;+13.729;+0.621;88;1:54.207;180.6;nolasport;GS;;;Porsche 718 Cayman GT4 Clubsport;M;618;245;5;78;112;3;;4760;;;Mike;Vess;;Wichita, KS;;;700;1;;;;Matt;Travis;;The Woodlands, TX;;;1686;5;;;;Jason;Hart;;Flower Mound, TX;;;699;2;;;;;;;;;;;;;;;;;;;;;;
9;15;Classified;101;4:00:27.456;+14.054;+0.325;9;1:53.781;181.3;Multimatic Motorsports;GS;;;Ford Mustang GT4;M;283;78;5;54;107;3;;4762;;;Scott;Maxwell;;Toronto, Ontario;;;433;3;;;;Ty;Majeski;;Seymour, WI;;;1590;1;;;;Cole;Custer;;Ladera Ranch, CA;;;1613;2;;;;;;;;;;;;;;;;;;;;;;
10;40;Classified;101;4:00:27.973;+14.571;+0.517;12;1:54.132;180.7;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;4814;;;James;Pesek;;Harrisonville, MO;;;1745;3;;;;Jade;Buford;;Houston, TX;;;434;1;;;;Patrick;Gallagher;;Thornville, OH;;;1593;2;;;;;;;;;;;;;;;;;;;;;;
