NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;1:02.003;0;;28.182;0;21.425;0;12.396;0;137.7;1:02.003;15:11:03.931;0:28.182;0:21.425;0:12.396;218.1;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;2;54.873;0;;22.400;0;20.177;0;12.296;0;155.6;1:56.876;15:11:58.804;0:22.400;0:20.177;0:12.296;233.2;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;3;53.262;0;;21.787;0;19.439;0;12.036;1;160.3;2:50.138;15:12:52.066;0:21.787;0:19.439;0:12.036;233.2;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;4;53.308;0;;21.705;0;19.477;0;12.126;0;160.2;3:43.446;15:13:45.374;0:21.705;0:19.477;0:12.126;234.7;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;5;53.480;0;;21.822;0;19.576;0;12.082;0;159.7;4:36.926;15:14:38.854;0:21.822;0:19.576;0:12.082;234.7;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;6;53.112;0;;21.669;1;19.352;1;12.091;0;160.8;5:30.038;15:15:31.966;0:21.669;0:19.352;0:12.091;235.2;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;7;53.475;0;;21.863;0;19.477;0;12.135;0;159.7;6:23.513;15:16:25.441;0:21.863;0:19.477;0:12.135;236.2;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;8;53.973;0;;22.293;0;19.518;0;12.162;0;158.2;7:17.486;15:17:19.414;0:22.293;0:19.518;0:12.162;235.7;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;9;53.872;0;;21.754;0;19.876;0;12.242;0;158.5;8:11.358;15:18:13.286;0:21.754;0:19.876;0:12.242;233.7;John Potter;;GTD;;Magnus Racing;Lamborghini;
11;1;10;53.402;0;;21.698;0;19.525;0;12.179;0;159.9;9:04.760;15:19:06.688;0:21.698;0:19.525;0:12.179;233.2;John Potter;;GTD;;Magnus Racing;Lamborghini;
