NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:08.952;0;B;41.926;0;43.170;0;43.856;0;88.4;2:08.952;07:42:08.952;0:41.926;0:43.170;0:43.856;;Jordan Taylor;0:00:09.587;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;2;6:46.314;0;;5:42.037;0;37.090;0;27.187;0;28.1;8:55.266;07:48:55.266;5:42.037;0:37.090;0:27.187;;Jordan Taylor;0:05:27.353;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;3;1:24.408;0;;28.156;0;31.137;0;25.115;0;135.1;10:19.674;07:50:19.674;0:28.156;0:31.137;0:25.115;216.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;4;1:20.242;0;;26.392;0;29.650;0;24.200;0;142.1;11:39.916;07:51:39.916;0:26.392;0:29.650;0:24.200;229.2;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;5;1:17.988;0;;25.561;0;29.051;0;23.376;0;146.2;12:57.904;07:52:57.904;0:25.561;0:29.051;0:23.376;229.6;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;6;1:31.351;0;B;25.957;0;29.498;0;35.896;0;124.8;14:29.255;07:54:29.255;0:25.957;0:29.498;0:35.896;230.4;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;7;16:24.965;0;;15:28.290;0;32.424;0;24.251;0;11.6;30:54.220;08:10:54.220;15:28.290;0:32.424;0:24.251;;Jordan Taylor;0:15:14.199;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;8;1:18.789;0;;26.911;0;28.947;0;22.931;0;144.7;32:13.009;08:12:13.009;0:26.911;0:28.947;0:22.931;228.4;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;9;1:19.862;0;;25.049;0;31.733;0;23.080;0;142.8;33:32.871;08:13:32.871;0:25.049;0:31.733;0:23.080;230.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;10;1:20.053;0;;24.834;0;32.179;0;23.040;0;142.4;34:52.924;08:14:52.924;0:24.834;0:32.179;0:23.040;229.6;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;11;1:15.343;0;;24.705;0;28.199;0;22.439;0;151.3;36:08.267;08:16:08.267;0:24.705;0:28.199;0:22.439;230.4;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;12;1:14.830;0;;24.416;0;28.102;0;22.312;0;152.4;37:23.097;08:17:23.097;0:24.416;0:28.102;0:22.312;230.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;13;1:16.109;0;;24.419;0;28.724;0;22.966;0;149.8;38:39.206;08:18:39.206;0:24.419;0:28.724;0:22.966;230.4;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;14;1:27.229;0;B;24.551;0;28.044;0;34.634;0;130.7;40:06.435;08:20:06.435;0:24.551;0:28.044;0:34.634;229.6;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;15;7:28.560;0;B;6:14.772;0;34.559;0;39.229;0;25.4;47:34.995;08:27:34.995;6:14.772;0:34.559;0:39.229;;Renger Van Der Zande;0:06:02.619;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;16;1:44.838;0;;51.581;0;29.759;0;23.498;0;108.8;49:19.833;08:29:19.833;0:51.581;0:29.759;0:23.498;;Renger Van Der Zande;0:00:42.663;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;17;1:15.658;0;;24.766;0;28.268;0;22.624;0;150.7;50:35.491;08:30:35.491;0:24.766;0:28.268;0:22.624;229.2;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;18;1:30.004;0;B;25.690;0;29.519;0;34.795;0;126.7;52:05.495;08:32:05.495;0:25.690;0:29.519;0:34.795;229.2;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;19;12:45.750;0;;11:48.307;0;32.687;0;24.756;0;14.9;1:04:51.245;08:44:51.245;11:48.307;0:32.687;0:24.756;;Renger Van Der Zande;0:11:37.469;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;20;1:15.941;0;;24.734;0;28.568;0;22.639;0;150.1;1:06:07.186;08:46:07.186;0:24.734;0:28.568;0:22.639;229.2;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;21;1:14.845;0;;24.489;1;28.169;1;22.187;1;152.3;1:07:22.031;08:47:22.031;0:24.489;0:28.169;0:22.187;229.2;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;22;1:45.403;0;B;26.888;0;33.441;0;45.074;0;108.2;1:09:07.434;08:49:07.434;0:26.888;0:33.441;0:45.074;229.2;Renger Van Der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
