NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:33.383;0;B;1:19.082;0;34.881;0;39.420;0;85.3;2:33.383;08:02:33.383;1:19.082;0:34.881;0:39.420;169.2;Renger Van Der Zande;0:00:33.476;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;1;2;1:58.998;0;B;51.295;0;30.674;1;37.029;0;109.9;4:32.381;08:04:32.381;0:51.295;0:30.674;0:37.029;198.0;Renger Van Der Zande;0:00:24.246;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;3;3:36.823;0;;2:39.017;0;29.362;0;28.444;0;60.3;8:09.204;08:08:09.204;2:39.017;0:29.362;0:28.444;206.7;Jordan Taylor;0:02:14.063;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;4;1:30.081;0;;33.945;0;28.627;0;27.509;0;145.2;9:39.285;08:09:39.285;0:33.945;0:28.627;0:27.509;244.3;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;5;1:23.767;0;;32.514;0;25.840;0;25.413;0;156.2;11:03.052;08:11:03.052;0:32.514;0:25.840;0:25.413;261.3;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;6;1:22.673;0;;31.645;0;26.032;0;24.996;0;158.2;12:25.725;08:12:25.725;0:31.645;0:26.032;0:24.996;262.8;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;7;1:23.677;0;;32.322;0;26.041;0;25.314;0;156.3;13:49.402;08:13:49.402;0:32.322;0:26.041;0:25.314;264.9;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;8;1:22.930;0;;32.084;0;25.304;0;25.542;0;157.7;15:12.332;08:15:12.332;0:32.084;0:25.304;0:25.542;266.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;9;1:21.093;0;;30.686;0;24.555;0;25.852;0;161.3;16:33.425;08:16:33.425;0:30.686;0:24.555;0:25.852;257.2;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;10;1:18.075;2;;29.838;0;23.385;2;24.852;0;167.6;17:51.500;08:17:51.500;0:29.838;0:23.385;0:24.852;266.5;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
