NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;45:44.051;0;B;44:26.739;0;35.280;2;42.032;0;4.8;45:44.051;16:00:44.051;44:26.739;0:35.280;0:42.032;161.4;Jordan Taylor;0:43:43.727;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
12;2;1;2:17.381;0;;1:06.224;0;35.904;0;35.253;0;95.2;2:17.381;15:17:17.381;1:06.224;0:35.904;0:35.253;166.0;Townsend Bell;0:00:28.538;GTD;;AIM Vasser Sullivan;Lexus;
12;2;2;1:52.099;0;;40.609;0;34.291;0;37.199;0;116.7;4:09.480;15:19:09.480;0:40.609;0:34.291;0:37.199;186.8;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;3;1:59.251;0;B;40.499;0;34.127;0;44.625;0;109.7;6:08.731;15:21:08.731;0:40.499;0:34.127;0:44.625;209.0;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;4;8:49.943;0;;7:41.966;0;33.817;0;34.160;0;24.7;14:58.674;15:29:58.674;7:41.966;0:33.817;0:34.160;215.5;Townsend Bell;0:07:17.846;GTD;;AIM Vasser Sullivan;Lexus;
12;2;5;1:46.323;0;;39.953;0;32.757;0;33.613;0;123.0;16:44.997;15:31:44.997;0:39.953;0:32.757;0:33.613;223.9;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;6;1:45.941;0;;39.120;0;33.175;0;33.646;0;123.5;18:30.938;15:33:30.938;0:39.120;0:33.175;0:33.646;226.2;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;7;1:42.890;0;;38.349;0;31.495;0;33.046;0;127.1;20:13.828;15:35:13.828;0:38.349;0:31.495;0:33.046;238.5;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;8;1:42.914;0;;38.394;0;31.824;0;32.696;1;127.1;21:56.742;15:36:56.742;0:38.394;0:31.824;0:32.696;238.1;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;9;1:56.417;0;B;39.328;0;33.874;0;43.215;0;112.4;23:53.159;15:38:53.159;0:39.328;0:33.874;0:43.215;219.8;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;10;9:02.593;0;;7:58.015;0;31.607;0;32.971;0;24.1;32:55.752;15:47:55.752;7:58.015;0:31.607;0:32.971;238.1;Townsend Bell;0:07:34.206;GTD;;AIM Vasser Sullivan;Lexus;
12;2;11;1:42.406;0;;37.730;1;31.612;0;33.064;0;127.7;34:38.158;15:49:38.158;0:37.730;0:31.612;0:33.064;239.0;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;12;1:42.959;0;;38.112;0;31.596;0;33.251;0;127.1;36:21.117;15:51:21.117;0:38.112;0:31.596;0:33.251;239.4;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;13;1:48.254;0;B;38.010;0;31.440;1;38.804;0;120.8;38:09.371;15:53:09.371;0:38.010;0:31.440;0:38.804;240.3;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;14;3:24.129;0;;2:19.655;0;31.145;0;33.329;0;64.1;41:33.500;15:56:33.500;2:19.655;0:31.145;0:33.329;237.7;Frank Montecalvo;0:01:54.295;GTD;;AIM Vasser Sullivan;Lexus;
12;1;15;1:42.506;0;;38.065;0;31.287;0;33.154;0;127.6;43:16.006;15:58:16.006;0:38.065;0:31.287;0:33.154;239.8;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;16;1:39.837;0;;37.095;0;29.791;0;32.951;0;131.0;44:55.843;15:59:55.843;0:37.095;0:29.791;0:32.951;241.2;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;17;1:40.366;0;;37.754;0;29.855;0;32.757;0;130.3;46:36.209;16:01:36.209;0:37.754;0:29.855;0:32.757;240.7;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;18;1:39.900;0;;36.340;0;30.694;0;32.866;0;131.0;48:16.109;16:03:16.109;0:36.340;0:30.694;0:32.866;242.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;19;1:38.836;0;;36.169;0;29.611;0;33.056;0;132.4;49:54.945;16:04:54.945;0:36.169;0:29.611;0:33.056;242.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;20;1:38.677;0;;36.621;0;29.650;0;32.406;0;132.6;51:33.622;16:06:33.622;0:36.621;0:29.650;0:32.406;242.5;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;21;1:37.717;0;;37.159;0;28.798;0;31.760;2;133.9;53:11.339;16:08:11.339;0:37.159;0:28.798;0:31.760;242.5;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;22;1:39.073;0;;36.300;0;29.715;0;33.058;0;132.0;54:50.412;16:09:50.412;0:36.300;0:29.715;0:33.058;242.0;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;23;1:46.429;0;;43.103;0;30.962;0;32.364;0;122.9;56:36.841;16:11:36.841;0:43.103;0:30.962;0:32.364;180.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;24;1:36.386;2;;35.702;2;28.897;0;31.787;0;135.7;58:13.227;16:13:13.227;0:35.702;0:28.897;0:31.787;242.0;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;25;1:36.869;0;;36.088;0;28.775;2;32.006;0;135.0;59:50.096;16:14:50.096;0:36.088;0:28.775;0:32.006;242.5;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;26;1:46.973;0;B;36.432;0;28.988;0;41.553;0;122.3;1:01:37.069;16:16:37.069;0:36.432;0:28.988;0:41.553;241.6;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;1;2:35.663;0;;1:12.867;0;38.021;0;44.775;0;84.0;2:35.663;15:17:35.663;1:12.867;0:38.021;0:44.775;177.0;Richard Heistand;0:00:33.524;GTD;;AIM Vasser Sullivan;Lexus;
14;1;2;1:51.078;0;;41.293;0;33.671;0;36.114;0;117.8;4:26.741;15:19:26.741;0:41.293;0:33.671;0:36.114;220.9;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;3;2:00.051;0;B;40.579;0;34.122;0;45.350;0;109.0;6:26.792;15:21:26.792;0:40.579;0:34.122;0:45.350;218.0;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;4;8:40.403;0;;7:31.039;0;34.481;0;34.883;0;25.1;15:07.195;15:30:07.195;7:31.039;0:34.481;0:34.883;214.1;Richard Heistand;0:07:06.253;GTD;;AIM Vasser Sullivan;Lexus;
14;1;5;1:51.349;0;;40.396;0;35.424;0;35.529;0;117.5;16:58.544;15:31:58.544;0:40.396;0:35.424;0:35.529;177.7;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;6;1:46.842;0;;39.892;0;33.077;0;33.873;0;122.4;18:45.386;15:33:45.386;0:39.892;0:33.077;0:33.873;230.6;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;7;1:48.514;0;;39.572;0;33.366;0;35.576;0;120.6;20:33.900;15:35:33.900;0:39.572;0:33.366;0:35.576;220.2;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;8;1:45.522;0;;38.824;0;33.054;0;33.644;0;124.0;22:19.422;15:37:19.422;0:38.824;0:33.054;0:33.644;235.6;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;9;1:44.636;0;;38.942;0;31.818;0;33.876;0;125.0;24:04.058;15:39:04.058;0:38.942;0:31.818;0:33.876;238.5;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;10;1:54.822;0;B;38.559;0;32.955;0;43.308;0;113.9;25:58.880;15:40:58.880;0:38.559;0:32.955;0:43.308;233.5;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;11;7:11.343;0;;6:04.577;0;32.715;0;34.051;0;30.3;33:10.223;15:48:10.223;6:04.577;0:32.715;0:34.051;226.6;Richard Heistand;0:05:37.854;GTD;;AIM Vasser Sullivan;Lexus;
14;1;12;2:01.482;0;;40.697;0;43.423;0;37.362;0;107.7;35:11.705;15:50:11.705;0:40.697;0:43.423;0:37.362;164.0;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;13;1:44.391;0;;39.030;0;31.934;0;33.427;0;125.3;36:56.096;15:51:56.096;0:39.030;0:31.934;0:33.427;237.2;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;14;1:48.795;0;;41.930;0;32.533;0;34.332;0;120.2;38:44.891;15:53:44.891;0:41.930;0:32.533;0:34.332;235.6;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;15;1:55.495;0;;40.539;0;32.893;0;42.063;0;113.3;40:40.386;15:55:40.386;0:40.539;0:32.893;0:42.063;228.2;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;16;1:42.594;0;;38.323;0;30.966;1;33.305;1;127.5;42:22.980;15:57:22.980;0:38.323;0:30.966;0:33.305;240.3;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;17;1:49.983;0;B;37.580;1;31.195;0;41.208;0;118.9;44:12.963;15:59:12.963;0:37.580;0:31.195;0:41.208;239.0;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;2;18;3:14.144;0;;2:09.808;0;31.113;0;33.223;0;67.4;47:27.107;16:02:27.107;2:09.808;0:31.113;0:33.223;237.2;Jack Hawksworth;0:01:44.425;GTD;;AIM Vasser Sullivan;Lexus;
14;2;19;1:38.276;0;;36.680;0;29.276;0;32.320;0;133.1;49:05.383;16:04:05.383;0:36.680;0:29.276;0:32.320;242.0;Jack Hawksworth;;GTD;;AIM Vasser Sullivan;Lexus;
14;2;20;1:44.905;0;B;36.694;0;29.685;0;38.526;0;124.7;50:50.288;16:05:50.288;0:36.694;0:29.685;0:38.526;241.6;Jack Hawksworth;;GTD;;AIM Vasser Sullivan;Lexus;
14;2;21;2:52.186;0;;1:46.606;0;30.080;0;35.500;0;76.0;53:42.474;16:08:42.474;1:46.606;0:30.080;0:35.500;207.4;Jack Hawksworth;0:01:15.728;GTD;;AIM Vasser Sullivan;Lexus;
14;2;22;1:37.437;0;;36.079;0;27.892;0;33.466;0;134.3;55:19.911;16:10:19.911;0:36.079;0:27.892;0:33.466;242.9;Jack Hawksworth;;GTD;;AIM Vasser Sullivan;Lexus;
