NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;5:32.054;0;;4:37.592;0;31.772;0;22.690;0;62.1;5:32.054;16:35:32.054;4:37.592;0:31.772;0:22.690;273.7;Rolf Ineichen;0:03:45.527;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;2;1:49.462;0;;55.803;0;31.177;0;22.482;0;188.4;7:21.516;16:37:21.516;0:55.803;0:31.177;0:22.482;274.8;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;3;1:47.548;0;;55.217;0;29.951;0;22.380;0;191.8;9:09.064;16:39:09.064;0:55.217;0:29.951;0:22.380;275.4;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;4;1:47.084;0;;54.694;0;30.000;0;22.390;0;192.6;10:56.148;16:40:56.148;0:54.694;0:30.000;0:22.390;274.8;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;5;1:46.752;0;;54.463;0;29.925;0;22.364;0;193.2;12:42.900;16:42:42.900;0:54.463;0:29.925;0:22.364;274.8;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;6;1:46.445;2;;54.366;2;29.772;2;22.307;2;193.8;14:29.345;16:44:29.345;0:54.366;0:29.772;0:22.307;274.8;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;7;1:47.083;0;;54.390;0;30.334;0;22.359;0;192.6;16:16.428;16:46:16.428;0:54.390;0:30.334;0:22.359;276.0;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
12;1;1;3:35.440;0;;2:41.541;0;31.459;0;22.440;0;95.7;3:35.440;16:33:35.440;2:41.541;0:31.459;0:22.440;274.3;Frank Montecalvo;0:01:47.510;GTD;;AIM Vasser Sullivan;Lexus;
12;1;2;1:47.707;0;;55.797;0;29.828;0;22.082;0;191.5;5:23.147;16:35:23.147;0:55.797;0:29.828;0:22.082;277.7;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;3;1:46.089;0;;54.315;0;29.711;0;22.063;0;194.4;7:09.236;16:37:09.236;0:54.315;0:29.711;0:22.063;277.7;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;4;1:46.421;0;;54.705;0;29.641;0;22.075;0;193.8;8:55.657;16:38:55.657;0:54.705;0:29.641;0:22.075;278.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;5;1:46.345;0;;54.174;2;29.997;0;22.174;0;193.9;10:42.002;16:40:42.002;0:54.174;0:29.997;0:22.174;279.5;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;6;1:46.093;0;;54.423;0;29.526;0;22.144;0;194.4;12:28.095;16:42:28.095;0:54.423;0:29.526;0:22.144;280.1;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;7;1:45.587;2;;54.282;0;29.367;3;21.938;2;195.3;14:13.682;16:44:13.682;0:54.282;0:29.367;0:21.938;278.9;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
13;2;1;3:43.467;0;;2:47.733;0;32.924;0;22.810;0;92.3;3:43.467;16:33:43.467;2:47.733;0:32.924;0:22.810;270.9;Victor Franzoni;0:01:53.808;GTD;;Via Italia Racing;Ferrari;
13;2;2;1:55.935;0;;1:00.596;0;32.814;0;22.525;0;177.9;5:39.402;16:35:39.402;1:00.596;0:32.814;0:22.525;272.6;Victor Franzoni;;GTD;;Via Italia Racing;Ferrari;
13;2;3;1:47.213;0;;54.805;0;30.055;0;22.353;0;192.4;7:26.615;16:37:26.615;0:54.805;0:30.055;0:22.353;274.3;Victor Franzoni;;GTD;;Via Italia Racing;Ferrari;
13;2;4;1:46.186;0;;54.428;0;29.621;0;22.137;2;194.2;9:12.801;16:39:12.801;0:54.428;0:29.621;0:22.137;276.0;Victor Franzoni;;GTD;;Via Italia Racing;Ferrari;
13;2;5;1:57.969;0;;1:05.404;0;30.130;0;22.435;0;174.8;11:10.770;16:41:10.770;1:05.404;0:30.130;0:22.435;272.6;Victor Franzoni;;GTD;;Via Italia Racing;Ferrari;
