NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;2;1;3:59.315;0;;1:28.066;0;1:04.765;0;1:26.484;0;90.5;3:59.315;08:03:59.315;1:28.066;1:04.765;1:26.484;103.1;Mirko Bortolotti;0:00:37.049;GTD;;GRT Grasser Racing Team;Lamborghini;
11;2;2;3:21.210;0;B;57.327;0;1:01.649;0;1:22.234;0;107.7;7:20.525;08:07:20.525;0:57.327;1:01.649;1:22.234;125.4;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;2;3;9:02.779;0;;6:56.627;0;57.612;0;1:08.540;2;39.9;16:23.304;08:16:23.304;6:56.627;0:57.612;1:08.540;144.5;Mirko Bortolotti;0:06:20.760;GTD;;GRT Grasser Racing Team;Lamborghini;
11;2;4;3:00.217;0;B;51.246;2;56.987;2;1:11.984;0;120.2;19:23.521;08:19:23.521;0:51.246;0:56.987;1:11.984;149.8;Mirko Bortolotti;;GTD;;GRT Grasser Racing Team;Lamborghini;
12;2;1;3:58.294;0;;1:30.486;0;1:03.715;0;1:24.093;1;90.9;3:58.294;08:03:58.294;1:30.486;1:03.715;1:24.093;107.1;Townsend Bell;0:00:40.685;GTD;;AIM Vasser Sullivan;Lexus;
12;2;2;3:19.809;0;B;56.901;2;1:00.877;1;1:22.031;0;108.4;7:18.103;08:07:18.103;0:56.901;1:00.877;1:22.031;126.3;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;3;9:13.564;0;B;6:47.074;0;1:02.905;1;1:23.585;0;39.1;16:31.667;08:16:31.667;6:47.074;1:02.905;1:23.585;133.8;Frank Montecalvo;0:06:05.919;GTD;;AIM Vasser Sullivan;Lexus;
12;3;4;4:26.192;0;;2:11.068;0;1:00.128;2;1:14.996;2;81.4;20:57.859;08:20:57.859;2:11.068;1:00.128;1:14.996;117.0;Aaron Telitz;0:01:33.818;GTD;;AIM Vasser Sullivan;Lexus;
14;1;1;6:01.549;0;;3:55.161;0;57.347;2;1:09.041;0;59.9;6:01.549;08:06:01.549;3:55.161;0:57.347;1:09.041;155.4;Richard Heistand;0:03:07.589;GTD;;AIM Vasser Sullivan;Lexus;
14;1;2;3:30.866;0;B;53.160;0;59.055;0;1:38.651;0;102.8;9:32.415;08:09:32.415;0:53.160;0:59.055;1:38.651;111.3;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;3;7:21.725;0;;4:57.347;0;1:08.205;0;1:16.173;0;49.1;16:54.140;08:16:54.140;4:57.347;1:08.205;1:16.173;113.8;Richard Heistand;0:04:21.562;GTD;;AIM Vasser Sullivan;Lexus;
14;1;4;3:19.907;2;;50.502;2;1:25.169;0;1:04.236;2;108.4;20:14.047;08:20:14.047;0:50.502;1:25.169;1:04.236;171.2;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
19;3;1;4:27.932;0;;2:03.748;0;1:04.645;2;1:19.539;2;80.9;4:27.932;08:04:27.932;2:03.748;1:04.645;1:19.539;118.3;Will Hardeman;0:01:09.223;GTD;;Moorespeed;Audi;
19;3;2;8:54.386;0;B;1:03.946;2;1:05.963;0;6:44.477;0;40.5;13:22.318;08:13:22.318;1:03.946;1:05.963;6:44.477;111.5;Will Hardeman;;GTD;;Moorespeed;Audi;
19;1;3;5:20.999;0;B;1:22.742;0;1:09.109;1;2:49.148;0;67.5;18:43.317;08:18:43.317;1:22.742;1:09.109;2:49.148;121.8;Andrew Davis;0:05:50.866;GTD;;Moorespeed;Audi;
24;1;1;4:05.177;0;B;1:27.513;0;1:03.658;2;1:34.006;0;88.4;4:05.177;08:04:05.177;1:27.513;1:03.658;1:34.006;100.5;Jesse Krohn;0:00:38.063;GTLM;;BMW Team RLL;BMW;
25;1;1;4:03.450;0;B;1:28.962;0;1:04.624;2;1:29.864;0;89.0;4:03.450;08:04:03.450;1:28.962;1:04.624;1:29.864;106.8;Tom Blomqvist;0:00:39.517;GTLM;;BMW Team RLL;BMW;
29;3;1;16:45.466;0;B;13:28.601;0;56.165;2;2:20.700;0;21.6;16:45.466;08:16:45.466;13:28.601;0:56.165;2:20.700;138.8;Ricky Feller;0:12:43.768;GTD;;Montaplast by Land Motorsport;Audi;
3;2;1;8:23.624;0;B;5:37.049;0;1:11.695;0;1:34.880;0;43.0;8:23.624;08:08:23.624;5:37.049;1:11.695;1:34.880;90.0;Antonio Garcia;0:04:41.705;GTLM;;Corvette Racing;Chevrolet;
31;1;1;3:56.806;0;B;1:21.169;0;1:05.930;0;1:29.707;0;91.5;3:56.806;08:03:56.806;1:21.169;1:05.930;1:29.707;108.3;Felipe Nasr;0:00:30.261;DPi;;Whelen Engineering Racing;Cadillac;
31;1;2;12:24.857;0;B;10:02.737;0;1:00.594;2;1:21.526;0;29.1;16:21.663;08:16:21.663;10:02.737;1:00.594;1:21.526;134.0;Felipe Nasr;0:09:24.807;DPi;;Whelen Engineering Racing;Cadillac;
31;3;3;6:08.474;0;B;3:49.083;0;1:03.156;1;1:16.235;0;58.8;22:30.137;08:22:30.137;3:49.083;1:03.156;1:16.235;138.9;Pipo Derani;0:03:02.280;DPi;;Whelen Engineering Racing;Cadillac;
33;3;1;8:06.998;0;B;5:37.817;0;58.402;0;1:30.779;0;44.5;8:06.998;08:08:06.998;5:37.817;0:58.402;1:30.779;115.0;Felipe Fraga;0:04:48.830;GTD;;Riley Motorsports - Team AMG;Mercedes-AMG;
33;3;2;7:58.707;0;;5:43.202;0;57.430;0;1:18.075;0;45.3;16:05.705;08:16:05.705;5:43.202;0:57.430;1:18.075;141.1;Felipe Fraga;0:05:10.448;GTD;;Riley Motorsports - Team AMG;Mercedes-AMG;
33;3;3;2:48.190;3;;50.011;0;54.618;0;1:03.561;2;128.8;18:53.895;08:18:53.895;0:50.011;0:54.618;1:03.561;146.9;Felipe Fraga;;GTD;;Riley Motorsports - Team AMG;Mercedes-AMG;
33;3;4;2:49.580;0;B;47.363;3;53.547;3;1:08.670;0;127.8;21:43.475;08:21:43.475;0:47.363;0:53.547;1:08.670;169.9;Felipe Fraga;;GTD;;Riley Motorsports - Team AMG;Mercedes-AMG;
38;1;1;3:21.622;0;;1:08.108;0;1:04.765;0;1:08.749;2;107.5;3:21.622;08:03:21.622;1:08.108;1:04.765;1:08.749;139.5;Kyle Masson;0:00:18.435;LMP2;;Performance Tech Motorsports;ORECA;
38;1;2;3:11.843;0;B;53.487;2;1:00.945;2;1:17.411;0;112.9;6:33.465;08:06:33.465;0:53.487;1:00.945;1:17.411;162.4;Kyle Masson;;LMP2;;Performance Tech Motorsports;ORECA;
38;3;3;10:56.186;0;;8:21.949;0;1:15.070;0;1:19.167;1;33.0;17:29.651;08:17:29.651;8:21.949;1:15.070;1:19.167;123.7;Cameron Cassels;0:07:31.793;LMP2;;Performance Tech Motorsports;ORECA;
38;3;4;3:40.329;0;B;1:01.007;1;1:09.522;1;1:29.800;0;98.3;21:09.980;08:21:09.980;1:01.007;1:09.522;1:29.800;137.5;Cameron Cassels;;LMP2;;Performance Tech Motorsports;ORECA;
4;2;1;5:06.713;0;B;2:46.732;0;59.027;2;1:20.954;0;70.6;5:06.713;08:05:06.713;2:46.732;0:59.027;1:20.954;124.1;Tommy Milner;0:01:55.527;GTLM;;Corvette Racing;Chevrolet;
4;2;2;16:08.285;0;B;13:54.431;0;59.791;0;1:14.063;0;22.4;21:14.998;08:21:14.998;13:54.431;0:59.791;1:14.063;146.7;Tommy Milner;0:13:14.143;GTLM;;Corvette Racing;Chevrolet;
44;1;1;5:31.889;0;;3:04.874;0;1:08.394;2;1:18.621;2;65.3;5:31.889;08:05:31.889;3:04.874;1:08.394;1:18.621;113.3;John Potter;0:02:03.111;GTD;;Magnus Racing;Lamborghini;
47;3;1;18:31.168;0;B;1:18.460;0;1:05.378;2;16:07.330;0;19.5;18:31.168;08:18:31.168;1:18.460;1:05.378;16:07.330;110.1;Lawson Aschenbach;0:00:23.808;GTD;;Precision Performance Motorsports (PPM);Lamborghini;
48;1;1;13:13.761;0;B;1:48.302;0;1:06.007;2;10:19.452;0;27.3;13:13.761;08:13:13.761;1:48.302;1:06.007;10:19.452;90.7;Bryan Sellers;0:00:57.307;GTD;;Paul Miller Racing;Lamborghini;
5;3;1;4:54.544;0;B;2:38.709;0;58.220;2;1:17.615;0;73.6;4:54.544;08:04:54.544;2:38.709;0:58.220;1:17.615;145.6;Filipe Albuquerque;0:01:52.545;DPi;;Mustang Sampling Racing;Cadillac;
5;1;2;16:31.068;0;B;14:13.135;0;1:01.439;1;1:16.494;0;21.9;21:25.612;08:21:25.612;14:13.135;1:01.439;1:16.494;139.4;Joao Barbosa;0:13:25.340;DPi;;Mustang Sampling Racing;Cadillac;
50;1;1;15:20.667;0;B;5:25.964;0;1:04.333;0;8:50.370;0;23.5;15:20.667;08:15:20.667;5:25.964;1:04.333;8:50.370;117.8;Will Owen;0:04:31.111;DPi;;Juncos Racing;Cadillac;
50;1;2;3:34.454;0;;1:16.083;0;1:04.567;0;1:13.804;2;101.0;18:55.121;08:18:55.121;1:16.083;1:04.567;1:13.804;142.3;Will Owen;0:07:51.114;DPi;;Juncos Racing;Cadillac;
52;1;1;6:41.015;0;B;4:04.977;0;1:09.842;1;1:26.196;0;54.0;6:41.015;08:06:41.015;4:04.977;1:09.842;1:26.196;131.2;Matthew McMurry;0:03:09.697;LMP2;;PR1 Mathiasen Motorsports;ORECA;
52;3;2;11:00.440;0;B;8:16.735;0;1:13.257;0;1:30.448;0;32.8;17:41.455;08:17:41.455;8:16.735;1:13.257;1:30.448;118.5;Anders Fjorback;0:07:28.729;LMP2;;PR1 Mathiasen Motorsports;ORECA;
52;3;3;3:52.065;0;;1:50.261;0;58.443;2;1:03.361;3;93.4;21:33.520;08:21:33.520;1:50.261;0:58.443;1:03.361;175.1;Anders Fjorback;0:01:12.018;LMP2;;PR1 Mathiasen Motorsports;ORECA;
57;3;1;4:19.886;0;B;1:42.965;0;1:05.332;1;1:31.589;0;83.4;4:19.886;08:04:19.886;1:42.965;1:05.332;1:31.589;112.1;Christina Nielsen;0:00:47.525;GTD;;Heinricher Racing w/Meyer Shank Racing;Acura;
57;2;2;16:20.579;0;B;13:53.615;0;1:04.315;2;1:22.649;0;22.1;20:40.465;08:20:40.465;13:53.615;1:04.315;1:22.649;126.8;Ana Beatriz;0:13:07.934;GTD;;Heinricher Racing w/Meyer Shank Racing;Acura;
6;1;1;3:11.613;0;;1:00.333;0;1:01.533;0;1:09.747;2;113.1;3:11.613;08:03:11.613;1:00.333;1:01.533;1:09.747;129.8;Dane Cameron;0:00:07.393;DPi;;Acura Team Penske;Acura;
6;1;2;3:11.281;2;;57.237;2;1:03.531;0;1:10.513;0;113.3;6:22.894;08:06:22.894;0:57.237;1:03.531;1:10.513;127.0;Dane Cameron;;DPi;;Acura Team Penske;Acura;
6;1;3;3:21.614;0;B;57.525;0;1:00.764;0;1:23.325;0;107.5;9:44.508;08:09:44.508;0:57.525;1:00.764;1:23.325;123.0;Dane Cameron;;DPi;;Acura Team Penske;Acura;
6;1;4;7:46.866;0;;5:29.917;0;1:00.438;2;1:16.511;0;46.4;17:31.374;08:17:31.374;5:29.917;1:00.438;1:16.511;116.7;Dane Cameron;0:04:51.359;DPi;;Acura Team Penske;Acura;
6;1;5;3:31.176;0;B;1:01.891;0;1:08.375;0;1:20.910;0;102.6;21:02.550;08:21:02.550;1:01.891;1:08.375;1:20.910;123.9;Dane Cameron;;DPi;;Acura Team Penske;Acura;
66;2;1;6:52.062;0;B;4:30.263;0;1:00.233;2;1:21.566;0;52.6;6:52.062;08:06:52.062;4:30.263;1:00.233;1:21.566;125.5;Dirk Mueller;0:03:35.762;GTLM;;Ford Chip Ganassi Racing;Ford;
67;1;1;4:23.468;0;B;1:44.483;0;1:08.652;2;1:30.333;0;82.2;4:23.468;08:04:23.468;1:44.483;1:08.652;1:30.333;115.5;Ryan Briscoe;0:00:49.141;GTLM;;Ford Chip Ganassi Racing;Ford;
7;2;1;3:03.583;0;;55.905;0;58.142;0;1:09.536;1;118.0;3:03.583;08:03:03.583;0:55.905;0:58.142;1:09.536;143.3;Helio Castroneves;0:00:09.035;DPi;;Acura Team Penske;Acura;
7;2;2;3:09.651;0;B;55.481;2;57.323;2;1:16.847;0;114.3;6:13.234;08:06:13.234;0:55.481;0:57.323;1:16.847;139.1;Helio Castroneves;;DPi;;Acura Team Penske;Acura;
7;1;3;10:05.207;0;B;7:42.747;0;58.590;1;1:23.870;0;35.8;16:18.441;08:16:18.441;7:42.747;0:58.590;1:23.870;138.7;Ricky Taylor;0:07:03.918;DPi;;Acura Team Penske;Acura;
7;3;4;4:21.401;0;;2:15.842;0;59.703;1;1:05.856;2;82.9;20:39.842;08:20:39.842;2:15.842;0:59.703;1:05.856;161.3;Alexander Rossi;0:01:38.869;DPi;;Acura Team Penske;Acura;
71;2;1;4:07.789;0;;1:45.045;0;1:04.346;2;1:18.398;2;87.4;4:07.789;08:04:07.789;1:45.045;1:04.346;1:18.398;131.3;Maximilian Buhk;0:00:55.690;GTD;;P1 Motorsports;Mercedes-AMG;
73;1;1;4:06.094;0;;1:42.881;0;1:03.000;2;1:20.213;2;88.0;4:06.094;08:04:06.094;1:42.881;1:03.000;1:20.213;106.4;Patrick Lindsey;0:00:52.345;GTD;;Park Place Motorsports;Porsche;
73;1;2;17:11.857;0;B;58.329;2;1:03.961;0;15:09.567;0;21.0;21:17.951;08:21:17.951;0:58.329;1:03.961;15:09.567;112.0;Patrick Lindsey;;GTD;;Park Place Motorsports;Porsche;
77;3;1;13:19.316;0;B;3:03.461;0;1:02.868;1;9:12.987;0;27.1;13:19.316;08:13:19.316;3:03.461;1:02.868;9:12.987;118.0;Timo Bernhard;0:02:12.582;DPi;;Mazda Team Joest;Mazda;
77;2;2;3:26.975;0;;1:11.760;0;1:04.076;0;1:11.139;2;104.7;16:46.291;08:16:46.291;1:11.760;1:04.076;1:11.139;136.4;Tristan Nunez;0:08:22.035;DPi;;Mazda Team Joest;Mazda;
8;3;1;3:47.672;0;;1:13.471;0;1:09.750;0;1:24.451;1;95.2;3:47.672;08:03:47.672;1:13.471;1:09.750;1:24.451;112.9;Ezequiel Perez Companc;0:00:20.268;GTD;;Starworks Motorsport;Audi;
8;3;2;9:24.941;0;B;1:05.106;1;1:07.360;1;7:12.475;0;38.4;13:12.613;08:13:12.613;1:05.106;1:07.360;7:12.475;113.1;Ezequiel Perez Companc;;GTD;;Starworks Motorsport;Audi;
8;1;3;3:34.732;0;;1:14.026;0;1:06.309;0;1:14.397;2;100.9;16:47.345;08:16:47.345;1:14.026;1:06.309;1:14.397;125.1;Parker Chase;0:06:16.869;GTD;;Starworks Motorsport;Audi;
86;2;1;3:34.221;0;;1:17.138;0;1:00.645;0;1:16.438;1;101.1;3:34.221;08:03:34.221;1:17.138;1:00.645;1:16.438;117.8;Trent Hindman;0:00:13.944;GTD;;Meyer Shank Racing w/ Curb-Agajanian;Acura;
86;2;2;3:12.098;0;B;54.010;2;58.036;2;1:20.052;0;112.8;6:46.319;08:06:46.319;0:54.010;0:58.036;1:20.052;132.2;Trent Hindman;;GTD;;Meyer Shank Racing w/ Curb-Agajanian;Acura;
86;3;3;9:33.798;0;;7:23.032;0;59.246;0;1:11.520;2;37.8;16:20.117;08:16:20.117;7:23.032;0:59.246;1:11.520;151.1;Justin Marks;0:06:41.449;GTD;;Meyer Shank Racing w/ Curb-Agajanian;Acura;
86;3;4;3:11.102;0;B;55.720;1;58.128;1;1:17.254;0;113.4;19:31.219;08:19:31.219;0:55.720;0:58.128;1:17.254;144.4;Justin Marks;;GTD;;Meyer Shank Racing w/ Curb-Agajanian;Acura;
9;1;1;3:58.093;0;;1:46.994;0;59.226;0;1:11.873;2;91.0;3:58.093;08:03:58.093;1:46.994;0:59.226;1:11.873;154.9;Scott Hargrove;0:00:58.830;GTD;;Pfaff Motorsports;Porsche;
9;1;2;7:48.632;0;B;52.734;2;56.145;2;5:59.753;0;46.2;11:46.725;08:11:46.725;0:52.734;0:56.145;5:59.753;110.9;Scott Hargrove;;GTD;;Pfaff Motorsports;Porsche;
911;1;1;4:28.513;0;B;1:52.891;0;1:02.236;0;1:33.386;0;80.7;4:28.513;08:04:28.513;1:52.891;1:02.236;1:33.386;87.1;Patrick Pilet;0:01:01.848;GTLM;;Porsche GT Team;Porsche;
911;1;2;11:43.032;0;B;9:21.162;0;1:01.167;2;1:20.703;0;30.8;16:11.545;08:16:11.545;9:21.162;1:01.167;1:20.703;111.9;Patrick Pilet;0:08:45.198;GTLM;;Porsche GT Team;Porsche;
911;1;3;4:43.334;0;;2:26.361;0;1:03.012;0;1:13.961;2;76.5;20:54.879;08:20:54.879;2:26.361;1:03.012;1:13.961;127.6;Patrick Pilet;0:01:51.953;GTLM;;Porsche GT Team;Porsche;
912;2;1;4:06.935;0;;1:37.213;0;1:07.944;0;1:21.778;0;87.7;4:06.935;08:04:06.935;1:37.213;1:07.944;1:21.778;112.1;Laurens Vanthoor;0:00:43.798;GTLM;;Porsche GT Team;Porsche;
912;2;2;3:34.073;0;B;1:01.396;0;1:04.164;0;1:28.513;0;101.2;7:41.008;08:07:41.008;1:01.396;1:04.164;1:28.513;114.8;Laurens Vanthoor;;GTLM;;Porsche GT Team;Porsche;
912;2;3;9:21.108;0;;7:02.208;0;1:03.184;0;1:15.716;0;38.6;17:02.116;08:17:02.116;7:02.208;1:03.184;1:15.716;135.2;Laurens Vanthoor;0:06:20.908;GTLM;;Porsche GT Team;Porsche;
912;2;4;3:03.258;2;;55.678;2;58.762;2;1:08.818;2;118.2;20:05.374;08:20:05.374;0:55.678;0:58.762;1:08.818;122.3;Laurens Vanthoor;;GTLM;;Porsche GT Team;Porsche;
