NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;52:08.239;0;;50:49.051;0;39.953;0;39.235;0;6.9;52:08.239;10:47:08.239;50:49.051;0:39.953;0:39.235;238.5;Jordan Taylor;0:50:14.581;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;2;1:50.673;0;;31.779;0;37.389;2;41.505;0;193.7;53:58.912;10:48:58.912;0:31.779;0:37.389;0:41.505;171.2;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;3;1:46.978;0;;31.708;0;37.639;0;37.631;0;200.4;55:45.890;10:50:45.890;0:31.708;0:37.639;0:37.631;276.8;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;4;1:46.530;2;;31.436;2;37.467;0;37.627;2;201.3;57:32.420;10:52:32.420;0:31.436;0:37.467;0:37.627;276.2;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;5;2:09.808;0;B;31.761;0;46.976;0;51.071;0;165.2;59:42.228;10:54:42.228;0:31.761;0:46.976;0:51.071;245.0;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
11;1;1;6:43.338;0;;5:13.393;0;44.648;0;45.297;0;53.2;6:43.338;10:01:43.338;5:13.393;0:44.648;0:45.297;244.5;Rolf Ineichen;0:04:32.275;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;2;2:01.228;0;;36.421;0;41.815;0;42.992;0;176.9;8:44.566;10:03:44.566;0:36.421;0:41.815;0:42.992;251.3;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;3;2:00.925;0;;36.533;0;41.557;2;42.835;0;177.3;10:45.491;10:05:45.491;0:36.533;0:41.557;0:42.835;252.7;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;4;2:01.257;0;;36.248;0;41.656;0;43.353;0;176.8;12:46.748;10:07:46.748;0:36.248;0:41.656;0:43.353;252.2;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;1;5;2:01.875;0;;36.251;0;42.209;0;43.415;0;175.9;14:48.623;10:09:48.623;0:36.251;0:42.209;0:43.415;252.7;Rolf Ineichen;;GTD;;GRT Grasser Racing Team;Lamborghini;
