NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;2;1;2:24.312;0;;51.533;0;50.747;0;42.032;0;131.3;2:24.312;16:32:24.312;0:51.533;0:50.747;0:42.032;;Townsend Bell;0:00:23.870;GTD;;AIM Vasser Sullivan;Lexus;
12;2;2;1:46.722;0;;22.013;0;44.470;0;40.239;0;177.5;4:11.034;16:34:11.034;0:22.013;0:44.470;0:40.239;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;3;1:46.089;0;;21.761;0;44.444;0;39.884;0;178.6;5:57.123;16:35:57.123;0:21.761;0:44.444;0:39.884;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;4;1:46.130;0;;21.791;0;44.432;0;39.907;0;178.5;7:43.253;16:37:43.253;0:21.791;0:44.432;0:39.907;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;5;1:45.987;0;;21.675;0;44.368;0;39.944;0;178.7;9:29.240;16:39:29.240;0:21.675;0:44.368;0:39.944;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;6;4:31.773;0;B;21.602;0;44.441;0;3:25.730;0;69.7;14:01.013;16:44:01.013;0:21.602;0:44.441;3:25.730;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;7;1:51.843;0;;27.075;0;44.604;0;40.164;0;169.4;15:52.856;16:45:52.856;0:27.075;0:44.604;0:40.164;;Townsend Bell;0:02:50.644;GTD;;AIM Vasser Sullivan;Lexus;
12;2;8;1:47.155;0;;22.029;0;44.294;0;40.832;0;176.8;17:40.011;16:47:40.011;0:22.029;0:44.294;0:40.832;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;9;1:46.138;0;;21.761;0;44.477;0;39.900;0;178.5;19:26.149;16:49:26.149;0:21.761;0:44.477;0:39.900;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;10;7:31.246;0;B;21.867;0;44.301;0;6:25.078;0;42.0;26:57.395;16:56:57.395;0:21.867;0:44.301;6:25.078;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;11;1:54.895;0;;28.740;0;45.795;0;40.360;0;164.9;28:52.290;16:58:52.290;0:28.740;0:45.795;0:40.360;;Townsend Bell;0:05:49.792;GTD;;AIM Vasser Sullivan;Lexus;
12;2;12;1:45.112;0;;21.603;0;43.712;2;39.797;0;180.2;30:37.402;17:00:37.402;0:21.603;0:43.712;0:39.797;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;13;1:44.953;2;;21.408;0;43.827;0;39.718;2;180.5;32:22.355;17:02:22.355;0:21.408;0:43.827;0:39.718;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;14;1:45.159;0;;21.414;0;43.934;0;39.811;0;180.2;34:07.514;17:04:07.514;0:21.414;0:43.934;0:39.811;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;15;1:45.190;0;;21.627;0;43.743;0;39.820;0;180.1;35:52.704;17:05:52.704;0:21.627;0:43.743;0:39.820;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;16;4:20.791;0;B;21.401;2;44.058;0;3:15.332;0;72.6;40:13.495;17:10:13.495;0:21.401;0:44.058;3:15.332;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;2;17;1:50.720;0;;26.995;0;43.905;0;39.820;0;171.1;42:04.215;17:12:04.215;0:26.995;0:43.905;0:39.820;;Townsend Bell;0:02:40.494;GTD;;AIM Vasser Sullivan;Lexus;
12;2;18;4:09.394;0;B;21.538;0;44.000;0;3:03.856;0;76.0;46:13.609;17:16:13.609;0:21.538;0:44.000;3:03.856;;Townsend Bell;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;19;1:53.550;0;;27.765;0;45.785;0;40.000;0;166.8;48:07.159;17:18:07.159;0:27.765;0:45.785;0:40.000;;Frank Montecalvo;0:02:29.377;GTD;;AIM Vasser Sullivan;Lexus;
12;1;20;1:47.680;0;;21.745;1;45.699;0;40.236;0;175.9;49:54.839;17:19:54.839;0:21.745;0:45.699;0:40.236;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;21;1:47.911;0;;21.784;0;44.569;1;41.558;0;175.6;51:42.750;17:21:42.750;0:21.784;0:44.569;0:41.558;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;22;3:16.156;0;B;22.031;0;47.253;0;2:06.872;0;96.6;54:58.906;17:24:58.906;0:22.031;0:47.253;2:06.872;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;23;2:01.287;0;;31.234;0;46.450;0;43.603;0;156.2;57:00.193;17:27:00.193;0:31.234;0:46.450;0:43.603;;Frank Montecalvo;0:01:27.550;GTD;;AIM Vasser Sullivan;Lexus;
12;1;24;1:46.468;0;;21.758;0;44.752;0;39.958;1;177.9;58:46.661;17:28:46.661;0:21.758;0:44.752;0:39.958;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
