NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;1;1;4:15.329;0;;2:19.449;0;1:04.731;0;51.149;0;74.2;4:15.329;12:29:15.329;2:19.449;1:04.731;0:51.149;;Frank Montecalvo;0:01:41.944;GTD;;AIM Vasser Sullivan;Lexus;
12;1;2;2:08.975;0;;28.795;0;54.872;0;45.308;0;146.9;6:24.304;12:31:24.304;0:28.795;0:54.872;0:45.308;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;3;1:57.266;0;;25.736;0;49.190;0;42.340;0;161.6;8:21.570;12:33:21.570;0:25.736;0:49.190;0:42.340;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;4;1:50.071;0;;22.932;0;46.036;0;41.103;0;172.1;10:11.641;12:35:11.641;0:22.932;0:46.036;0:41.103;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;5;1:52.508;0;;22.623;0;49.474;0;40.411;0;168.4;12:04.149;12:37:04.149;0:22.623;0:49.474;0:40.411;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;6;1:49.744;0;;21.855;2;44.651;0;43.238;0;172.6;13:53.893;12:38:53.893;0:21.855;0:44.651;0:43.238;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;7;1:46.150;2;;22.081;0;44.360;2;39.709;2;178.5;15:40.043;12:40:40.043;0:22.081;0:44.360;0:39.709;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;8;2:30.764;0;B;24.887;0;57.614;0;1:08.263;0;125.7;18:10.807;12:43:10.807;0:24.887;0:57.614;1:08.263;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
14;1;1;3:40.514;0;;1:00.212;0;1:30.393;0;1:09.909;0;85.9;3:40.514;12:28:40.514;1:00.212;1:30.393;1:09.909;;Richard Heistand;0:00:20.719;GTD;;AIM Vasser Sullivan;Lexus;
14;1;2;2:23.548;0;;31.338;0;1:01.838;0;50.372;0;132.0;6:04.062;12:31:04.062;0:31.338;1:01.838;0:50.372;;Richard Heistand;;GTD;;AIM Vasser Sullivan;Lexus;
