NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;1;1;1:57.298;0;;26.733;0;49.208;0;41.357;0;161.5;1:57.298;13:38:21.386;0:26.733;0:49.208;0:41.357;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;2;2:25.726;0;B;22.528;0;45.911;0;1:17.287;0;130.0;4:23.024;13:40:47.112;0:22.528;0:45.911;1:17.287;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;3;1:52.625;0;;27.513;0;44.519;0;40.593;0;168.2;6:15.649;13:42:39.737;0:27.513;0:44.519;0:40.593;;Frank Montecalvo;0:00:40.557;GTD;;AIM Vasser Sullivan;Lexus;
12;1;4;1:47.066;0;;22.196;0;44.672;0;40.198;0;176.9;8:02.715;13:44:26.803;0:22.196;0:44.672;0:40.198;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;5;1:46.918;0;;22.169;0;44.582;0;40.167;0;177.2;9:49.633;13:46:13.721;0:22.169;0:44.582;0:40.167;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;6;1:46.823;0;;21.960;0;44.463;0;40.400;0;177.4;11:36.456;13:48:00.544;0:21.960;0:44.463;0:40.400;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;7;1:46.412;0;;21.787;1;44.598;0;40.027;0;178.0;13:22.868;13:49:46.956;0:21.787;0:44.598;0:40.027;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;8;1:46.718;0;;21.996;0;44.564;0;40.158;0;177.5;15:09.586;13:51:33.674;0:21.996;0:44.564;0:40.158;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;9;1:46.700;0;;21.970;0;44.759;0;39.971;0;177.6;16:56.286;13:53:20.374;0:21.970;0:44.759;0:39.971;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;10;1:52.731;0;;22.035;0;44.717;0;45.979;0;168.1;18:49.017;13:55:13.105;0:22.035;0:44.717;0:45.979;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;11;2:22.660;0;;40.142;0;1:00.733;0;41.785;0;132.8;21:11.677;13:57:35.765;0:40.142;1:00.733;0:41.785;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;12;1:48.618;0;;22.670;0;45.412;0;40.536;0;174.4;23:00.295;13:59:24.383;0:22.670;0:45.412;0:40.536;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
12;1;13;3:51.555;0;B;23.960;0;1:18.629;0;2:08.966;0;81.8;26:51.850;14:03:15.938;0:23.960;1:18.629;2:08.966;;Frank Montecalvo;;GTD;;AIM Vasser Sullivan;Lexus;
