NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;1:51.839;0;;56.019;0;35.721;0;20.099;0;115.9;1:51.839;15:16:51.839;0:56.019;0:35.721;0:20.099;;Jordan Taylor;0:00:15.105;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;2;1:20.721;0;;30.535;0;31.428;0;18.758;0;160.6;3:12.560;15:18:12.560;0:30.535;0:31.428;0:18.758;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;3;4:35.792;0;B;29.740;0;31.255;0;3:34.797;0;47.0;7:48.352;15:22:48.352;0:29.740;0:31.255;3:34.797;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;4;1:33.171;0;;39.249;0;31.739;0;22.183;0;139.2;9:21.523;15:24:21.523;0:39.249;0:31.739;0:22.183;;Jordan Taylor;0:03:24.911;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;5;1:17.213;0;;29.001;0;29.854;0;18.358;0;167.9;10:38.736;15:25:38.736;0:29.001;0:29.854;0:18.358;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;6;1:19.088;0;;29.330;0;30.312;0;19.446;0;163.9;11:57.824;15:26:57.824;0:29.330;0:30.312;0:19.446;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;7;1:17.127;0;;29.018;0;29.754;2;18.355;0;168.1;13:14.951;15:28:14.951;0:29.018;0:29.754;0:18.355;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;8;1:17.013;2;;29.021;0;29.775;0;18.217;0;168.4;14:31.964;15:29:31.964;0:29.021;0:29.775;0:18.217;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;9;1:18.017;0;;29.069;0;30.564;0;18.384;0;166.2;15:49.981;15:30:49.981;0:29.069;0:30.564;0:18.384;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
10;2;10;1:21.214;0;;29.108;0;32.308;0;19.798;0;159.7;17:11.195;15:32:11.195;0:29.108;0:32.308;0:19.798;;Jordan Taylor;;DPi;;Konica Minolta Cadillac DPi-V.R.;Cadillac;
