NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;2;1;2:22.064;0;;53.391;0;42.018;0;46.655;0;94.6;2:22.064;09:47:22.064;0:53.391;0:42.018;0:46.655;;Michael De Quesada;0:00:38.456;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;2;1:32.888;0;;16.167;0;33.816;0;42.905;0;144.7;3:54.952;09:48:54.952;0:16.167;0:33.816;0:42.905;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;3;1:28.898;0;;14.126;0;32.595;0;42.177;0;151.2;5:23.850;09:50:23.850;0:14.126;0:32.595;0:42.177;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;4;1:28.430;0;;14.372;0;32.219;0;41.839;0;152.0;6:52.280;09:51:52.280;0:14.372;0:32.219;0:41.839;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;5;1:35.599;0;;14.405;0;32.229;0;48.965;0;140.6;8:27.879;09:53:27.879;0:14.405;0:32.229;0:48.965;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;6;1:29.685;0;;15.047;0;32.178;0;42.460;0;149.9;9:57.564;09:54:57.564;0:15.047;0:32.178;0:42.460;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;7;1:28.710;0;;14.338;0;32.273;0;42.099;0;151.5;11:26.274;09:56:26.274;0:14.338;0:32.273;0:42.099;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;8;1:28.238;0;;13.875;0;32.348;0;42.015;0;152.3;12:54.512;09:57:54.512;0:13.875;0:32.348;0:42.015;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;9;1:28.501;0;;13.846;0;32.189;0;42.466;0;151.9;14:23.013;09:59:23.013;0:13.846;0:32.189;0:42.466;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;10;1:28.030;0;;13.848;0;32.191;0;41.991;0;152.7;15:51.043;10:00:51.043;0:13.848;0:32.191;0:41.991;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;11;1:31.771;0;;13.982;0;33.011;0;44.778;0;146.5;17:22.814;10:02:22.814;0:13.982;0:33.011;0:44.778;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;12;3:41.641;0;B;14.239;0;33.052;0;2:54.350;0;60.6;21:04.455;10:06:04.455;0:14.239;0:33.052;2:54.350;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
