NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;2;1;1:42.751;0;;20.015;0;37.303;0;45.433;0;130.8;1:42.751;21:07:28.753;0:20.015;0:37.303;0:45.433;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;2;1:36.798;0;;16.078;0;35.716;0;45.004;0;138.9;3:19.549;21:09:05.551;0:16.078;0:35.716;0:45.004;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;3;1:36.071;0;;15.954;0;35.692;0;44.425;0;139.9;4:55.620;21:10:41.622;0:15.954;0:35.692;0:44.425;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;4;1:38.122;0;;15.100;0;36.719;0;46.303;0;137.0;6:33.742;21:12:19.744;0:15.100;0:36.719;0:46.303;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;5;1:37.331;0;;15.778;0;36.047;0;45.506;0;138.1;8:11.073;21:13:57.075;0:15.778;0:36.047;0:45.506;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;6;1:38.613;0;;15.455;0;36.499;0;46.659;0;136.3;9:49.686;21:15:35.688;0:15.455;0:36.499;0:46.659;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;7;1:51.900;0;;16.282;0;41.351;0;54.267;0;120.1;11:41.586;21:17:27.588;0:16.282;0:41.351;0:54.267;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;8;2:01.730;0;;18.311;0;42.146;0;1:01.273;0;110.4;13:43.316;21:19:29.318;0:18.311;0:42.146;1:01.273;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;9;2:25.019;0;;25.059;0;47.836;0;1:12.124;0;92.7;16:08.335;21:21:54.337;0:25.059;0:47.836;1:12.124;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;10;1:48.479;0;;16.400;0;36.098;0;55.981;0;123.9;17:56.814;21:23:42.816;0:16.400;0:36.098;0:55.981;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;11;2:21.645;0;;22.628;0;41.856;0;1:17.161;0;94.9;20:18.459;21:26:04.461;0:22.628;0:41.856;1:17.161;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
12;2;12;2:35.018;0;;25.072;0;47.450;0;1:22.496;0;86.7;22:53.477;21:28:39.479;0:25.072;0:47.450;1:22.496;;Michael De Quesada;;GTD;;AIM VASSER SULLIVAN;Lexus;
