NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;1:52.830;0;;26.936;0;45.378;0;40.516;0;115.9;1:52.830;14:06:17.620;0:26.936;0:45.378;0:40.516;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;2;1:17.050;0;;10.327;0;28.045;0;38.678;0;169.8;3:09.880;14:07:34.670;0:10.327;0:28.045;0:38.678;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;3;1:15.222;0;;10.117;0;27.734;0;37.371;0;173.9;4:25.102;14:08:49.892;0:10.117;0:27.734;0:37.371;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;4;1:14.911;0;;10.088;0;27.579;0;37.244;0;174.6;5:40.013;14:10:04.803;0:10.088;0:27.579;0:37.244;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;5;1:14.518;0;;10.000;0;27.502;0;37.016;0;175.6;6:54.531;14:11:19.321;0:10.000;0:27.502;0:37.016;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;6;1:14.558;0;;10.014;0;27.494;0;37.050;0;175.5;8:09.089;14:12:33.879;0:10.014;0:27.494;0:37.050;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;7;1:13.722;0;;9.941;0;27.115;0;36.666;0;177.5;9:22.811;14:13:47.601;0:09.941;0:27.115;0:36.666;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;8;1:14.196;0;;9.982;0;27.242;0;36.972;0;176.3;10:37.007;14:15:01.797;0:09.982;0:27.242;0:36.972;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;9;1:17.544;0;;10.021;0;28.210;0;39.313;0;168.7;11:54.551;14:16:19.341;0:10.021;0:28.210;0:39.313;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;10;1:18.109;0;;10.671;0;28.158;0;39.280;0;167.5;13:12.660;14:17:37.450;0:10.671;0:28.158;0:39.280;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;11;1:16.590;0;;10.932;0;27.717;0;37.941;0;170.8;14:29.250;14:18:54.040;0:10.932;0:27.717;0:37.941;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;12;1:15.998;0;;10.297;0;27.987;0;37.714;0;172.1;15:45.248;14:20:10.038;0:10.297;0:27.987;0:37.714;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;13;1:14.016;0;;9.956;0;27.221;0;36.839;0;176.7;16:59.264;14:21:24.054;0:09.956;0:27.221;0:36.839;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;14;1:13.844;0;;9.836;0;27.196;0;36.812;0;177.2;18:13.108;14:22:37.898;0:09.836;0:27.196;0:36.812;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;15;1:14.528;0;;9.858;0;27.033;0;37.637;0;175.5;19:27.636;14:23:52.426;0:09.858;0:27.033;0:37.637;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;16;1:14.923;0;;10.386;0;27.515;0;37.022;0;174.6;20:42.559;14:25:07.349;0:10.386;0:27.515;0:37.022;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;17;1:13.708;0;;9.808;0;27.057;0;36.843;0;177.5;21:56.267;14:26:21.057;0:09.808;0:27.057;0:36.843;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;18;1:15.940;0;;9.897;0;27.285;0;38.758;0;172.3;23:12.207;14:27:36.997;0:09.897;0:27.285;0:38.758;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;19;1:16.760;0;;10.034;0;27.554;0;39.172;0;170.4;24:28.967;14:28:53.757;0:10.034;0:27.554;0:39.172;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;20;1:15.119;0;;10.170;0;27.684;0;37.265;0;174.2;25:44.086;14:30:08.876;0:10.170;0:27.684;0:37.265;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
