NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;3;1;1:54.892;0;B;16.640;0;58.047;0;40.205;0;128.1;1:54.892;11:16:54.892;0:16.640;0:58.047;0:40.205;;Scott Dixon;0:00:10.250;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;2;4:32.857;0;;3:15.211;0;48.958;0;28.688;0;53.9;6:27.749;11:21:27.749;3:15.211;0:48.958;0:28.688;;Scott Dixon;0:03:18.629;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;3;1:22.631;0;;10.193;0;44.415;0;28.023;0;178.1;7:50.380;11:22:50.380;0:10.193;0:44.415;0:28.023;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;4;1:14.529;0;;9.235;0;39.587;0;25.707;0;197.5;9:04.909;11:24:04.909;0:09.235;0:39.587;0:25.707;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;5;1:12.204;0;;8.670;0;38.185;0;25.349;0;203.8;10:17.113;11:25:17.113;0:08.670;0:38.185;0:25.349;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;6;1:15.017;0;;8.549;0;39.598;0;26.870;0;196.2;11:32.130;11:26:32.130;0:08.549;0:39.598;0:26.870;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;7;1:12.091;0;;8.644;0;38.278;0;25.169;0;204.1;12:44.221;11:27:44.221;0:08.644;0:38.278;0:25.169;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;8;1:14.294;0;;8.512;0;38.153;0;27.629;0;198.1;13:58.515;11:28:58.515;0:08.512;0:38.153;0:27.629;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;9;1:11.566;0;;8.532;0;37.878;1;25.156;1;205.6;15:10.081;11:30:10.081;0:08.532;0:37.878;0:25.156;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;10;1:12.286;0;;8.472;1;38.410;0;25.404;0;203.6;16:22.367;11:31:22.367;0:08.472;0:38.410;0:25.404;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;11;1:26.579;0;B;8.701;0;40.824;0;37.054;0;170.0;17:48.946;11:32:48.946;0:08.701;0:40.824;0:37.054;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;12;7:14.609;0;;5:58.696;0;48.400;0;27.513;0;33.9;25:03.555;11:40:03.555;5:58.696;0:48.400;0:27.513;;Renger van der Zande;0:06:01.976;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;13;1:14.407;0;;8.860;0;39.407;0;26.140;0;197.8;26:17.962;11:41:17.962;0:08.860;0:39.407;0:26.140;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;14;1:12.130;0;;8.452;0;38.152;0;25.526;0;204.0;27:30.092;11:42:30.092;0:08.452;0:38.152;0:25.526;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;15;1:10.872;2;;8.271;0;37.649;0;24.952;2;207.6;28:40.964;11:43:40.964;0:08.271;0:37.649;0:24.952;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;16;1:12.343;0;;8.784;0;38.335;0;25.224;0;203.4;29:53.307;11:44:53.307;0:08.784;0:38.335;0:25.224;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;17;1:14.258;0;;8.218;2;39.578;0;26.462;0;198.2;31:07.565;11:46:07.565;0:08.218;0:39.578;0:26.462;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;18;1:13.106;0;;8.276;0;39.241;0;25.589;0;201.3;32:20.671;11:47:20.671;0:08.276;0:39.241;0:25.589;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;19;1:12.792;0;;8.269;0;38.986;0;25.537;0;202.2;33:33.463;11:48:33.463;0:08.269;0:38.986;0:25.537;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;20;1:21.780;0;B;8.313;0;38.384;0;35.083;0;179.9;34:55.243;11:49:55.243;0:08.313;0:38.384;0:35.083;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;21;8:43.248;0;;7:38.149;0;39.610;0;25.489;0;28.1;43:38.491;11:58:38.491;7:38.149;0:39.610;0:25.489;;Renger van der Zande;0:07:42.491;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;22;1:12.079;0;;8.594;0;37.975;0;25.510;0;204.2;44:50.570;11:59:50.570;0:08.594;0:37.975;0:25.510;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;23;1:11.884;0;;8.909;0;37.842;0;25.133;0;204.7;46:02.454;12:01:02.454;0:08.909;0:37.842;0:25.133;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;24;1:14.297;0;;8.349;0;40.894;0;25.054;0;198.1;47:16.751;12:02:16.751;0:08.349;0:40.894;0:25.054;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;25;1:12.998;0;;8.406;0;39.221;0;25.371;0;201.6;48:29.749;12:03:29.749;0:08.406;0:39.221;0:25.371;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;26;1:22.415;0;B;8.270;0;38.371;0;35.774;0;178.6;49:52.164;12:04:52.164;0:08.270;0:38.371;0:35.774;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;27;7:41.295;0;;6:35.069;0;40.284;0;25.942;0;31.9;57:33.459;12:12:33.459;6:35.069;0:40.284;0:25.942;;Renger van der Zande;0:06:39.531;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
