NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;4;1;3:59.313;0;;2:40.370;0;47.727;0;31.216;0;86.2;3:59.313;19:18:59.313;2:40.370;0:47.727;0:31.216;;Renger van der Zande;0:02:10.418;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;2;1:38.802;0;;32.918;0;37.207;0;28.677;0;208.8;5:38.115;19:20:38.115;0:32.918;0:37.207;0:28.677;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;3;1:35.952;0;;31.648;0;36.169;0;28.135;0;215.0;7:14.067;19:22:14.067;0:31.648;0:36.169;0:28.135;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;4;1:37.384;0;;32.587;0;36.498;0;28.299;0;211.8;8:51.451;19:23:51.451;0:32.587;0:36.498;0:28.299;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;5;1:35.291;0;;31.363;0;36.061;0;27.867;1;216.4;10:26.742;19:25:26.742;0:31.363;0:36.061;0:27.867;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;6;1:35.246;2;;31.297;2;35.989;2;27.960;0;216.5;12:01.988;19:27:01.988;0:31.297;0:35.989;0:27.960;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;7;1:35.799;0;;31.572;0;36.356;0;27.871;0;215.3;13:37.787;19:28:37.787;0:31.572;0:36.356;0:27.871;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;8;1:35.997;0;;31.769;0;36.194;0;28.034;0;214.9;15:13.784;19:30:13.784;0:31.769;0:36.194;0:28.034;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;9;1:37.141;0;;32.001;0;37.101;0;28.039;0;212.3;16:50.925;19:31:50.925;0:32.001;0:37.101;0:28.039;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;10;1:37.946;0;;32.059;0;36.592;0;29.295;0;210.6;18:28.871;19:33:28.871;0:32.059;0:36.592;0:29.295;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;11;1:50.564;0;B;31.766;0;36.640;0;42.158;0;186.5;20:19.435;19:35:19.435;0:31.766;0:36.640;0:42.158;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;12;5:47.347;0;;4:42.150;0;36.783;0;28.414;0;59.4;26:06.782;19:41:06.782;4:42.150;0:36.783;0:28.414;;Renger van der Zande;0:04:31.857;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;13;1:36.501;0;;31.740;0;36.501;0;28.260;0;213.7;27:43.283;19:42:43.283;0:31.740;0:36.501;0:28.260;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;14;1:37.207;0;;32.009;0;36.863;0;28.335;0;212.2;29:20.490;19:44:20.490;0:32.009;0:36.863;0:28.335;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;15;1:50.382;0;B;32.065;0;36.522;0;41.795;0;186.9;31:10.872;19:46:10.872;0:32.065;0:36.522;0:41.795;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;16;11:37.822;0;;10:29.704;0;38.502;0;29.616;0;29.6;42:48.694;19:57:48.694;10:29.704;0:38.502;0:29.616;;Renger van der Zande;0:10:18.965;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;17;1:37.185;0;;32.003;0;36.614;0;28.568;0;212.2;44:25.879;19:59:25.879;0:32.003;0:36.614;0:28.568;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;18;1:37.357;0;;32.383;0;36.731;0;28.243;0;211.9;46:03.236;20:01:03.236;0:32.383;0:36.731;0:28.243;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;19;1:36.216;0;;31.682;0;36.540;0;27.994;0;214.4;47:39.452;20:02:39.452;0:31.682;0:36.540;0:27.994;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;4;20;1:51.285;0;B;32.002;0;36.789;0;42.494;0;185.3;49:30.737;20:04:30.737;0:32.002;0:36.789;0:42.494;;Renger van der Zande;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;21;6:11.370;0;;5:02.435;0;39.368;0;29.567;0;55.5;55:42.107;20:10:42.107;5:02.435;0:39.368;0:29.567;;Scott Dixon;0:04:46.339;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;22;1:39.030;0;;33.618;0;36.650;0;28.762;0;208.3;57:21.137;20:12:21.137;0:33.618;0:36.650;0:28.762;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;23;1:36.824;0;;31.827;0;36.448;0;28.549;0;213.0;58:57.961;20:13:57.961;0:31.827;0:36.448;0:28.549;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;24;1:35.818;0;;31.606;0;36.218;0;27.994;0;215.3;1:00:33.779;20:15:33.779;0:31.606;0:36.218;0:27.994;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;25;1:36.424;0;;32.021;0;36.398;0;28.005;0;213.9;1:02:10.203;20:17:10.203;0:32.021;0:36.398;0:28.005;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;26;1:52.520;0;B;32.853;0;36.461;0;43.206;0;183.3;1:04:02.723;20:19:02.723;0:32.853;0:36.461;0:43.206;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;27;6:18.037;0;;5:13.086;0;36.592;0;28.359;0;54.6;1:10:20.760;20:25:20.760;5:13.086;0:36.592;0:28.359;;Scott Dixon;0:05:01.849;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;28;1:35.810;0;;31.667;0;36.208;0;27.935;1;215.3;1:11:56.570;20:26:56.570;0:31.667;0:36.208;0:27.935;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;29;1:37.304;0;;32.012;0;36.321;0;28.971;0;212.0;1:13:33.874;20:28:33.874;0:32.012;0:36.321;0:28.971;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;30;1:35.740;0;;31.499;1;36.064;1;28.177;0;215.4;1:15:09.614;20:30:09.614;0:31.499;0:36.064;0:28.177;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;2;31;1:50.868;0;B;31.967;0;36.800;0;42.101;0;186.0;1:17:00.482;20:32:00.482;0:31.967;0:36.800;0:42.101;;Scott Dixon;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;32;2:43.142;0;;1:36.184;0;37.767;0;29.191;0;126.4;1:19:43.624;20:34:43.624;1:36.184;0:37.767;0:29.191;;Ryan Briscoe;0:01:22.795;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;33;1:37.133;0;;32.376;0;36.375;1;28.382;1;212.3;1:21:20.757;20:36:20.757;0:32.376;0:36.375;0:28.382;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;34;1:50.669;0;B;31.737;1;36.428;0;42.504;0;186.4;1:23:11.426;20:38:11.426;0:31.737;0:36.428;0:42.504;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;35;2:54.585;0;;1:33.668;0;50.695;0;30.222;0;118.1;1:26:06.011;20:41:06.011;1:33.668;0:50.695;0:30.222;;Kamui Kobayashi;0:01:21.790;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;3;36;1:35.686;0;;31.644;1;36.190;1;27.852;0;215.6;1:27:41.697;20:42:41.697;0:31.644;0:36.190;0:27.852;;Kamui Kobayashi;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
