NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;52:04.562;0;;50:53.395;0;40.300;0;30.867;0;6.6;52:04.562;17:07:04.562;50:53.395;0:40.300;0:30.867;;Ryan Briscoe;0:50:23.330;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;2;1:39.544;0;;33.711;0;37.617;0;28.216;0;207.2;53:44.106;17:08:44.106;0:33.711;0:37.617;0:28.216;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;3;1:35.017;0;;31.350;0;36.063;0;27.604;0;217.1;55:19.123;17:10:19.123;0:31.350;0:36.063;0:27.604;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;4;1:34.442;2;;31.116;0;35.995;0;27.331;2;218.4;56:53.565;17:11:53.565;0:31.116;0:35.995;0:27.331;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;5;1:34.556;0;;31.093;0;35.925;2;27.538;0;218.1;58:28.121;17:13:28.121;0:31.093;0:35.925;0:27.538;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;6;1:34.563;0;;31.111;0;35.969;0;27.483;0;218.1;1:00:02.684;17:15:02.684;0:31.111;0:35.969;0:27.483;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;7;1:34.500;0;;31.011;2;35.946;0;27.543;0;218.3;1:01:37.184;17:16:37.184;0:31.011;0:35.946;0:27.543;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;8;1:57.318;0;B;31.162;0;38.194;0;47.962;0;175.8;1:03:34.502;17:18:34.502;0:31.162;0:38.194;0:47.962;;Ryan Briscoe;;DPi;;Konica Minolta Cadillac DPi-V.R;Cadillac;
11;2;1;6:15.165;0;;4:52.968;0;47.896;0;34.301;0;55.0;6:15.165;16:21:15.165;4:52.968;0:47.896;0:34.301;;Steijn Schothorst;0:04:21.123;GTD;;GRT Grasser Racing Team;Lamborghini;
11;2;2;1:50.555;0;;36.957;0;41.155;0;32.443;0;186.6;8:05.720;16:23:05.720;0:36.957;0:41.155;0:32.443;;Steijn Schothorst;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;2;3;1:46.694;0;;34.596;0;40.107;0;31.991;0;193.3;9:52.414;16:24:52.414;0:34.596;0:40.107;0:31.991;;Steijn Schothorst;;GTD;;GRT Grasser Racing Team;Lamborghini;
11;2;4;1:46.425;0;;34.351;0;40.194;0;31.880;0;193.8;11:38.839;16:26:38.839;0:34.351;0:40.194;0:31.880;;Steijn Schothorst;;GTD;;GRT Grasser Racing Team;Lamborghini;
