POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;35;Classified;110;4:01:21.019;-;-;85;1:54.572;180.0;Riley Motorsports;GS;;;Mercedes-AMG GT GT4;M;750;35;5;89;7643;3;;6990;;;Jim;Cox;Bronze;Nokomis, FL;;;1248;1;Bronze;;;Dylan;Murry;Silver;Cumming, GA;;;1571;2;Silver;;;Jeroen;Bleekemolen;Gold;Monaco;;;186;3;Gold;;;;;;;;;;;;;;;;;;;;;
2;57;Classified;110;4:01:22.212;+1.193;+1.193;63;1:54.295;180.5;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;794;304;5;89;7643;3;;6870;;;Bryce;Ward;;Munich;;;1249;3;;;;Philip;Ellis;Silver;Munich;;;1936;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;Classified;110;4:01:23.324;+2.305;+1.112;86;1:54.587;180.0;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;809;304;5;89;7643;3;;6994;;;Indy;Dontje;Silver;Seabrook, Texas;;;1634;5;Silver;;;Russell;Ward;Silver;Seabrook, Texas;;;1252;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;39;Classified;110;4:01:24.205;+3.186;+0.881;64;1:54.804;179.7;CarBahn with Peregrine racing;GS;;;Audi R8 GT4;M;756;285;5;86;909;3;;6399;;;Tyler;McQuarrie;Silver;San Mateo, Ca;;;454;2;Silver;;;Jeff;Westphal;Silver;San Mateo, Ca;;;682;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60;Classified;110;4:01:26.779;+5.760;+2.574;63;1:54.582;180.0;KOHR MOTORSPORTS;GS;;;Aston Martin Vantage GT4;M;813;324;5;56;73;3;;6998;;;Nate;Stacy;Silver;Toronto, ON;;;1515;3;Silver;;;Kyle;Marcelli;Gold;Toronto, ON;;;88;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;82;Classified;110;4:01:27.500;+6.481;+0.721;86;1:54.768;179.7;BimmerWorld;GS;;;BMW M4 GT4;M;455;73;5;68;74;3;;6727;;;James;Clay;Bronze;Mooresville;;;508;1;Bronze;;;Devin;Jones;;Mooresville;;;915;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;43;Classified;110;4:01:29.027;+8.008;+1.527;83;1:55.398;178.7;Stephen Cameron Racing;GS;;;Aston Martin Vantage GT4;M;815;220;5;56;73;3;;7000;;;Gregory;Liefooghe;Silver;San Francisco, CA;;;504;2;Silver;;;Ari;Balogh;Bronze;San Francisco, CA;;;1081;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;56;Classified;110;4:01:31.925;+10.906;+2.898;63;1:54.783;179.7;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;6562;;;Jeff;Mosing;Bronze;Fort Worth, TX;;;487;2;Bronze;;;Eric;Foss;Silver;Fort Worth, TX;;;488;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;31;Classified;110;4:01:42.862;+21.843;+10.937;64;1:55.100;179.2;Team Hardpoint;GS;;;Audi R8 GT4;M;783;301;5;86;909;3;;6765;;;Rob;Ferriol;Bronze;Atlanta, GA;;;1589;1;Bronze;;;Spencer;Pumpelly;Silver;Atlanta, GA;;;64;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;8;Classified;110;4:01:45.680;+24.661;+0.729;96;1:55.524;178.5;McCann Racing;GS;;;Audi R8 GT4;M;791;303;5;86;909;3;;6846;;;Michael;McCann Jr.;Silver;Barrington, IL;;;1937;2;Silver;;;Britt;Casey Jr.;Silver;Barrington, IL;;;845;4;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;40;Classified;110;4:01:44.951;+23.932;+2.089;95;1:55.359;178.8;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;6195;;;James;Pesek;Silver;Nashville, TN;;;1745;3;Silver;;;Jade;Buford;Silver;Nashville, TN;;;434;1;Silver;;;Shane;Lewis;;Jupiter, FL;;;427;2;;;;;;;;;;;;;;;;;;;;;;
