POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;13;3;1:52.773;-;-;182.9;5;AWA;GS;;;McLaren 570S GT4;M;757;217;5;88;7651;3;;10177;;;Kuno;Wittmer;;Montreal, QC;;;237;2;;;;Orey;Fidani;;Toronto, ON;;;973;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;8;6;1:53.402;+0.629;+0.629;181.9;7;McCann Racing;GS;;;Audi R8 GT4;M;791;303;5;86;909;3;;10235;;;Andrew;Davis;;Athens, GA;;;329;2;;;;Michael;McCann;;Canton, OH;;;1937;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;83;5;1:53.864;+1.091;+0.462;181.1;7;Fast MD Racing;GS;;;Audi R8 GT4;M;951;267;5;86;909;3;;10201;;;Alex;Papadopulos;;Houston, TX;;;1834;3;;;;James;Vance;;Toronto, ON;;;486;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;3;4;1:53.890;+1.117;+0.026;181.1;7;Motorsports In Action;GS;;;McLaren 570S GT4;M;818;160;5;88;7651;3;;10181;;;Sheena;Monk;;Newtown, PA;;;1532;1;;;;Spencer;Pigot;;Orlando, FL;;;243;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;38;8;1:54.155;+1.382;+0.265;180.7;8;BGB Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;810;157;5;78;112;3;;10277;;;Thomas;Collingwood;;St. John's, NL;;;1796;1;;;;John;Tecce;;Ormond Beach, FL;;;1268;2;;;;Spencer;Pumpelly;;Atlanta, GA;;;64;3;;;;;;;;;;;;;;;;;;;;;;
6;93;4;1:54.283;+1.510;+0.128;180.5;5;CarBahn with Peregrine;GS;;;Audi R8 GT4;M;863;285;5;86;909;3;;10227;;;Nolan;Siegel;;Palo Alto, CA;;;2421;2;;;;Tom;Dyer;;Corte Madera, CA;;;805;3;;;;Tyler;McQuarrie;;Danville, CA;;;454;4;;;;;;;;;;;;;;;;;;;;;;
7;95;7;1:54.478;+1.705;+0.195;180.2;7;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;10254;;;Bill;Auberlen;;Lake Havasu City, AZ;;;39;1;;;;Dillon;Machavern;;Charlotte, VT;;;463;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;46;4;1:54.575;+1.802;+0.097;180.0;5;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;921;79;5;63;105;3;;10169;;;Hugh;Plumb;;Unionville, PA;;;421;3;;;;Matt;Plumb;;Chadds Ford, PA;;;429;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4;4;1:54.941;+2.168;+0.366;179.4;7;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;809;304;5;89;7643;3;;10187;;;Russell;Ward;;Seabrook, TX;;;1252;1;;;;Indy;Dontje;;Amsterdam, Netherlands;;;1634;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;56;6;1:54.946;+2.173;+0.005;179.4;8;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;10193;;;Jeff;Mosing;;Austin, TX;;;487;2;;;;Eric;Foss;;Fort Worth, TX;;;488;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
