POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;16;7;1:27.021;-;-;150.3;10;Wright Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;972;111;5;78;112;3;;10743;;;Ryan;Hardwick;;Atlanta, GA;;;1256;1;Bronze;;;Jan;Heylen;;Dunedin, FL;;;184;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;13;7;1:27.462;+0.441;+0.441;149.6;8;AWA;GS;;;McLaren 570S GT4;M;757;217;5;88;7651;3;;10697;;;Kuno;Wittmer;;Montreal, QC;;;237;2;Gold;;;Chris;Green;;Montreal, QC;;;232;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;7;8;1:27.487;+0.466;+0.025;149.5;10;VOLT Racing with Archangel;GS;;;Aston Martin Vantage GT4;M;964;345;5;56;73;3;;10735;;;Alan;Brynjolfsson;;Tampa, FL;;;1271;1;Bronze;;;Trent;Hindman;;Ocean Township, NJ;;;244;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;46;5;1:27.744;+0.723;+0.257;149.1;7;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;921;79;5;63;105;3;;10691;;;Hugh;Plumb;;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4;8;1:27.986;+0.965;+0.242;148.7;9;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;809;304;5;89;7643;3;;10706;;;Russell;Ward;;Seabrook, TX;;;1252;1;Silver;;;Indy;Dontje;;Amsterdam, Netherlands;;;1634;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;8;9;1:28.035;+1.014;+0.049;148.6;10;McCann Racing;GS;;;Audi R8 GT4;M;791;303;5;86;909;3;;10744;;;Andrew;Davis;;Athens, GA;;;329;2;Silver;;;Michael;McCann;;Canton, OH;;;1937;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;3;7;1:28.207;+1.186;+0.172;148.3;8;Motorsports In Action;GS;;;McLaren 570S GT4;M;818;160;5;88;7651;3;;10702;;;Sheena;Monk;;Newtown, PA;;;1532;1;Bronze;;;Spencer;Pigot;;Orlando, FL;;;243;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;95;9;1:28.241;+1.220;+0.034;148.3;10;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;10752;;;Bill;Auberlen;;Lake Havasu City, AZ;;;39;1;Gold;;;Dillon;Machavern;;Charlotte, VT;;;463;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;56;9;1:28.276;+1.255;+0.035;148.2;10;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;10712;;;Jeff;Mosing;;Austin, TX;;;487;2;Bronze;;;Eric;Foss;;Fort Worth, TX;;;488;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;83;10;1:28.461;+1.440;+0.185;147.9;10;Fast MD Racing;GS;;;Audi R8 GT4;M;951;267;5;86;909;3;;10719;;;Alex;Papadopulos;;Houston, TX;;;1834;3;;;;James;Vance;;Toronto, ON;;;486;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
