POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;28;Classified;111;4:00:39.811;-;-;68;1:53.035;182.5;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;12270;;;Eric;Filgueiras;Silver;Cocoa, FL;;;2717;1;Silver;;;Stevan;McAleer;Silver;Glasgow, Scotland;;;460;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;64;Classified;111;4:00:44.442;+4.631;+4.631;93;1:53.577;181.6;TeamTGM;GS;;;Porsche 718 GT4 RS CS;M;1534;79;5;108;112;3;;12263;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;95;Classified;111;4:00:48.449;+8.638;+4.007;94;1:53.426;181.8;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;12265;;;Bill;Auberlen;Gold;Lake Havasu City, AZ;;;39;1;Gold;;;Dillon;Machavern;Silver;Charlotte, VT;;;463;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;93;Classified;111;4:00:48.635;+8.824;+0.186;76;1:53.461;181.8;CarBahn with Peregrine Racing;GS;;;Porsche 718 GT4 RS CS;M;1594;378;5;108;112;3;;12279;;;Mark;Siegel;Bronze;Palo Alto, CA;;;1569;1;Bronze;;;Tom;Dyer;Silver;West Jordan, UT;;;805;2;Silver;;;Tyler;McQuarrie;Silver;Danville, CA;;;454;3;Silver;;;;;;;;;;;;;;;;;;;;;
5;96;Classified;111;4:00:49.436;+9.625;+0.801;76;1:53.061;182.4;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;12266;;;Robby;Foley;Silver;Randolph, NJ;;;1302;2;Silver;;;Vincent;Barletta;Bronze;Canton, MA;;;1894;4;Bronze;;;Michael;Dinan;Silver;New York City, NY;;;2775;3;Silver;;;;;;;;;;;;;;;;;;;;;
6;46;Classified;111;4:01:01.232;+21.421;+11.796;58;1:53.744;181.3;TeamTGM;GS;;;Porsche 718 GT4 RS CS;M;1535;79;5;108;112;3;;12264;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;Classified;111;4:01:06.261;+26.450;+5.029;55;1:53.829;181.2;Volt Racing;GS;;;Aston Martin Vantage GT4;M;1555;392;5;56;73;3;;12267;;;Alan;Brynjolfsson;Bronze;Tampa, FL;;;1271;1;Bronze;;;Trent;Hindman;Gold;Ocean Township, NJ;;;244;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;56;Classified;111;4:01:06.358;+26.547;+0.097;53;1:54.307;180.4;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;12272;;;Jeff;Mosing;Bronze;Austin, TX;;;487;2;Bronze;;;Eric;Foss;;Fort Worth, TX;;;488;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;41;Classified;111;4:01:06.637;+26.826;+0.279;93;1:53.857;181.2;PF Racing;GS;;;Ford Mustang GT4;M;708;243;5;54;107;3;;12281;;;Austin;Cindric;Gold;Mooresville, NC;;;878;3;Gold;;;Harrison;Burton;;Huntersville, NC;;;2769;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;72;Classified;111;4:01:06.796;+26.985;+0.159;92;1:53.981;181.0;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;1598;212;5;89;7643;3;;12285;;;Kenny;Murillo;Silver;Santa Rosa, CA;;;1820;4;Silver;;;Christian;Szymczak;Silver;Oakland, CA;;;850;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
