NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;0;1;2:42.224;0;;1:09.185;0;51.474;0;41.565;0;108.9;2:42.224;08:57;1:09.185;0:51.474;0:41.565;170.9;Timo Bernhard;
1;0;2;1:56.191;0;;27.286;0;48.948;0;39.957;0;152.1;4:38.415;08:59;0:27.286;0:48.948;0:39.957;232.8;Timo Bernhard;
1;0;3;1:51.095;0;;23.834;0;47.604;0;39.657;0;159.1;6:29.510;09:01;0:23.834;0:47.604;0:39.657;244.9;Timo Bernhard;
1;0;4;2:10.578;0;B;23.924;0;47.662;0;58.992;0;135.3;8:40.088;09:03;0:23.924;0:47.662;0:58.992;222.7;Timo Bernhard;
1;0;5;3:09.872;0;;1:44.689;0;46.786;0;38.397;0;93.1;11:49.960;09:06;1:44.689;0:46.786;0:38.397;187.2;Timo Bernhard;
1;0;6;3:00.782;0;B;30.755;0;1:10.716;0;1:19.311;0;97.8;14:50.742;09:09;0:30.755;1:10.716;1:19.311;233.3;Timo Bernhard;
1;0;7;2:47.397;0;;1:22.435;0;47.123;0;37.839;0;105.6;17:38.139;09:12;1:22.435;0:47.123;0:37.839;193.2;Timo Bernhard;
1;0;8;1:40.992;0;;21.621;0;42.747;0;36.624;0;175.0;19:19.131;09:14;0:21.621;0:42.747;0:36.624;274.8;Timo Bernhard;
1;0;9;1:42.432;0;;21.367;0;43.844;0;37.221;0;172.5;21:01.563;09:16;0:21.367;0:43.844;0:37.221;291.1;Timo Bernhard;
1;0;10;1:42.553;0;;21.549;0;43.074;0;37.930;0;172.3;22:44.116;09:17;0:21.549;0:43.074;0:37.930;289.5;Timo Bernhard;
1;0;11;1:40.782;0;;20.881;0;43.722;0;36.179;0;175.4;24:24.898;09:19;0:20.881;0:43.722;0:36.179;288.8;Timo Bernhard;
1;0;12;1:37.783;0;;20.633;0;41.199;1;35.951;0;180.7;26:02.681;09:21;0:20.633;0:41.199;0:35.951;289.5;Timo Bernhard;
1;0;13;1:37.953;0;;20.566;0;41.468;0;35.919;1;180.4;27:40.634;09:22;0:20.566;0:41.468;0:35.919;288.0;Timo Bernhard;
