NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
10;0;1;10:34.798;0;;8:30.890;0;1:15.392;0;48.516;0;27.8;10:34.798;14:15;8:30.890;1:15.392;0:48.516;166.7;Simone Gatto;
10;0;2;1:51.887;0;;23.981;0;46.236;0;41.670;0;157.9;12:26.685;14:17;0:23.981;0:46.236;0:41.670;230.8;Simone Gatto;
10;0;3;1:51.790;0;;23.806;0;46.032;0;41.952;0;158.1;14:18.475;14:18;0:23.806;0:46.032;0:41.952;230.8;Simone Gatto;
10;0;4;1:51.813;0;;23.934;0;45.941;0;41.938;0;158.1;16:10.288;14:20;0:23.934;0:45.941;0:41.938;231.3;Simone Gatto;
10;0;5;1:51.590;0;;23.954;0;45.878;0;41.758;0;158.4;18:01.878;14:22;0:23.954;0:45.878;0:41.758;231.8;Simone Gatto;
10;0;6;1:51.060;0;;23.770;0;45.528;2;41.762;0;159.1;19:52.938;14:24;0:23.770;0:45.528;0:41.762;231.8;Simone Gatto;
10;0;7;1:54.080;0;;24.142;0;47.449;0;42.489;0;154.9;21:47.018;14:26;0:24.142;0:47.449;0:42.489;233.3;Simone Gatto;
10;0;8;1:51.440;0;;23.932;0;45.892;0;41.616;0;158.6;23:38.458;14:28;0:23.932;0:45.892;0:41.616;232.3;Simone Gatto;
10;0;9;1:50.842;2;;23.663;2;45.726;0;41.453;0;159.4;25:29.300;14:30;0:23.663;0:45.726;0:41.453;230.8;Simone Gatto;
10;0;10;2:05.361;0;;23.716;0;46.743;0;54.902;0;141.0;27:34.661;14:32;0:23.716;0:46.743;0:54.902;230.8;Simone Gatto;
10;0;11;1:51.085;0;;24.027;0;45.716;0;41.342;2;159.1;29:25.746;14:34;0:24.027;0:45.716;0:41.342;230.3;Simone Gatto;
10;0;12;1:58.311;0;;26.866;0;45.597;0;45.848;0;149.4;31:24.057;14:36;0:26.866;0:45.597;0:45.848;232.8;Simone Gatto;
11;0;1;2:34.874;0;;1:04.492;0;48.277;0;42.105;0;114.1;2:34.874;14:07;1:04.492;0:48.277;0:42.105;162.2;Baldassarre Curatolo;
11;0;2;1:53.615;0;;24.421;0;46.939;0;42.255;0;155.5;4:28.489;14:09;0:24.421;0:46.939;0:42.255;235.3;Baldassarre Curatolo;
11;0;3;1:53.178;0;;24.197;0;46.548;0;42.433;0;156.1;6:21.667;14:10;0:24.197;0:46.548;0:42.433;234.8;Baldassarre Curatolo;
11;0;4;1:52.984;0;;24.165;0;46.591;0;42.228;0;156.4;8:14.651;14:12;0:24.165;0:46.591;0:42.228;236.8;Baldassarre Curatolo;
11;0;5;1:52.130;0;;23.966;0;46.206;0;41.958;0;157.6;10:06.781;14:14;0:23.966;0:46.206;0:41.958;236.8;Baldassarre Curatolo;
11;0;6;1:52.608;0;;24.041;0;46.973;0;41.594;0;156.9;11:59.389;14:16;0:24.041;0:46.973;0:41.594;226.9;Baldassarre Curatolo;
11;0;7;5:02.680;0;B;23.885;0;46.078;0;3:52.717;0;58.4;17:02.069;14:21;0:23.885;0:46.078;3:52.717;232.3;Baldassarre Curatolo;
11;0;8;2:10.124;0;;42.345;0;46.102;0;41.677;0;135.8;19:12.193;14:23;0:42.345;0:46.102;0:41.677;165.9;Baldassarre Curatolo;
11;0;9;1:51.278;0;;23.890;0;45.704;0;41.684;0;158.8;21:03.471;14:25;0:23.890;0:45.704;0:41.684;236.3;Baldassarre Curatolo;
11;0;10;1:51.159;0;;23.830;0;45.601;0;41.728;0;159.0;22:54.630;14:27;0:23.830;0:45.601;0:41.728;235.8;Baldassarre Curatolo;
11;0;11;1:51.212;0;;23.786;0;45.763;0;41.663;0;158.9;24:45.842;14:29;0:23.786;0:45.763;0:41.663;236.8;Baldassarre Curatolo;
11;0;12;1:51.180;0;;23.685;0;45.828;0;41.667;0;159.0;26:37.022;14:31;0:23.685;0:45.828;0:41.667;235.8;Baldassarre Curatolo;
11;0;13;1:50.852;0;;23.705;0;45.545;2;41.602;0;159.4;28:27.874;14:33;0:23.705;0:45.545;0:41.602;234.8;Baldassarre Curatolo;
