NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;5:34.829;0;;4:06.149;0;43.486;0;45.194;0;46.2;5:34.829;09:05;4:06.149;0:43.486;0:45.194;124.1;Timo Bernhard;;
1;0;2;1:58.336;0;;43.211;0;36.479;0;38.646;0;130.8;7:33.165;09:07;0:43.211;0:36.479;0:38.646;163.1;Timo Bernhard;;
1;0;3;1:44.861;0;;34.556;0;33.625;0;36.680;0;147.6;9:18.026;09:09;0:34.556;0:33.625;0:36.680;189.8;Timo Bernhard;;
1;0;4;1:39.725;0;;32.452;0;31.803;0;35.470;0;155.2;10:57.751;09:10;0:32.452;0:31.803;0:35.470;215.1;Timo Bernhard;;
1;0;5;1:38.243;0;;32.189;0;30.965;0;35.089;0;157.6;12:35.994;09:12;0:32.189;0:30.965;0:35.089;201.9;Timo Bernhard;;
1;0;6;1:36.829;0;;31.769;0;30.360;0;34.700;0;159.9;14:12.823;09:14;0:31.769;0:30.360;0:34.700;203.8;Timo Bernhard;;
1;0;7;1:38.947;0;;33.228;0;30.856;0;34.863;0;156.4;15:51.770;09:15;0:33.228;0:30.856;0:34.863;192.9;Timo Bernhard;;
1;0;8;1:36.439;0;;31.642;0;30.363;0;34.434;0;160.5;17:28.209;09:17;0:31.642;0:30.363;0:34.434;204.9;Timo Bernhard;;
1;0;9;1:35.663;0;;31.262;0;30.042;2;34.359;0;161.8;19:03.872;09:19;0:31.262;0:30.042;0:34.359;217.3;Timo Bernhard;;
1;0;10;1:35.424;0;;31.018;0;30.171;0;34.235;0;162.2;20:39.296;09:20;0:31.018;0:30.171;0:34.235;213.0;Timo Bernhard;;
