NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;32:46.187;0;;31:48.244;0;27.569;0;30.374;0;7.9;32:46.187;14:52;31:48.244;0:27.569;0:30.374;179.1;Marcel Fässler;;
1;1;2;1:23.229;0;;27.052;0;26.740;0;29.437;0;186.0;34:09.416;14:54;0:27.052;0:26.740;0:29.437;273.4;Marcel Fässler;;
1;1;3;1:22.767;0;;26.837;0;26.541;0;29.389;0;187.0;35:32.183;14:55;0:26.837;0:26.541;0:29.389;275.5;Marcel Fässler;;
1;1;4;1:22.538;2;;26.833;0;26.431;2;29.274;2;187.5;36:54.721;14:56;0:26.833;0:26.431;0:29.274;275.5;Marcel Fässler;;
1;1;5;1:22.725;0;;26.667;2;26.663;0;29.395;0;187.1;38:17.446;14:58;0:26.667;0:26.663;0:29.395;276.2;Marcel Fässler;;
1;1;6;1:41.208;0;B;29.711;0;29.763;0;41.734;0;153.0;39:58.654;14:59;0:29.711;0:29.763;0:41.734;244.9;Marcel Fässler;;
1007;1;1;39:17.404;0;;38:16.542;0;29.247;0;31.615;0;6.6;39:17.404;14:59;38:16.542;0:29.247;0:31.615;116.6;Stefan Mücke;;
1007;1;2;1:25.203;0;;27.595;0;27.262;0;30.346;0;181.7;40:42.607;15:00;0:27.595;0:27.262;0:30.346;264.7;Stefan Mücke;;
1007;1;3;1:25.119;2;;27.459;2;27.353;0;30.307;2;181.9;42:07.726;15:02;0:27.459;0:27.353;0:30.307;264.7;Stefan Mücke;;
1007;1;4;1:25.521;0;;27.731;0;27.227;2;30.563;0;181.0;43:33.247;15:03;0:27.731;0:27.227;0:30.563;265.4;Stefan Mücke;;
1007;1;5;1:31.932;0;;31.690;0;29.548;0;30.694;0;168.4;45:05.179;15:05;0:31.690;0:29.548;0:30.694;208.9;Stefan Mücke;;
1007;1;6;1:34.515;0;B;27.788;0;27.336;0;39.391;0;163.8;46:39.694;15:06;0:27.788;0:27.336;0:39.391;264.7;Stefan Mücke;;
12;0;1;39:34.977;0;;38:35.644;0;27.770;0;31.563;0;6.5;39:34.977;14:59;38:35.644;0:27.770;0:31.563;103.3;Neel Jani;;
12;0;2;1:24.017;0;;27.222;0;27.050;0;29.745;0;184.2;40:58.994;15:00;0:27.222;0:27.050;0:29.745;264.7;Neel Jani;;
12;0;3;1:23.931;2;;27.175;2;27.044;2;29.712;2;184.4;42:22.925;15:02;0:27.175;0:27.044;0:29.712;266.7;Neel Jani;;
12;0;4;1:33.048;0;B;27.305;0;27.246;0;38.497;0;166.4;43:55.973;15:03;0:27.305;0:27.246;0:38.497;268.0;Neel Jani;;
15;0;1;38:46.662;0;;37:38.454;0;35.015;0;33.193;0;6.7;38:46.662;14:58;37:38.454;0:35.015;0:33.193;171.2;Matthieu Lahaye;;
15;0;2;1:25.170;2;;27.564;2;27.387;2;30.219;0;181.8;40:11.832;15:00;0:27.564;0:27.387;0:30.219;260.9;Matthieu Lahaye;;
15;0;3;1:25.279;0;;27.652;0;27.443;0;30.184;2;181.5;41:37.111;15:01;0:27.652;0:27.443;0:30.184;262.8;Matthieu Lahaye;;
15;0;4;1:45.111;0;B;30.831;0;29.730;0;44.550;0;147.3;43:22.222;15:03;0:30.831;0:29.730;0:44.550;262.1;Matthieu Lahaye;;
2;0;1;31:43.985;0;;30:42.477;0;29.819;0;31.689;0;8.1;31:43.985;14:51;30:42.477;0:29.819;0:31.689;160.0;Tom Kristensen;;
2;0;2;1:23.347;0;;27.130;0;26.690;0;29.527;0;185.7;33:07.332;14:53;0:27.130;0:26.690;0:29.527;271.4;Tom Kristensen;;
2;0;3;1:22.503;0;;26.718;0;26.569;0;29.216;0;187.6;34:29.835;14:54;0:26.718;0:26.569;0:29.216;274.8;Tom Kristensen;;
2;0;4;1:22.038;2;;26.610;0;26.318;3;29.110;2;188.7;35:51.873;14:55;0:26.610;0:26.318;0:29.110;276.9;Tom Kristensen;;
2;0;5;1:22.243;0;;26.582;2;26.451;0;29.210;0;188.2;37:14.116;14:57;0:26.582;0:26.451;0:29.210;277.6;Tom Kristensen;;
2;0;6;1:36.532;0;B;28.515;0;29.423;0;38.594;0;160.4;38:50.648;14:58;0:28.515;0:29.423;0:38.594;268.7;Tom Kristensen;;
23;0;1;33:19.664;0;;32:11.336;0;32.579;0;35.749;0;7.7;33:19.664;14:53;32:11.336;0:32.579;0:35.749;120.8;Mitsuyama Shogo;;
23;0;2;1:30.814;0;;29.447;0;28.946;2;32.421;0;170.5;34:50.478;14:54;0:29.447;0:28.946;0:32.421;244.9;Mitsuyama Shogo;;
23;0;3;1:30.614;2;;29.276;2;29.006;0;32.332;2;170.8;36:21.092;14:56;0:29.276;0:29.006;0:32.332;245.5;Mitsuyama Shogo;;
23;0;4;1:30.887;0;;29.359;0;29.116;0;32.412;0;170.3;37:51.979;14:57;0:29.359;0:29.116;0:32.412;245.5;Mitsuyama Shogo;;
