NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;2:03.410;0;;45.840;0;42.442;0;35.128;0;157.9;2:03.410;16:02;0:45.840;0:42.442;0:35.128;165.7;André Lotterer;0:00:06;
1;1;2;1:55.972;0;B;35.911;0;40.656;0;39.405;0;168.0;3:59.382;16:03;0:35.911;0:40.656;0:39.405;261.1;André Lotterer;;
1;1;3;6:11.010;0;;4:54.585;0;41.227;0;35.198;0;52.5;10:10.392;16:10;4:54.585;0:41.227;0:35.198;170.6;André Lotterer;0:04:20;
1;1;4;1:50.756;0;;35.305;0;40.728;0;34.723;0;175.9;12:01.148;16:12;0:35.305;0:40.728;0:34.723;258.0;André Lotterer;;
1;1;5;1:51.739;0;;35.243;1;41.498;0;34.998;0;174.4;13:52.887;16:13;0:35.243;0:41.498;0:34.998;239.2;André Lotterer;;
1;1;6;1:50.079;0;;35.379;0;40.535;0;34.165;0;177.0;15:42.966;16:15;0:35.379;0:40.535;0:34.165;266.2;André Lotterer;;
1;1;7;1:50.669;0;;35.706;0;40.523;1;34.440;0;176.0;17:33.635;16:17;0:35.706;0:40.523;0:34.440;253.2;André Lotterer;;
1;1;8;1:51.660;0;;35.354;0;41.460;0;34.846;0;174.5;19:25.295;16:19;0:35.354;0:41.460;0:34.846;266.2;André Lotterer;;
1;1;9;1:51.175;0;;35.297;0;40.778;0;35.100;0;175.2;21:16.470;16:21;0:35.297;0:40.778;0:35.100;272.3;André Lotterer;;
1;1;10;1:51.703;0;;35.423;0;41.154;0;35.126;0;174.4;23:08.173;16:23;0:35.423;0:41.154;0:35.126;277.8;André Lotterer;;
1;1;11;1:51.527;0;;35.303;0;42.095;0;34.129;1;174.7;24:59.700;16:24;0:35.303;0:42.095;0:34.129;276.4;André Lotterer;;
1;1;12;1:51.254;0;;36.018;0;40.937;0;34.299;0;175.1;26:50.954;16:26;0:36.018;0:40.937;0:34.299;272.9;André Lotterer;;
1;1;13;1:50.827;0;;35.336;0;40.617;0;34.874;0;175.8;28:41.781;16:28;0:35.336;0:40.617;0:34.874;274.3;André Lotterer;;
1;1;14;1:51.349;0;;35.877;0;40.965;0;34.507;0;175.0;30:33.130;16:30;0:35.877;0:40.965;0:34.507;272.9;André Lotterer;;
1;1;15;1:51.705;0;;35.493;0;41.982;0;34.230;0;174.4;32:24.835;16:32;0:35.493;0:41.982;0:34.230;261.7;André Lotterer;;
1;1;16;1:57.127;0;B;35.735;0;42.397;0;38.995;0;166.3;34:21.962;16:34;0:35.735;0:42.397;0:38.995;268.2;André Lotterer;;
1;0;17;45:10.442;0;;43:52.671;0;41.978;0;35.793;0;7.2;1:19:32.404;17:19;43:52.671;0:41.978;0:35.793;150.9;Marcel Fässler;0:43:16;
1;0;18;1:49.707;0;;35.507;0;40.331;0;33.869;2;177.6;1:21:22.111;17:21;0:35.507;0:40.331;0:33.869;270.2;Marcel Fässler;;
1;0;19;1:53.307;0;;35.623;0;43.315;0;34.369;0;172.0;1:23:15.418;17:23;0:35.623;0:43.315;0:34.369;274.3;Marcel Fässler;;
1;0;20;1:49.807;0;;35.314;0;40.589;0;33.904;0;177.4;1:25:05.225;17:25;0:35.314;0:40.589;0:33.904;276.4;Marcel Fässler;;
1;0;21;1:49.935;0;;35.114;0;40.230;0;34.591;0;177.2;1:26:55.160;17:26;0:35.114;0:40.230;0:34.591;278.6;Marcel Fässler;;
1;0;22;1:49.181;2;;35.120;0;40.186;2;33.875;0;178.4;1:28:44.341;17:28;0:35.120;0:40.186;0:33.875;279.3;Marcel Fässler;;
1;0;23;1:49.947;0;;34.994;2;40.882;0;34.071;0;177.2;1:30:34.288;17:30;0:34.994;0:40.882;0:34.071;280.0;Marcel Fässler;;
12;1;1;3:34.152;0;B;2:02.775;0;47.241;0;44.136;0;91.0;3:34.152;16:03;2:02.775;0:47.241;0:44.136;123.4;Neel Jani;0:01:17;
12;1;2;7:32.694;0;;6:15.909;0;42.068;0;34.717;0;43.0;11:06.846;16:11;6:15.909;0:42.068;0:34.717;153.1;Neel Jani;0:05:41;
12;1;3;1:50.015;2;;35.573;0;40.087;2;34.355;2;177.1;12:56.861;16:12;0:35.573;0:40.087;0:34.355;270.9;Neel Jani;;
12;1;4;1:51.772;0;;35.493;0;41.238;0;35.041;0;174.3;14:48.633;16:14;0:35.493;0:41.238;0:35.041;270.2;Neel Jani;;
12;1;5;1:50.477;0;;35.447;0;40.505;0;34.525;0;176.4;16:39.110;16:16;0:35.447;0:40.505;0:34.525;271.6;Neel Jani;;
12;1;6;1:51.179;0;;35.410;2;40.661;0;35.108;0;175.2;18:30.289;16:18;0:35.410;0:40.661;0:35.108;270.2;Neel Jani;;
12;1;7;1:56.778;0;B;35.737;0;40.327;0;40.714;0;166.8;20:27.067;16:20;0:35.737;0:40.327;0:40.714;265.6;Neel Jani;;
12;0;8;7:08.900;0;;5:47.569;0;43.159;0;38.172;0;45.4;27:35.967;16:27;5:47.569;0:43.159;0:38.172;163.9;Nicolas Prost;0:05:13;
12;0;9;1:54.294;0;;36.667;0;42.152;0;35.475;0;170.5;29:30.261;16:29;0:36.667;0:42.152;0:35.475;249.7;Nicolas Prost;;
12;0;10;1:53.744;0;;36.039;0;42.203;0;35.502;0;171.3;31:24.005;16:31;0:36.039;0:42.203;0:35.502;268.2;Nicolas Prost;;
12;0;11;1:52.947;0;;36.080;0;41.301;0;35.566;0;172.5;33:16.952;16:33;0:36.080;0:41.301;0:35.566;268.2;Nicolas Prost;;
12;0;12;1:57.416;0;B;35.579;1;41.415;0;40.422;0;165.9;35:14.368;16:35;0:35.579;0:41.415;0:40.422;268.9;Nicolas Prost;;
12;0;13;6:28.922;0;;5:12.191;0;41.906;0;34.825;1;50.1;41:43.290;16:41;5:12.191;0:41.906;0:34.825;178.8;Nicolas Prost;0:04:38;
12;0;14;1:51.812;0;;35.628;0;40.884;1;35.300;0;174.2;43:35.102;16:43;0:35.628;0:40.884;0:35.300;268.9;Nicolas Prost;;
12;0;15;1:54.202;0;;36.293;0;41.040;0;36.869;0;170.6;45:29.304;16:45;0:36.293;0:41.040;0:36.869;270.2;Nicolas Prost;;
12;0;16;1:52.591;0;;35.598;0;42.015;0;34.978;0;173.0;47:21.895;16:47;0:35.598;0:42.015;0:34.978;270.9;Nicolas Prost;;
12;0;17;1:53.181;0;;36.286;0;41.781;0;35.114;0;172.1;49:15.076;16:49;0:36.286;0:41.781;0:35.114;272.3;Nicolas Prost;;
12;0;18;1:53.279;0;;35.982;0;41.991;0;35.306;0;172.0;51:08.355;16:51;0:35.982;0:41.991;0:35.306;271.6;Nicolas Prost;;
12;0;19;1:54.923;0;;36.040;0;42.265;0;36.618;0;169.5;53:03.278;16:53;0:36.040;0:42.265;0:36.618;271.6;Nicolas Prost;;
12;0;20;1:54.013;0;;35.870;0;41.631;0;36.512;0;170.9;54:57.291;16:54;0:35.870;0:41.631;0:36.512;268.9;Nicolas Prost;;
12;0;21;2:00.469;0;B;35.942;0;41.265;0;43.262;0;161.7;56:57.760;16:56;0:35.942;0:41.265;0:43.262;270.2;Nicolas Prost;;
12;1;22;20:54.358;0;;19:36.010;0;42.398;0;35.950;0;15.5;1:17:52.118;17:17;19:36.010;0:42.398;0:35.950;166.2;Neel Jani;0:19:01;
12;1;23;1:51.784;0;;36.056;0;40.941;0;34.787;0;174.3;1:19:43.902;17:19;0:36.056;0:40.941;0:34.787;268.2;Neel Jani;;
12;1;24;1:53.366;0;;36.071;0;42.254;0;35.041;0;171.9;1:21:37.268;17:21;0:36.071;0:42.254;0:35.041;270.9;Neel Jani;;
12;1;25;1:54.719;0;;35.953;0;43.717;0;35.049;0;169.8;1:23:31.987;17:23;0:35.953;0:43.717;0:35.049;270.2;Neel Jani;;
12;1;26;1:51.475;0;;35.712;0;40.768;0;34.995;0;174.8;1:25:23.462;17:25;0:35.712;0:40.768;0:34.995;270.2;Neel Jani;;
12;1;27;1:50.886;0;;35.619;0;40.619;0;34.648;0;175.7;1:27:14.348;17:27;0:35.619;0:40.619;0:34.648;270.9;Neel Jani;;
12;1;28;1:53.017;0;;35.648;0;41.891;0;35.478;0;172.4;1:29:07.365;17:29;0:35.648;0:41.891;0:35.478;272.3;Neel Jani;;
12;1;29;1:53.109;0;;35.910;0;41.450;0;35.749;0;172.3;1:31:00.474;17:31;0:35.910;0:41.450;0:35.749;271.6;Neel Jani;;
13;0;1;3:38.483;0;B;2:03.937;0;47.125;0;47.421;0;89.2;3:38.483;16:03;2:03.937;0:47.125;0:47.421;125.1;Andrea Belicchi;0:01:20;
13;0;2;5:47.317;0;;4:28.277;0;42.640;0;36.400;0;56.1;9:25.800;16:09;4:28.277;0:42.640;0:36.400;132.5;Andrea Belicchi;0:03:53;
13;0;3;1:56.150;0;;36.315;0;43.925;0;35.910;0;167.7;11:21.950;16:11;0:36.315;0:43.925;0:35.910;233.0;Andrea Belicchi;;
13;0;4;1:55.192;0;;36.063;0;43.752;0;35.377;0;169.1;13:17.142;16:13;0:36.063;0:43.752;0:35.377;252.6;Andrea Belicchi;;
13;0;5;1:53.309;0;;35.512;2;42.628;0;35.169;0;171.9;15:10.451;16:15;0:35.512;0:42.628;0:35.169;268.2;Andrea Belicchi;;
