NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;38:43.087;0;;37:30.732;0;39.047;0;33.308;0;8.4;38:43.087;16:38;37:30.732;0:39.047;0:33.308;169.3;Marcel Fässler;0:36:53;
1;0;2;1:58.648;0;B;34.456;0;39.025;0;45.167;0;164.2;40:41.735;16:40;0:34.456;0:39.025;0:45.167;278.6;Marcel Fässler;;
1;0;3;3:12.282;0;;2:00.014;0;38.933;0;33.335;0;101.3;43:54.016;16:43;2:00.014;0:38.933;0:33.335;170.9;Marcel Fässler;0:01:26;
1;0;4;1:46.973;0;;34.464;0;39.041;0;33.468;0;182.1;45:40.989;16:45;0:34.464;0:39.041;0:33.468;278.6;Marcel Fässler;;
1;0;5;1:45.888;2;;34.177;2;38.564;2;33.147;2;184.0;47:26.877;16:47;0:34.177;0:38.564;0:33.147;280.7;Marcel Fässler;;
1;0;6;2:00.389;0;B;37.595;0;42.469;0;40.325;0;161.8;49:27.266;16:49;0:37.595;0:42.469;0:40.325;210.8;Marcel Fässler;;
12;1;1;44:35.921;0;;43:12.070;0;45.034;0;38.817;0;7.3;44:35.920;16:44;43:12.070;0:45.034;0:38.817;139.5;Neel Jani;0:42:30;
12;1;2;1:47.638;2;;34.297;2;39.120;2;34.221;2;181.0;46:23.558;16:46;0:34.297;0:39.120;0:34.221;276.4;Neel Jani;;
12;1;3;1:51.534;0;B;34.544;0;39.319;0;37.671;0;174.7;48:15.092;16:48;0:34.544;0:39.319;0:37.671;278.6;Neel Jani;;
12;1;4;2:42.162;0;B;1:22.102;0;40.343;0;39.717;0;120.1;50:57.254;16:50;1:22.102;0:40.343;0:39.717;165.4;Neel Jani;0:00:47;
2;1;1;32:13.488;0;;30:49.906;0;45.524;0;38.058;0;10.1;32:13.488;16:32;30:49.906;0:45.524;0:38.058;147.6;Allan McNish;0:30:11;
2;1;2;1:46.084;0;;34.342;0;38.759;0;32.983;3;183.7;33:59.572;16:33;0:34.342;0:38.759;0:32.983;275.7;Allan McNish;;
2;1;3;1:45.814;3;;34.054;3;38.640;2;33.120;0;184.1;35:45.386;16:35;0:34.054;0:38.640;0:33.120;280.0;Allan McNish;;
2;1;4;1:46.027;0;;34.122;0;38.640;0;33.265;0;183.8;37:31.413;16:37;0:34.122;0:38.640;0:33.265;280.0;Allan McNish;;
2;1;5;2:02.175;0;B;37.858;0;40.627;0;43.690;0;159.5;39:33.588;16:39;0:37.858;0:40.627;0:43.690;219.4;Allan McNish;;
21;1;1;47:51.083;0;;46:29.684;0;45.475;0;35.924;0;6.8;47:51.082;16:47;46:29.684;0:45.475;0:35.924;151.3;Danny Watts;0:45:49;
21;1;2;1:48.952;0;;35.113;0;39.903;0;33.936;0;178.8;49:40.034;16:49;0:35.113;0:39.903;0:33.936;270.2;Danny Watts;;
21;1;3;1:48.446;2;;34.982;2;39.573;2;33.891;2;179.7;51:28.480;16:51;0:34.982;0:39.573;0:33.891;272.3;Danny Watts;;
21;1;4;1:59.650;0;B;35.056;0;39.717;0;44.877;0;162.8;53:28.130;16:53;0:35.056;0:39.717;0:44.877;271.6;Danny Watts;;
22;1;1;44:54.828;0;;43:33.286;0;43.355;0;38.187;0;7.2;44:54.827;16:44;43:33.286;0:43.355;0:38.187;170.6;Karun Chandhok;0:42:51;
22;1;2;1:49.004;0;;35.071;0;39.561;2;34.372;0;178.7;46:43.831;16:46;0:35.071;0:39.561;0:34.372;269.6;Karun Chandhok;;
22;1;3;1:58.188;0;;40.701;0;42.091;0;35.396;0;164.8;48:42.019;16:48;0:40.701;0:42.091;0:35.396;199.2;Karun Chandhok;;
22;1;4;1:48.784;2;;35.064;2;39.643;0;34.077;2;179.1;50:30.803;16:50;0:35.064;0:39.643;0:34.077;270.2;Karun Chandhok;;
22;1;5;2:09.827;0;B;39.340;0;44.819;0;45.668;0;150.1;52:40.630;16:52;0:39.340;0:44.819;0:45.668;250.8;Karun Chandhok;;
23;2;1;39:10.575;0;;37:51.658;0;42.991;0;35.926;0;8.3;39:10.575;16:39;37:51.658;0:42.991;0:35.926;162.0;Jordan Tresson;0:37:11;
23;2;2;3:01.923;0;B;42.264;0;1:07.449;0;1:12.210;0;107.1;42:12.497;16:42;0:42.264;1:07.449;1:12.210;255.6;Jordan Tresson;;
23;2;3;2:32.515;0;;1:05.827;0;42.333;0;44.355;0;127.7;44:45.012;16:44;1:05.827;0:42.333;0:44.355;171.5;Jordan Tresson;0:00:32;
23;2;4;1:55.741;0;;36.973;0;41.911;0;36.857;0;168.3;46:40.753;16:46;0:36.973;0:41.911;0:36.857;256.8;Jordan Tresson;;
23;2;5;1:54.374;0;;36.961;0;41.564;0;35.849;0;170.3;48:35.127;16:48;0:36.961;0:41.564;0:35.849;256.2;Jordan Tresson;;
23;2;6;1:53.793;2;;36.666;2;41.325;2;35.802;2;171.2;50:28.920;16:50;0:36.666;0:41.325;0:35.802;256.8;Jordan Tresson;;
23;2;7;2:32.747;0;B;47.629;0;51.978;0;53.140;0;127.6;53:01.667;16:53;0:47.629;0:51.978;0:53.140;216.3;Jordan Tresson;;
24;2;1;44:18.667;0;;42:58.293;0;43.588;0;36.786;0;7.3;44:18.666;16:44;42:58.293;0:43.588;0:36.786;142.8;Olivier Pla;0:42:18;
24;2;2;1:53.675;0;;36.869;0;41.317;0;35.489;0;171.4;46:12.341;16:46;0:36.869;0:41.317;0:35.489;254.4;Olivier Pla;;
24;2;3;1:52.784;0;;36.554;0;40.939;0;35.291;0;172.7;48:05.125;16:48;0:36.554;0:40.939;0:35.291;257.4;Olivier Pla;;
24;2;4;2:00.730;0;;36.947;0;46.811;0;36.972;0;161.4;50:05.855;16:50;0:36.947;0:46.811;0:36.972;259.9;Olivier Pla;;
24;2;5;1:52.590;0;;36.290;2;41.029;0;35.271;0;173.0;51:58.445;16:51;0:36.290;0:41.029;0:35.271;260.5;Olivier Pla;;
24;2;6;1:52.368;2;;36.349;0;40.800;2;35.219;2;173.4;53:50.813;16:53;0:36.349;0:40.800;0:35.219;261.1;Olivier Pla;;
25;0;1;45:43.880;0;;44:18.577;0;44.280;0;41.023;0;7.1;45:43.879;16:45;44:18.577;0:44.280;0:41.023;155.9;John Martin;0:43:38;
25;0;2;1:52.285;2;;36.351;0;40.803;0;35.131;2;173.5;47:36.164;16:47;0:36.351;0:40.803;0:35.131;262.4;John Martin;;
25;0;3;1:52.338;0;;36.170;2;40.834;0;35.334;0;173.4;49:28.502;16:49;0:36.170;0:40.834;0:35.334;262.4;John Martin;;
25;0;4;2:00.037;0;B;36.240;0;40.738;2;43.059;0;162.3;51:28.539;16:51;0:36.240;0:40.738;0:43.059;263.0;John Martin;;
26;2;1;45:31.169;0;;44:11.822;0;43.258;0;36.089;0;7.1;45:31.168;16:45;44:11.822;0:43.258;0:36.089;163.2;Roman Rusinov;0:43:29;
26;2;2;1:53.369;0;;36.614;0;41.346;0;35.409;2;171.9;47:24.537;16:47;0:36.614;0:41.346;0:35.409;259.2;Roman Rusinov;;
26;2;3;1:53.771;0;;36.691;0;41.468;0;35.612;0;171.2;49:18.308;16:49;0:36.691;0:41.468;0:35.612;258.6;Roman Rusinov;;
26;2;4;1:53.328;2;;36.654;0;41.211;2;35.463;0;171.9;51:11.636;16:51;0:36.654;0:41.211;0:35.463;256.8;Roman Rusinov;;
26;2;5;2:13.004;0;B;36.611;2;41.547;0;54.846;0;146.5;53:24.640;16:53;0:36.611;0:41.547;0:54.846;258.6;Roman Rusinov;;
29;0;1;37:43.822;0;;36:19.929;0;46.680;0;37.213;0;8.6;37:43.822;16:37;36:19.929;0:46.680;0:37.213;131.7;Fabien Giroix;0:35:34;
29;0;2;1:56.282;0;;37.362;0;42.861;0;36.059;0;167.6;39:40.104;16:39;0:37.362;0:42.861;0:36.059;254.4;Fabien Giroix;;
29;0;3;2:34.337;0;B;44.561;0;46.062;0;1:03.714;0;126.2;42:14.440;16:42;0:44.561;0:46.062;1:03.714;256.2;Fabien Giroix;;
29;0;4;2:28.822;0;;1:06.830;0;45.316;0;36.676;0;130.9;44:43.262;16:44;1:06.830;0:45.316;0:36.676;167.5;Fabien Giroix;0:00:33;
29;0;5;1:55.496;0;;37.043;2;42.472;0;35.981;2;168.7;46:38.758;16:46;0:37.043;0:42.472;0:35.981;259.2;Fabien Giroix;;
29;0;6;2:05.549;0;;37.731;0;51.159;0;36.659;0;155.2;48:44.307;16:48;0:37.731;0:51.159;0:36.659;259.9;Fabien Giroix;;
29;0;7;1:55.465;2;;37.063;0;42.126;2;36.276;0;168.7;50:39.772;16:50;0:37.063;0:42.126;0:36.276;259.2;Fabien Giroix;;
29;0;8;1:56.047;0;;37.247;0;42.579;0;36.221;0;167.9;52:35.819;16:52;0:37.247;0:42.579;0:36.221;258.6;Fabien Giroix;;
31;0;1;42:18.776;0;B;40:14.857;0;1:01.821;0;1:02.098;0;7.7;42:18.775;16:42;40:14.857;1:01.821;1:02.098;111.7;Thomas Holzer;0:39:22;
31;0;2;2:44.183;0;;1:20.316;0;46.255;0;37.612;0;118.7;45:02.958;16:45;1:20.316;0:46.255;0:37.612;155.0;Thomas Holzer;0:00:41;
31;0;3;1:53.878;0;;36.968;0;41.367;2;35.543;2;171.1;46:56.836;16:46;0:36.968;0:41.367;0:35.543;250.8;Thomas Holzer;;
31;0;4;1:53.893;0;;36.691;0;41.376;0;35.826;0;171.1;48:50.729;16:48;0:36.691;0:41.376;0:35.826;257.4;Thomas Holzer;;
31;0;5;1:53.733;2;;36.663;2;41.393;0;35.677;0;171.3;50:44.462;16:50;0:36.663;0:41.393;0:35.677;257.4;Thomas Holzer;;
31;0;6;2:25.005;0;B;38.361;0;50.933;0;55.711;0;134.4;53:09.467;16:53;0:38.361;0:50.933;0:55.711;257.4;Thomas Holzer;;
32;1;1;45:19.263;0;;43:56.251;0;45.083;0;37.929;0;7.2;45:19.262;16:45;43:56.251;0:45.083;0:37.929;142.2;James Rossiter;0:43:14;
32;1;2;1:53.012;0;;36.631;0;40.704;2;35.677;0;172.4;47:12.274;16:47;0:36.631;0:40.704;0:35.677;256.8;James Rossiter;;
32;1;3;1:58.561;0;;36.327;2;45.520;0;36.714;0;164.3;49:10.835;16:49;0:36.327;0:45.520;0:36.714;257.4;James Rossiter;;
32;1;4;1:52.748;0;;36.382;0;40.824;0;35.542;0;172.8;51:03.583;16:51;0:36.382;0:40.824;0:35.542;258.6;James Rossiter;;
32;1;5;1:52.696;2;;36.349;0;40.855;0;35.492;2;172.9;52:56.279;16:52;0:36.349;0:40.855;0:35.492;258.0;James Rossiter;;
35;1;1;41:14.484;0;B;39:14.102;0;1:11.883;0;48.499;0;7.9;41:14.484;16:41;39:14.102;1:11.883;0:48.499;147.6;Dominik Kraihamer;0:38:34;
