NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:52.295;0;;39.559;0;28.542;0;44.194;0;146.3;1:52.295;07:56;0:39.559;0:28.542;0:44.194;148.4;Marcel Fässler;0:00:20;
1;0;2;1:32.372;0;;20.528;0;28.067;0;43.777;0;177.8;3:24.667;07:58;0:20.528;0:28.067;0:43.777;272.7;Marcel Fässler;;
1;0;3;1:31.658;0;;20.436;0;27.910;0;43.312;0;179.2;4:56.325;07:59;0:20.436;0:27.910;0:43.312;288.8;Marcel Fässler;;
1;0;4;1:29.186;2;;19.941;0;26.475;0;42.770;2;184.2;6:25.511;08:01;0:19.941;0:26.475;0:42.770;291.1;Marcel Fässler;;
1;0;5;1:30.461;0;;20.216;0;26.999;0;43.246;0;181.6;7:55.972;08:02;0:20.216;0:26.999;0:43.246;291.9;Marcel Fässler;;
1;0;6;1:34.270;0;B;19.881;1;26.351;1;48.038;0;174.3;9:30.242;08:04;0:19.881;0:26.351;0:48.038;292.7;Marcel Fässler;;
1;1;7;2:21.011;0;;1:10.752;0;26.739;0;43.520;0;116.5;11:51.253;08:06;1:10.752;0:26.739;0:43.520;164.4;André Lotterer;0:00:55;
1;1;8;1:29.638;0;;20.110;0;26.531;0;42.997;0;183.3;13:20.891;08:08;0:20.110;0:26.531;0:42.997;291.9;André Lotterer;;
1;1;9;1:29.772;0;;19.920;0;26.337;3;43.515;0;183.0;14:50.663;08:09;0:19.920;0:26.337;0:43.515;293.5;André Lotterer;;
1;1;10;1:29.963;0;;19.739;0;27.276;0;42.948;1;182.6;16:20.626;08:11;0:19.739;0:27.276;0:42.948;292.7;André Lotterer;;
1;1;11;1:30.189;0;;19.715;0;26.885;0;43.589;0;182.1;17:50.815;08:12;0:19.715;0:26.885;0:43.589;295.1;André Lotterer;;
1;1;12;1:31.447;0;;20.145;0;27.574;0;43.728;0;179.6;19:22.262;08:14;0:20.145;0:27.574;0:43.728;294.3;André Lotterer;;
1;1;13;1:29.800;0;;19.705;3;26.423;0;43.672;0;182.9;20:52.062;08:15;0:19.705;0:26.423;0:43.672;294.3;André Lotterer;;
12;0;1;1:51.845;0;;36.837;0;30.575;0;44.433;0;146.9;1:51.845;07:56;0:36.837;0:30.575;0:44.433;122.6;Nicolas Prost;0:00:16;
12;0;2;1:34.476;0;;20.480;0;28.770;0;45.226;0;173.9;3:26.321;07:58;0:20.480;0:28.770;0:45.226;270.0;Nicolas Prost;;
12;0;3;1:32.597;0;;20.634;0;28.099;0;43.864;2;177.4;4:58.918;07:59;0:20.634;0:28.099;0:43.864;264.7;Nicolas Prost;;
12;0;4;1:32.811;0;;20.211;2;27.254;0;45.346;0;177.0;6:31.729;08:01;0:20.211;0:27.254;0:45.346;286.5;Nicolas Prost;;
12;0;5;1:31.501;2;;20.455;0;27.181;2;43.865;0;179.5;8:03.230;08:03;0:20.455;0:27.181;0:43.865;285.7;Nicolas Prost;;
12;0;6;1:33.928;0;;20.222;0;28.466;0;45.240;0;174.9;9:37.158;08:04;0:20.222;0:28.466;0:45.240;285.7;Nicolas Prost;;
12;0;7;1:39.461;0;B;20.247;0;27.309;0;51.905;0;165.2;11:16.619;08:06;0:20.247;0:27.309;0:51.905;286.5;Nicolas Prost;;
12;1;8;3:19.942;0;;2:06.993;0;28.571;0;44.378;0;82.2;14:36.561;08:09;2:06.993;0:28.571;0:44.378;145.2;Neel Jani;0:01:50;
