NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:54.838;0;;32.249;0;31.735;0;50.854;0;143.0;1:54.838;11:26;0:32.249;0:31.735;0:50.854;100.5;Hideki Yamauchi;0:00:08;
1;0;2;1:38.153;0;;22.548;0;29.739;0;45.866;0;167.4;3:32.991;11:28;0:22.548;0:29.739;0:45.866;245.5;Hideki Yamauchi;;
1;0;3;1:36.674;2;;21.962;3;29.125;0;45.587;2;169.9;5:09.665;11:30;0:21.962;0:29.125;0:45.587;246.6;Hideki Yamauchi;;
1;0;4;1:36.831;0;;22.074;0;28.988;0;45.769;0;169.6;6:46.496;11:31;0:22.074;0:28.988;0:45.769;247.1;Hideki Yamauchi;;
1;0;5;1:37.215;0;;22.020;0;29.201;0;45.994;0;169.0;8:23.711;11:33;0:22.020;0:29.201;0:45.994;246.6;Hideki Yamauchi;;
1;0;6;2:08.952;0;B;22.037;0;28.955;2;1:17.960;0;127.4;10:32.663;11:35;0:22.037;0:28.955;1:17.960;244.9;Hideki Yamauchi;;
13;0;1;2:39.277;0;;1:13.235;0;35.535;0;50.507;0;103.1;2:39.277;11:27;1:13.235;0:35.535;0:50.507;88.5;Motoyoshi Yoshida;0:00:44;
13;0;2;1:45.440;0;;23.700;0;32.309;0;49.431;0;155.8;4:24.717;11:29;0:23.700;0:32.309;0:49.431;224.1;Motoyoshi Yoshida;;
13;0;3;1:43.903;0;;23.397;0;31.424;0;49.082;0;158.1;6:08.620;11:31;0:23.397;0:31.424;0:49.082;237.4;Motoyoshi Yoshida;;
13;0;4;1:41.088;0;;23.038;0;30.362;0;47.688;0;162.5;7:49.708;11:32;0:23.038;0:30.362;0:47.688;235.8;Motoyoshi Yoshida;;
13;0;5;1:40.772;0;;22.993;0;30.278;0;47.501;0;163.0;9:30.480;11:34;0:22.993;0:30.278;0:47.501;236.3;Motoyoshi Yoshida;;
13;0;6;1:39.953;2;;22.750;2;30.034;2;47.169;2;164.3;11:10.433;11:36;0:22.750;0:30.034;0:47.169;236.8;Motoyoshi Yoshida;;
19;0;1;2:22.318;0;;1:00.953;0;33.139;0;48.226;0;115.4;2:22.318;11:27;1:00.953;0:33.139;0:48.226;34.3;Naoya Gamou;0:00:22;
19;0;2;1:39.789;0;;22.874;0;30.161;0;46.754;0;164.6;4:02.107;11:29;0:22.874;0:30.161;0:46.754;238.4;Naoya Gamou;;
19;0;3;1:38.333;0;;22.688;0;29.442;0;46.203;2;167.1;5:40.440;11:30;0:22.688;0:29.442;0:46.203;240.5;Naoya Gamou;;
19;0;4;1:38.208;0;;22.589;0;29.225;2;46.394;0;167.3;7:18.648;11:32;0:22.589;0:29.225;0:46.394;241.1;Naoya Gamou;;
19;0;5;1:38.138;2;;22.462;2;29.401;0;46.275;0;167.4;8:56.786;11:33;0:22.462;0:29.401;0:46.275;241.1;Naoya Gamou;;
19;0;6;1:38.530;0;;22.491;0;29.240;0;46.799;0;166.7;10:35.316;11:35;0:22.491;0:29.240;0:46.799;239.5;Naoya Gamou;;
2;0;1;2:28.191;0;;1:06.242;0;32.851;0;49.098;0;110.8;2:28.191;11:27;1:06.242;0:32.851;0:49.098;65.1;Rafael Suzuki;0:00:34;
2;0;2;1:40.572;0;;23.848;0;30.171;0;46.553;0;163.3;4:08.763;11:29;0:23.848;0:30.171;0:46.553;222.2;Rafael Suzuki;;
2;0;3;1:38.911;0;;22.230;0;29.801;0;46.880;0;166.1;5:47.674;11:30;0:22.230;0:29.801;0:46.880;251.7;Rafael Suzuki;;
2;0;4;1:36.826;2;;22.008;2;29.095;0;45.723;2;169.7;7:24.500;11:32;0:22.008;0:29.095;0:45.723;247.1;Rafael Suzuki;;
2;0;5;1:37.233;0;;22.063;0;28.706;2;46.464;0;168.9;9:01.733;11:34;0:22.063;0:28.706;0:46.464;246.6;Rafael Suzuki;;
2;0;6;1:37.696;0;;22.392;0;29.169;0;46.135;0;168.1;10:39.429;11:35;0:22.392;0:29.169;0:46.135;246.0;Rafael Suzuki;;
20;0;1;2:31.828;0;;1:06.546;0;34.457;0;50.825;0;108.2;2:31.828;11:27;1:06.546;0:34.457;0:50.825;58.5;Gary Thompson;0:00:30;
20;0;2;1:42.639;0;;23.162;0;31.923;0;47.554;0;160.0;4:14.467;11:29;0:23.162;0:31.923;0:47.554;233.8;Gary Thompson;;
20;0;3;1:38.168;0;;22.424;0;29.355;0;46.389;0;167.3;5:52.635;11:30;0:22.424;0:29.355;0:46.389;238.4;Gary Thompson;;
20;0;4;1:37.780;2;;22.426;0;29.234;2;46.120;2;168.0;7:30.415;11:32;0:22.426;0:29.234;0:46.120;243.2;Gary Thompson;;
20;0;5;1:41.477;0;;22.480;0;31.327;0;47.670;0;161.9;9:11.892;11:34;0:22.480;0:31.327;0:47.670;238.9;Gary Thompson;;
20;0;6;1:37.910;0;;22.255;2;29.302;0;46.353;0;167.8;10:49.802;11:35;0:22.255;0:29.302;0:46.353;241.1;Gary Thompson;;
23;0;1;2:27.786;0;;1:05.379;0;33.009;0;49.398;0;111.2;2:27.786;11:27;1:05.379;0:33.009;0:49.398;43.3;Daiki Sasaki;0:00:27;
23;0;2;1:40.686;0;;23.308;0;30.457;0;46.921;0;163.1;4:08.472;11:29;0:23.308;0:30.457;0:46.921;216.4;Daiki Sasaki;;
23;0;3;1:43.266;0;;24.016;0;32.534;0;46.716;0;159.1;5:51.738;11:30;0:24.016;0:32.534;0:46.716;246.0;Daiki Sasaki;;
23;0;4;1:36.310;0;;22.118;0;28.794;0;45.398;2;170.6;7:28.048;11:32;0:22.118;0:28.794;0:45.398;243.8;Daiki Sasaki;;
23;0;5;1:36.297;2;;22.083;2;28.682;3;45.532;0;170.6;9:04.345;11:34;0:22.083;0:28.682;0:45.532;243.2;Daiki Sasaki;;
23;0;6;2:02.942;0;B;22.573;0;33.674;0;1:06.695;0;133.6;11:07.287;11:36;0:22.573;0:33.674;1:06.695;243.8;Daiki Sasaki;;
35;0;1;2:10.613;0;;42.542;0;35.918;0;52.153;0;125.8;2:10.613;11:27;0:42.542;0:35.918;0:52.153;83.6;Takamoto Katsuta;0:00:14;
35;0;2;1:42.777;0;;23.826;0;29.633;0;49.318;0;159.8;3:53.390;11:28;0:23.826;0:29.633;0:49.318;221.8;Takamoto Katsuta;;
